campaign_id,variant_id,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,active_sessions,entry_roles,trade_sessions,entries_per_calendar_session,trade_session_fraction,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0930,5.0,0.40049270240198803,0.2678273417489178,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,134,117,7,5,0.03337439186683234,0.006073856725391258,-0.24214012142163632,0.33502090187052497
CAM-0614,qqq__donchian50__breakout__top10__volume1,0930,0.0,0.4466831335271522,0.27330670414211833,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,78,134,5,7,0.037223594460596025,-0.016364920005732975,-0.14152627744247043,0.3612879337061493
CAM-0614,qqq__donchian50__breakout__top10__volume1,0930,1.0,0.42067507896264816,0.28282327880895175,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,78,134,5,7,0.03505625658022068,-0.018556435480130223,-0.1443096780645433,0.35877214327256063
CAM-0614,qqq__donchian50__breakout__top10__volume1,0930,2.0,0.39466702439814416,0.29234178056142696,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,78,134,5,7,0.032888918699845344,-0.02074795095452745,-0.1470930786866162,0.35625635283897195
CAM-0614,qqq__donchian50__breakout__top10__volume1,0930,5.0,0.3166428607046319,0.32090885418793946,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,78,134,4,8,0.026386905058719327,-0.02732249737771919,-0.1554432805528348,0.34870898153820595
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0930,0.0,0.48021980216583343,0.08289304210301467,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,130,108,9,3,0.04001831684715279,0.024486902319547057,-0.031156107847588765,0.15974303723565084
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0930,1.0,0.47530535703147625,0.08330405845125093,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,130,108,9,3,0.03960877975262302,0.024125858429790495,-0.03169780604911826,0.15923081182317217
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0930,2.0,0.4703909118971189,0.0837174585133144,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,130,108,9,3,0.03919924265809325,0.02376481454003393,-0.032239504250647755,0.1587185864106935
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0930,5.0,0.45564757649404725,0.08497217016961447,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,129,109,9,3,0.03797063137450394,0.02268168287076424,-0.033864598855236225,0.15718191017325753
CAM-0621,etf__ibs30__top5__hold2__trend1,0930,0.0,0.2414324816664467,0.07392981688443397,1.0,979,246,497,229,1.988,0.916,124,122,9,3,0.020119373472203887,0.030522066594288425,-0.07297495839941398,0.07232537482589205
CAM-0621,etf__ibs30__top5__hold2__trend1,0930,1.0,0.22546248166644667,0.0754217175751073,1.0,979,246,497,229,1.988,0.916,123,123,9,3,0.018788540138870557,0.02902039992762175,-0.07419495839941398,0.07084037482589205
