portfolio,execution,period_type,period,net_return
fixed_50_50,primary_250ms_2bp,weekly,2023-02-18/2023-02-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-02-25/2023-03-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-03-04/2023-03-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-03-11/2023-03-17,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-03-18/2023-03-24,0.00856128955155605
fixed_50_50,primary_250ms_2bp,weekly,2023-03-25/2023-03-31,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-04-01/2023-04-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-04-08/2023-04-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-04-15/2023-04-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-04-22/2023-04-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-04-29/2023-05-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-05-06/2023-05-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-05-13/2023-05-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-05-20/2023-05-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-05-27/2023-06-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-06-03/2023-06-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-06-10/2023-06-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-06-17/2023-06-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-06-24/2023-06-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-07-01/2023-07-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-07-08/2023-07-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-07-15/2023-07-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-07-22/2023-07-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-07-29/2023-08-04,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-08-05/2023-08-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-08-12/2023-08-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-08-19/2023-08-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-08-26/2023-09-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-09-02/2023-09-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-09-09/2023-09-15,0.0
