variant,gap_tail,minimum_reclaim_fraction,auction_state,horizon,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,selected_events_recent,symbol_count_recent,signal_days_recent,post_signal_invalid_days,median_events_per_active_day,top_5_day_profit_share,top_10_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
tail02_reclaim00_participation_q67_1200_c5,0.02,0.0,participation_q67,1200,5,-0.7038831692036231,0.7463878505421477,,True,150,71,144,1,1.0,,,,-0.039104620511312395,12,0,-0.02427462246749763,9,0,-0.024639735622076876,7,0
tail02_reclaim00_participation_q67_1200_c10,0.02,0.0,participation_q67,1200,10,-0.8468831692036232,0.8777251670122482,,True,150,71,144,1,1.0,,,,-0.04704906495575685,13,0,-0.0319412891341643,10,0,-0.032889735622076886,8,0
tail02_reclaim00_participation_q67_1200_c20,0.02,0.0,participation_q67,1200,20,-1.1328831692036232,1.147571946520182,,True,150,71,144,1,1.0,,,,-0.06293795384464573,15,0,-0.04727462246749763,12,0,-0.04938973562207689,10,0
tail02_reclaim00_participation_q67_final_c5,0.02,0.0,participation_q67,final,5,-0.45567788156340894,0.5883321125003846,,True,151,71,144,0,1.0,,,,-0.02531543786463383,10,0,-0.012445348051827206,8,0,-0.015307192161960784,6,0
tail02_reclaim00_participation_q67_final_c10,0.02,0.0,participation_q67,final,10,-0.5996778815634091,0.7052964209962513,,True,151,71,144,0,1.0,,,,-0.03331543786463384,10,0,-0.020178681385160546,8,0,-0.023640525495294124,6,0
tail02_reclaim00_participation_q67_final_c20,0.02,0.0,participation_q67,final,20,-0.8876778815634092,0.9510923346081738,,True,151,71,144,0,1.0,,,,-0.04931543786463384,11,0,-0.03564534805182721,8,0,-0.040307192161960784,6,0
tail02_reclaim00_participation_q80_1200_c5,0.02,0.0,participation_q80,1200,5,-0.6817528442403534,0.7062947726414323,,True,128,66,127,1,1.0,,,,-0.03787515801335297,12,0,-0.025938443989011812,10,0,-0.029574839610556444,8,0
tail02_reclaim00_participation_q80_1200_c10,0.02,0.0,participation_q80,1200,10,-0.8077528442403535,0.8259463318718027,,True,128,66,127,1,1.0,,,,-0.044875158013352984,12,0,-0.032738443989011816,10,0,-0.03682483961055645,8,0
tail02_reclaim00_participation_q80_1200_c20,0.02,0.0,participation_q80,1200,20,-1.0597528442403537,1.0731805669415009,,True,128,66,127,1,1.0,,,,-0.05887515801335297,15,0,-0.04633844398901181,12,0,-0.05132483961055645,10,0
tail02_reclaim00_participation_q80_final_c5,0.02,0.0,participation_q80,final,5,-0.39649975845461655,0.48595868402206777,,True,129,66,127,0,1.0,,,,-0.02202776435858981,11,0,-0.013202615669539682,9,0,-0.021716252825000223,7,0
tail02_reclaim00_participation_q80_final_c10,0.02,0.0,participation_q80,final,10,-0.5234997584546166,0.5812101938947478,,True,129,66,127,0,1.0,,,,-0.029083319914145374,11,0,-0.020069282336206355,9,0,-0.02904958615833356,7,0
tail02_reclaim00_participation_q80_final_c20,0.02,0.0,participation_q80,final,20,-0.7774997584546169,0.8058921231117192,,True,129,66,127,0,1.0,,,,-0.043194431025256476,11,0,-0.03380261566953969,9,0,-0.043716252825000225,7,0
tail02_reclaim00_anomaly_ge1_1200_c5,0.02,0.0,anomaly_ge1,1200,5,-0.5370769244536671,0.562882816473344,,True,185,76,170,2,1.0,,,,-0.029837606914092613,10,0,-0.021072632335959827,8,0,-0.024363952568509272,6,0
tail02_reclaim00_anomaly_ge1_1200_c10,0.02,0.0,anomaly_ge1,1200,10,-0.7050769244536672,0.71943844210773,,True,185,76,170,2,1.0,,,,-0.03917094024742595,14,0,-0.030205965669293167,11,0,-0.03369728590184261,9,0
tail02_reclaim00_anomaly_ge1_1200_c20,0.02,0.0,anomaly_ge1,1200,20,-1.0410769244536673,1.0547747827547196,,True,185,76,170,2,1.0,,,,-0.057837606914092614,16,0,-0.048472632335959824,13,0,-0.052363952568509266,11,0
tail02_reclaim00_anomaly_ge1_final_c5,0.02,0.0,anomaly_ge1,final,5,-0.6182565720515947,0.7522541371455586,,True,188,77,170,0,1.0,,,,-0.03434758733619972,12,0,-0.03249598820017788,10,0,-0.033734982055516026,8,0
tail02_reclaim00_anomaly_ge1_final_c10,0.02,0.0,anomaly_ge1,final,10,-0.7882565720515948,0.8889148619051528,,True,188,77,170,0,1.0,,,,-0.04379203178064415,12,0,-0.04176265486684454,10,0,-0.043234982055516014,8,0
tail02_reclaim00_anomaly_ge1_final_c20,0.02,0.0,anomaly_ge1,final,20,-1.1282565720515954,1.1760871004116,,True,188,77,170,0,1.0,,,,-0.06268092066953306,12,0,-0.06029598820017789,10,0,-0.062234982055516024,8,0
tail02_reclaim00_anomaly_ge1_5_1200_c5,0.02,0.0,anomaly_ge1_5,1200,5,-0.5694993441770722,0.6376724764328086,,True,141,70,132,2,1.0,,,,-0.03163885245428179,10,0,-0.025845519341549536,9,0,-0.030533419691413932,7,0
tail02_reclaim00_anomaly_ge1_5_1200_c10,0.02,0.0,anomaly_ge1_5,1200,10,-0.6994993441770723,0.7525744088853773,,True,141,70,132,2,1.0,,,,-0.03886107467650401,13,0,-0.03277885267488287,11,0,-0.0377000863580806,9,0
tail02_reclaim00_anomaly_ge1_5_1200_c20,0.02,0.0,anomaly_ge1_5,1200,20,-0.9594993441770723,0.9964565558986327,,True,141,70,132,2,1.0,,,,-0.05330551912094845,15,0,-0.04664551934154954,12,0,-0.05203341969141393,10,0
tail02_reclaim00_anomaly_ge1_5_final_c5,0.02,0.0,anomaly_ge1_5,final,5,-0.6175639162777061,0.7649032359146585,,True,144,71,132,0,1.0,,,,-0.03430910645987257,11,0,-0.0355973523948049,9,0,-0.03618271823593653,7,0
tail02_reclaim00_anomaly_ge1_5_final_c10,0.02,0.0,anomaly_ge1_5,final,10,-0.7495639162777061,0.8659445405825903,,True,144,71,132,0,1.0,,,,-0.04164243979320589,11,0,-0.04266401906147159,9,0,-0.043516051569269874,7,0
tail02_reclaim00_anomaly_ge1_5_final_c20,0.02,0.0,anomaly_ge1_5,final,20,-1.0135639162777064,1.0753790094526847,,True,144,71,132,0,1.0,,,,-0.056309106459872575,12,0,-0.05679735239480491,10,0,-0.05818271823593654,8,0
tail02_reclaim00_anomaly_ge2_1200_c5,0.02,0.0,anomaly_ge2,1200,5,-0.5368579598416996,0.567363940464197,,True,104,60,100,2,1.0,,,,-0.029825442213427755,10,0,-0.02817834621589518,9,0,-0.034189962188885675,7,0
tail02_reclaim00_anomaly_ge2_1200_c10,0.02,0.0,anomaly_ge2,1200,10,-0.6348579598416996,0.6560582544173175,,True,104,60,100,2,1.0,,,,-0.0352698866578722,11,0,-0.03337834621589519,10,0,-0.03952329552221901,8,0
tail02_reclaim00_anomaly_ge2_1200_c20,0.02,0.0,anomaly_ge2,1200,20,-0.8308579598416997,0.8432968958536132,,True,104,60,100,2,1.0,,,,-0.046158775546761094,14,0,-0.043778346215895186,12,0,-0.05018996218888568,10,0
tail02_reclaim00_anomaly_ge2_final_c5,0.02,0.0,anomaly_ge2,final,5,-0.3088073593788021,0.4491805579245063,,True,107,61,100,0,1.0,,,,-0.01715596440993345,9,0,-0.019763086113528314,8,0,-0.024192005603010297,6,0
tail02_reclaim00_anomaly_ge2_final_c10,0.02,0.0,anomaly_ge2,final,10,-0.4088073593788022,0.5207876741872812,,True,107,61,100,0,1.0,,,,-0.02271151996548901,9,0,-0.02509641944686165,8,0,-0.029692005603010302,6,0
tail02_reclaim00_anomaly_ge2_final_c20,0.02,0.0,anomaly_ge2,final,20,-0.6088073593788023,0.671237245140023,,True,107,61,100,0,1.0,,,,-0.03382263107660013,9,0,-0.03576308611352832,8,0,-0.040692005603010305,6,0
tail02_reclaim10_all_1200_c5,0.02,0.1,all,1200,5,-0.2594868662905576,0.30834949065799483,,True,148,72,140,3,1.0,,,,-0.01441593701614209,12,0,-0.00283214356575258,9,0,-0.01627398323438718,7,0
tail02_reclaim10_all_1200_c10,0.02,0.1,all,1200,10,-0.39648686629055774,0.39541068014477654,,True,148,72,140,3,1.0,,,,-0.022027048127253205,14,0,-0.010298810232419249,11,0,-0.023690649901053847,9,0
tail02_reclaim10_all_1200_c20,0.02,0.1,all,1200,20,-0.6704868662905578,0.6669302364453766,,True,148,72,140,3,1.0,,,,-0.03724927034947542,15,0,-0.02523214356575258,12,0,-0.03852398323438718,10,0
tail02_reclaim10_all_final_c5,0.02,0.1,all,final,5,-0.024155694175839237,0.2626175772984577,34.0,False,152,73,140,0,1.0,,,,-0.0013419830097688465,8,0,0.00900463099011715,6,0,-0.009772435725182544,5,0
tail02_reclaim10_all_final_c10,0.02,0.1,all,final,10,-0.16415569417583936,0.31131579140352145,,True,152,73,140,0,1.0,,,,-0.009119760787546628,8,0,0.0013379643234504787,6,0,-0.017439102391849214,5,0
tail02_reclaim10_all_final_c20,0.02,0.1,all,final,20,-0.4441556941758395,0.5144288203393338,,True,152,73,140,0,1.0,,,,-0.024675316343102185,10,0,-0.013995369009882849,8,0,-0.03277243572518254,7,0
tail02_reclaim10_participation_q50_1200_c5,0.02,0.1,participation_q50,1200,5,-0.372348136583616,0.38061500159895945,,True,113,68,109,1,1.0,,,,-0.020686007587978665,12,0,-0.009346769075268546,9,0,-0.012982743575944264,7,0
tail02_reclaim10_participation_q50_1200_c10,0.02,0.1,participation_q50,1200,10,-0.4803481365836161,0.48208155396763636,,True,113,68,109,1,1.0,,,,-0.02668600758797867,13,0,-0.015213435741935214,10,0,-0.019149410242610933,8,0
tail02_reclaim10_participation_q50_1200_c20,0.02,0.1,participation_q50,1200,20,-0.6963481365836162,0.6930706427010084,,True,113,68,109,1,1.0,,,,-0.03868600758797867,14,0,-0.026946769075268547,11,0,-0.03148274357594427,9,0
tail02_reclaim10_participation_q50_final_c5,0.02,0.1,participation_q50,final,5,-0.031212648155543476,0.23547630626336416,421.0,False,114,68,109,0,1.0,,,,-0.0017340360086413042,8,0,0.010425857164633031,6,0,0.004848569804891512,4,0
tail02_reclaim10_participation_q50_final_c10,0.02,0.1,participation_q50,final,10,-0.14021264815554357,0.2537264107824652,,True,114,68,109,0,1.0,,,,-0.007789591564196864,9,0,0.004492523831299695,7,0,-0.0014014301951084903,5,0
tail02_reclaim10_participation_q50_final_c20,0.02,0.1,participation_q50,final,20,-0.35821264815554366,0.4046151748281478,,True,114,68,109,0,1.0,,,,-0.019900702675307972,11,0,-0.007374142835366969,8,0,-0.01390143019510849,6,0
tail02_reclaim10_participation_q67_1200_c5,0.02,0.1,participation_q67,1200,5,-0.48541459092200756,0.49227384255783957,,True,99,60,95,1,1.0,,,,-0.026967477273444864,11,0,-0.01689538962281131,8,0,-0.017778797597280387,7,0
tail02_reclaim10_participation_q67_1200_c10,0.02,0.1,participation_q67,1200,10,-0.5794145909220076,0.5813028090781718,,True,99,60,95,1,1.0,,,,-0.03218969949566709,13,0,-0.021895389622811314,10,0,-0.023278797597280385,9,0
tail02_reclaim10_participation_q67_1200_c20,0.02,0.1,participation_q67,1200,20,-0.7674145909220077,0.7649041592491692,,True,99,60,95,1,1.0,,,,-0.04263414394011153,16,0,-0.03189538962281131,13,0,-0.03427879759728039,10,0
tail02_reclaim10_participation_q67_final_c5,0.02,0.1,participation_q67,final,5,-0.16923961443778257,0.2425661184786224,,True,100,60,95,0,1.0,,,,-0.009402200802099032,9,0,0.0011192648266482883,7,0,-0.002810671305648373,6,0
tail02_reclaim10_participation_q67_final_c10,0.02,0.1,participation_q67,final,10,-0.26423961443778266,0.2951597130459716,,True,100,60,95,0,1.0,,,,-0.014679978579876811,10,0,-0.003947401840018379,8,0,-0.008394004638981706,7,0
tail02_reclaim10_participation_q67_final_c20,0.02,0.1,participation_q67,final,20,-0.4542396144377827,0.46352142730786267,,True,100,60,95,0,1.0,,,,-0.025235534135432364,11,0,-0.01408073517335171,8,0,-0.019560671305648373,7,0
tail02_reclaim10_participation_q80_1200_c5,0.02,0.1,participation_q80,1200,5,-0.5000104547100117,0.5197524578043949,,True,83,53,83,1,1.0,,,,-0.02777835859500065,11,0,-0.020880761425260685,9,0,-0.022760512350342103,8,0
tail02_reclaim10_participation_q80_1200_c10,0.02,0.1,participation_q80,1200,10,-0.5820104547100119,0.5954057502867629,,True,83,53,83,1,1.0,,,,-0.03233391415055621,13,0,-0.025280761425260687,11,0,-0.027510512350342103,10,0
tail02_reclaim10_participation_q80_1200_c20,0.02,0.1,participation_q80,1200,20,-0.7460104547100118,0.750282613073356,,True,83,53,83,1,1.0,,,,-0.041445025261667316,15,0,-0.03408076142526069,13,0,-0.037010512350342105,10,0
tail02_reclaim10_participation_q80_final_c5,0.02,0.1,participation_q80,final,5,-0.21141165161217246,0.27023939466164504,,True,84,53,83,0,1.0,,,,-0.011745091756231804,9,0,-0.0050789540334193065,7,0,-0.010558444880732867,6,0
tail02_reclaim10_participation_q80_final_c10,0.02,0.1,participation_q80,final,10,-0.29441165161217253,0.3415638358540064,,True,84,53,83,0,1.0,,,,-0.01635620286734292,10,0,-0.009545620700085976,8,0,-0.015391778214066202,7,0
tail02_reclaim10_participation_q80_final_c20,0.02,0.1,participation_q80,final,20,-0.4604116516121726,0.48786825596621625,,True,84,53,83,0,1.0,,,,-0.025578425089565135,10,0,-0.01847895403341931,8,0,-0.02505844488073287,7,0
tail02_reclaim10_anomaly_ge1_1200_c5,0.02,0.1,anomaly_ge1,1200,5,-0.261004663920273,0.2717788791037954,,True,119,64,112,2,1.0,,,,-0.014500259106681833,12,0,-0.011176704873387785,10,0,-0.01713469504437708,8,0
tail02_reclaim10_anomaly_ge1_1200_c10,0.02,0.1,anomaly_ge1,1200,10,-0.3710046639202731,0.36988303784680326,,True,119,64,112,2,1.0,,,,-0.020611370217792947,13,0,-0.017176704873387787,11,0,-0.023218028377710417,9,0
tail02_reclaim10_anomaly_ge1_1200_c20,0.02,0.1,anomaly_ge1,1200,20,-0.5910046639202732,0.5865901357269182,,True,119,64,112,2,1.0,,,,-0.032833592440015165,14,0,-0.029176704873387783,12,0,-0.035384695044377086,10,0
tail02_reclaim10_anomaly_ge1_final_c5,0.02,0.1,anomaly_ge1,final,5,-0.1311057418240234,0.2762705522903906,,True,122,65,112,0,1.0,,,,-0.007283652323556856,9,0,-0.006237260958748921,8,0,-0.011482953854846883,6,0
tail02_reclaim10_anomaly_ge1_final_c10,0.02,0.1,anomaly_ge1,final,10,-0.2431057418240235,0.32298131146709086,,True,122,65,112,0,1.0,,,,-0.013505874545779081,9,0,-0.012370594292082256,8,0,-0.017732953854846883,6,0
tail02_reclaim10_anomaly_ge1_final_c20,0.02,0.1,anomaly_ge1,final,20,-0.46710574182402353,0.516261165756777,,True,122,65,112,0,1.0,,,,-0.025950318990223528,11,0,-0.024637260958748932,10,0,-0.030232953854846884,8,0
tail02_reclaim10_anomaly_ge1_5_1200_c5,0.02,0.1,anomaly_ge1_5,1200,5,-0.3029469890507852,0.33281088468930525,,True,89,55,85,2,1.0,,,,-0.016830388280599178,12,0,-0.015170561135583342,11,0,-0.02233037373803905,9,0
tail02_reclaim10_anomaly_ge1_5_1200_c10,0.02,0.1,anomaly_ge1_5,1200,10,-0.3859469890507853,0.4049557486640617,,True,89,55,85,2,1.0,,,,-0.021441499391710292,12,0,-0.019570561135583343,11,0,-0.026997040404705717,9,0
tail02_reclaim10_anomaly_ge1_5_1200_c20,0.02,0.1,anomaly_ge1_5,1200,20,-0.5519469890507853,0.5581092088623345,,True,89,55,85,2,1.0,,,,-0.03066372161393251,12,0,-0.028370561135583346,11,0,-0.03633037373803905,9,0
tail02_reclaim10_anomaly_ge1_5_final_c5,0.02,0.1,anomaly_ge1_5,final,5,-0.21218186376295844,0.27882171399443234,,True,92,56,85,0,1.0,,,,-0.011787881320164359,11,0,-0.012854094380530963,10,0,-0.018325026569211155,8,0
tail02_reclaim10_anomaly_ge1_5_final_c10,0.02,0.1,anomaly_ge1_5,final,10,-0.2971818637629585,0.34567898587896434,,True,92,56,85,0,1.0,,,,-0.016510103542386585,11,0,-0.0173874277138643,10,0,-0.02315835990254449,8,0
tail02_reclaim10_anomaly_ge1_5_final_c20,0.02,0.1,anomaly_ge1_5,final,20,-0.46718186376295867,0.492090006747222,,True,92,56,85,0,1.0,,,,-0.025954547986831028,13,0,-0.026454094380530972,12,0,-0.032825026569211165,10,0
tail02_reclaim10_anomaly_ge2_1200_c5,0.02,0.1,anomaly_ge2,1200,5,-0.2993244830281875,0.34210853291174415,,True,59,41,58,2,1.0,,,,-0.016629137946010415,9,2,-0.015732869201301205,8,2,-0.0250026045946037,7,1
tail02_reclaim10_anomaly_ge2_1200_c10,0.02,0.1,anomaly_ge2,1200,10,-0.35532448302818753,0.3883720146709655,,True,59,41,58,2,1.0,,,,-0.01974024905712153,9,2,-0.01853286920130121,8,2,-0.027919271261270372,7,1
tail02_reclaim10_anomaly_ge2_1200_c20,0.02,0.1,anomaly_ge2,1200,20,-0.4673244830281876,0.48417348481906625,,True,59,41,58,2,1.0,,,,-0.02596247127934375,9,2,-0.02413286920130121,8,2,-0.033752604594603705,7,1
tail02_reclaim10_anomaly_ge2_final_c5,0.02,0.1,anomaly_ge2,final,5,-0.02621221148716857,0.1716738150854476,151.0,False,62,42,58,0,1.0,,,,-0.0014562339715093648,8,2,-0.0023766919248317717,7,2,-0.011793941115434942,6,1
tail02_reclaim10_anomaly_ge2_final_c10,0.02,0.1,anomaly_ge2,final,10,-0.08421221148716862,0.18544057094243857,,True,62,42,58,0,1.0,,,,-0.00467845619373159,8,2,-0.005310025258165108,7,2,-0.014877274448768275,6,1
tail02_reclaim10_anomaly_ge2_final_c20,0.02,0.1,anomaly_ge2,final,20,-0.20021221148716867,0.2650064715682238,,True,62,42,58,0,1.0,,,,-0.011122900638176031,9,2,-0.011176691924831773,8,2,-0.021043941115434946,7,1
tail02_reclaim25_all_1200_c5,0.02,0.25,all,1200,5,0.005676968999950741,0.11457168472181016,,True,67,49,64,2,1.0,33.58330124600184,56.375310687466644,7.169165691884007,0.00031538716666392987,10,1,0.006044507481241723,8,1,0.006257830736211954,7,0
tail02_reclaim25_all_1200_c10,0.02,0.25,all,1200,10,-0.05632303100004929,0.15612106091921954,,True,67,49,64,2,1.0,,,,-0.0031290572777805162,10,1,0.0025111741479083892,8,1,0.0024244974028786175,7,0
tail02_reclaim25_all_1200_c20,0.02,0.25,all,1200,20,-0.18032303100004926,0.26115121877207426,,True,67,49,64,2,1.0,,,,-0.010017946166669407,11,1,-0.004555492518758279,8,1,-0.005242169263788045,7,0
tail02_reclaim25_all_final_c5,0.02,0.25,all,final,5,0.08812726397150605,0.14676146408280616,114.0,False,70,50,64,0,1.0,2.9898265058930455,4.849127215156792,0.8390480203881294,0.004895959109528114,8,1,0.013754827943308897,6,1,0.016820903301681678,5,0
tail02_reclaim25_all_final_c10,0.02,0.25,all,final,10,0.02412726397150601,0.15795358828674472,119.0,False,70,50,64,0,1.0,10.713408284466476,17.297457126278807,3.0232605928156224,0.0013404035539725553,8,1,0.010088161276642226,6,1,0.012820903301681676,5,0
tail02_reclaim25_all_final_c20,0.02,0.25,all,final,20,-0.10387273602849402,0.21392306596196128,,True,70,50,64,0,1.0,,,,-0.005770707557138554,10,1,0.0027548279433088955,7,1,0.0048209033016816775,6,0
tail02_reclaim25_participation_q50_1200_c5,0.02,0.25,participation_q50,1200,5,-0.03873888051153057,0.1291628485278365,,True,51,42,48,0,1.0,,,,-0.002152160028418365,9,1,0.003450729491666904,7,1,0.002194059758726825,7,0
tail02_reclaim25_participation_q50_1200_c10,0.02,0.25,participation_q50,1200,10,-0.08673888051153059,0.15394151023034805,,True,51,42,48,0,1.0,,,,-0.004818826695085033,10,1,0.0006507294916669033,7,1,-0.0009726069079398434,7,0
tail02_reclaim25_participation_q50_1200_c20,0.02,0.25,participation_q50,1200,20,-0.1827388805115306,0.22498739100752177,,True,51,42,48,0,1.0,,,,-0.010152160028418365,10,1,-0.004949270508333096,7,1,-0.0073059402412731745,7,0
tail02_reclaim25_participation_q50_final_c5,0.02,0.25,participation_q50,final,5,0.13011862066220448,0.12761393208994765,91.0,False,51,42,48,0,1.0,1.924241649755402,3.0143937597037764,0.568273825845992,0.0072288122590113595,7,1,0.016449020700332762,5,1,0.01613487114977799,5,0
tail02_reclaim25_participation_q50_final_c10,0.02,0.25,participation_q50,final,10,0.08211862066220443,0.13793889895626113,119.0,False,51,42,48,0,1.0,2.9881124074929217,4.654593015117886,0.888263901528082,0.0045621455923446925,7,1,0.013649020700332758,5,1,0.01296820448311132,5,0
tail02_reclaim25_participation_q50_final_c20,0.02,0.25,participation_q50,final,20,-0.013881379337795582,0.15989977380885612,,True,51,42,48,0,1.0,,,,-0.000771187740988642,8,1,0.00804902070033276,6,1,0.006634871149777989,6,0
tail02_reclaim25_participation_q67_1200_c5,0.02,0.25,participation_q67,1200,5,-0.07846694403177851,0.1488206552908488,,True,44,35,41,0,1.0,,,,-0.004359274668432139,10,1,0.000802191923650375,8,1,-0.00019259805045966638,8,0
tail02_reclaim25_participation_q67_1200_c10,0.02,0.25,participation_q67,1200,10,-0.11946694403177854,0.16997478469092384,,True,44,35,41,0,1.0,,,,-0.006637052446209919,12,1,-0.0015311414096829596,9,1,-0.002942598050459669,9,0
tail02_reclaim25_participation_q67_1200_c20,0.02,0.25,participation_q67,1200,20,-0.20146694403177853,0.23108485436025714,,True,44,35,41,0,1.0,,,,-0.011192608001765475,12,1,-0.006197808076349624,9,1,-0.008442598050459665,9,0
tail02_reclaim25_participation_q67_final_c5,0.02,0.25,participation_q67,final,5,0.06829501954483008,0.1297804207241516,,True,44,35,41,0,1.0,3.0330086012621273,4.902909991421186,1.0643420064780353,0.00379416775249056,7,1,0.012327447292507803,5,1,0.012127141968433147,5,0
tail02_reclaim25_participation_q67_final_c10,0.02,0.25,participation_q67,final,10,0.027295019544830046,0.14124091377965575,,True,44,35,41,0,1.0,7.4057240138932965,11.90123103436947,2.589822587182956,0.0015163899747127816,8,1,0.009994113959174466,6,1,0.009377141968433146,6,0
tail02_reclaim25_participation_q67_final_c20,0.02,0.25,participation_q67,final,20,-0.05470498045516996,0.16535157315915577,,True,44,35,41,0,1.0,,,,-0.003039165580842775,9,1,0.005327447292507799,7,1,0.0038771419684331455,7,0
tail02_reclaim25_participation_q80_1200_c5,0.02,0.25,participation_q80,1200,5,-0.05975541010393731,0.15540297606187128,,True,33,27,32,0,1.0,,,,-0.003319745005774295,11,1,-0.0006705408878967201,9,1,-0.002033514064893535,9,0
tail02_reclaim25_participation_q80_1200_c10,0.02,0.25,participation_q80,1200,10,-0.09175541010393733,0.17046308425674314,,True,33,27,32,0,1.0,,,,-0.005097522783552074,11,1,-0.0025372075545633884,9,1,-0.0042001807315602034,9,0
tail02_reclaim25_participation_q80_1200_c20,0.02,0.25,participation_q80,1200,20,-0.15575541010393734,0.2076618268179997,,True,33,27,32,0,1.0,,,,-0.008653078339107629,11,1,-0.006270540887896721,9,1,-0.008533514064893536,9,0
tail02_reclaim25_participation_q80_final_c5,0.02,0.25,participation_q80,final,5,0.05709077467081336,0.14169480355059297,,True,33,27,32,0,1.0,3.5982910232321466,5.564804771719083,1.2732224874146292,0.0031717097039340755,8,1,0.008244075517452099,6,1,0.007022927249613518,6,0
tail02_reclaim25_participation_q80_final_c10,0.02,0.25,participation_q80,final,10,0.02509077467081336,0.15156469480739543,,True,33,27,32,0,1.0,7.988163962131651,12.263432251344934,2.8173405987751265,0.001393931926156297,8,1,0.00637740885078543,6,1,0.00485626058294685,6,0
tail02_reclaim25_participation_q80_final_c20,0.02,0.25,participation_q80,final,20,-0.038909225329186656,0.1721140686438604,,True,33,27,32,0,1.0,,,,-0.0021616236293992594,9,1,0.0026440755174520956,7,1,0.0005229272496135142,7,0
tail02_reclaim25_anomaly_ge1_1200_c5,0.02,0.25,anomaly_ge1,1200,5,-0.04407878411214927,0.14831763602017786,,True,53,42,49,1,1.0,,,,-0.0024488213395638483,11,1,-1.2586033046583603e-05,9,1,-0.00011819820162579468,8,0
tail02_reclaim25_anomaly_ge1_1200_c10,0.02,0.25,anomaly_ge1,1200,10,-0.09207878411214931,0.17778379801687288,,True,53,42,49,1,1.0,,,,-0.0051154880062305175,11,1,-0.0028125860330465843,9,1,-0.0032015315349591283,8,0
tail02_reclaim25_anomaly_ge1_1200_c20,0.02,0.25,anomaly_ge1,1200,20,-0.1880787841121493,0.2492341213762058,,True,53,42,49,1,1.0,,,,-0.01044882133956385,12,1,-0.008412586033046584,10,1,-0.009368198201625794,9,0
