formation,absolute,relative,hold,candidate_events,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,positive_event_fraction,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_events,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_events,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_events
90,0.06,8.0,60,97,63,60,-0.12424920478880086,-0.19446724139029659,0.2700707804316275,386,True,0.49206349206349204,-0.12424920478880086,-0.0069027335993778255,-0.004032264782309445,9,1,63,-0.0559174055863334,-0.0037278270390888935,0.0,7,1,51,-0.06060842889909068,-0.005050702408257557,0.003993648174594634,5,1,40
90,0.04,10.0,60,100,64,63,-0.14738736015467357,-0.20328810174052636,0.16956152235360655,387,True,0.453125,-0.14738736015467357,-0.008188186675259643,-0.004983299480929847,9,1,64,-0.06474134828078967,-0.0043160898853859785,0.0,7,1,54,-0.08432597162749919,-0.0070271643022915995,0.0010148929959435966,5,1,45
45,0.04,8.0,15,250,180,171,-0.16274722365738442,-0.3237826561146519,0.26944753194502286,387,True,0.4777777777777778,-0.1627472236573843,-0.00904151242541024,-0.02307923662748422,13,0,180,-0.06655090558935092,-0.004436727039290061,-0.01473553422636019,10,0,158,-0.12637003445247263,-0.01053083620437272,-0.019567008527258775,8,0,125
30,0.06,6.0,30,133,87,82,-0.10152549281205003,-0.157957517992599,0.29677589607143506,386,True,0.5517241379310345,-0.10152549281205005,-0.0056403051562250025,-9.48956632247323e-05,9,0,87,-0.07318581569348125,-0.004879054379565416,0.0006840149926934432,7,0,78,-0.20133088831356477,-0.016777574026130396,-9.48956632247323e-05,6,0,54
120,0.04,10.0,15,107,71,63,-0.07122896028104164,-0.08187907469029157,0.12752816021636548,386,True,0.5070422535211268,-0.0712289602810416,-0.003957164460057867,-0.0020010170062786875,10,1,71,-0.07705552744823549,-0.0051370351632156995,-0.0034219089627986945,8,1,64,-0.03860430613153404,-0.0032170255109611697,-0.0017109544813993472,6,1,49
45,0.06,6.0,60,130,99,90,0.028572056689063652,-0.11609887934642506,0.3005583147029449,386,True,0.5757575757575758,0.028572056689063707,0.0015873364827257614,0.016564054099030546,5,0,99,-0.07797817536014785,-0.005198545024009857,0.015727521397240103,5,0,91,-0.059030865226761584,-0.004919238768896799,0.01345191770956167,4,0,62
120,0.06,10.0,30,65,46,41,-0.061538324289664534,-0.07997606857945694,0.13186589558445833,386,True,0.4782608695652174,-0.06153832428966452,-0.0034187957938702513,0.0,8,3,46,-0.07867659102182464,-0.005245106068121643,0.0,6,3,40,-0.05579811327853654,-0.004649842773211378,0.0,5,2,29
15,0.06,6.0,5,78,66,45,-0.08750107621495631,-0.057059121953554254,0.1881806885860942,388,True,0.6212121212121212,-0.0875010762149563,-0.004861170900830905,-0.00778233067210443,12,1,66,-0.07969737092166197,-0.005313158061444131,-0.008541939507327732,10,1,60,-0.10297122709134635,-0.008580935590945528,-0.008876392309187351,9,1,25
120,0.04,10.0,5,107,76,68,-0.10778771849382385,-0.0921455259985862,0.10778771849382385,534,True,0.34210526315789475,-0.10778771849382382,-0.005988206582990212,-0.001,9,1,76,-0.08099815517016815,-0.005399877011344543,0.003885404105028476,6,1,69,-0.016684799184044835,-0.0013903999320037362,0.003935567090589406,4,1,53
120,0.06,10.0,5,65,51,46,-0.09333573607430973,-0.07728761725886064,0.09588468767772432,520,True,0.29411764705882354,-0.09333573607430973,-0.005185318670794985,-0.0001412978150897564,9,3,51,-0.08161168814633463,-0.005440779209755641,0.0,6,3,45,-0.01570310806916598,-0.001308592339097165,0.0,5,2,33
90,0.06,10.0,15,51,46,40,-0.05184257384554686,-0.10221205229749515,0.13676506764277427,386,True,0.391304347826087,-0.05184257384554683,-0.0028801429914192683,0.0008647119341563822,7,2,46,-0.08348354298072329,-0.005565569532048219,0.0,6,2,41,-0.002024517400726466,-0.00016870978339387217,0.0008647119341563822,4,2,29
30,0.06,8.0,30,96,63,57,-0.13351359154565698,-0.24700445645228458,0.2370415564676441,386,True,0.5873015873015873,-0.133513591545657,-0.0074174217525365006,-0.0004369031595714539,9,1,63,-0.08923389960465511,-0.0059489266403103406,-0.0008738063191429078,8,0,58,-0.10516247929370254,-0.008763539941141879,-0.0003373115793012778,6,0,39
120,0.06,8.0,30,116,69,60,-0.07044205283267767,-0.11981349692870062,0.19446110550013215,387,True,0.463768115942029,-0.07044205283267761,-0.003913447379593201,-0.0006261092761238873,9,2,69,-0.09090467237088756,-0.0060603114913925045,-0.0012522185522477747,8,2,60,-0.109858142385169,-0.009154845198764083,-0.0006261092761238873,6,2,42
45,0.02,10.0,60,278,153,145,-0.16702667381163117,-0.369174998957852,0.3171491129067507,386,True,0.5032679738562091,-0.16702667381163105,-0.009279259656201725,-0.010891041202514173,11,0,153,-0.0928208068218439,-0.006188053788122927,-0.0073848387957610485,9,0,132,-0.27937682519740237,-0.023281402099783532,-0.016470590675151713,8,0,103
15,0.06,10.0,5,53,44,30,-0.12693764319368916,-0.12197799207581676,0.15869402868229904,388,True,0.6136363636363636,-0.12693764319368916,-0.007052091288538287,-0.0031278673763916994,10,3,44,-0.09727369695583697,-0.006484913130389131,-0.00040687199265087605,8,2,42,-0.07354799652680019,-0.006128999710566682,-0.0031278673763916994,7,2,16
45,0.04,10.0,15,146,112,105,-0.11003194557118066,-0.2851546201104382,0.2627753334899433,386,True,0.5,-0.1100319455711806,-0.006112885865065589,-0.013937054262537052,12,0,112,-0.09843925495185638,-0.006562616996790425,-0.01676004200208414,10,0,102,-0.18024603282590107,-0.015020502735491756,-0.01801155626531675,9,0,82
90,0.06,10.0,5,51,47,41,-0.08576568784581018,-0.13055583336036117,0.1145375624765847,386,True,0.3617021276595745,-0.08576568784581017,-0.004764760435878343,-0.00015678453837297737,9,2,47,-0.09957752609281267,-0.0066385017395208445,0.0,7,2,42,-0.010937047157106984,-0.000911420596425582,0.0025663789701723142,4,2,30
90,0.02,8.0,60,388,177,163,-0.15856806444366298,-0.22250793996954182,0.2595011422157952,386,True,0.5141242937853108,-0.1585680644436629,-0.008809336913536827,-0.021483076013158894,11,0,177,-0.10323339961890676,-0.006882226641260451,-0.018027942662079174,9,0,150,-0.17517811021999558,-0.014598175851666298,-0.021483076013158894,7,0,118
120,0.02,10.0,15,139,89,71,-0.12286079372162348,-0.13105416521504715,0.14914753492419383,387,True,0.43820224719101125,-0.12286079372162345,-0.006825599651201303,-0.006010164333570702,10,0,89,-0.10839298677975005,-0.007226199118650004,-0.0033433550695561743,8,0,79,-0.054377022099474426,-0.004531418508289535,-0.0007111880872447884,6,0,53
60,0.06,10.0,60,72,42,40,-0.12787868364548438,-0.19157294530987323,0.26191152216959684,386,True,0.4523809523809524,-0.12787868364548438,-0.007104371313638021,0.0,8,3,42,-0.10850661497368996,-0.007233774331579331,0.0,7,3,38,-0.13255022098493352,-0.01104585174874446,-0.0007451237786874048,6,3,27
90,0.06,10.0,30,51,45,39,-0.10325462080479728,-0.10737546124114643,0.15233063091132698,392,True,0.4,-0.10325462080479728,-0.005736367822488738,6.095679012341291e-05,7,2,45,-0.11856918722175377,-0.007904612481450251,0.00012191358024682582,5,2,40,-0.031138962007905363,-0.0025949135006587804,6.095679012341291e-05,4,2,28
15,0.04,10.0,5,163,141,98,-0.162993727286654,-0.13819703896311047,0.2208585484416731,250,True,0.6099290780141844,-0.16299372728665396,-0.009055207071480775,-0.010418598951503533,13,0,141,-0.12021820327160054,-0.00801454688477337,-0.012357062620708443,10,0,130,-0.11105997497816339,-0.009254997914846949,-0.015134016349742091,8,0,64
60,0.06,10.0,30,72,43,41,-0.15613470855905098,-0.23335564031154166,0.21230844616766056,386,True,0.4883720930232558,-0.15613470855905098,-0.008674150475502832,0.0,8,3,43,-0.12100533089811336,-0.008067022059874224,0.0,6,3,39,-0.1626600180269553,-0.013555001502246275,-0.0044861100059434,6,3,28
30,0.06,6.0,5,133,101,92,-0.16032678406553208,-0.1349501633387576,0.20107185912525954,392,True,0.5346534653465347,-0.16032678406553205,-0.008907043559196226,-0.0059031602954436255,11,0,101,-0.12197652007832133,-0.008131768005221422,-0.004182960297752886,8,0,92,-0.0693778089280502,-0.005781484077337517,-0.004870321460173793,7,0,58
45,0.02,10.0,5,278,207,178,-0.14022313537197129,-0.23308946468319755,0.26250453597988566,387,True,0.43478260869565216,-0.1402231353719712,-0.007790174187331734,-0.003374262457048912,12,0,207,-0.12542720687206754,-0.008361813791471169,-0.0013142445519373994,10,0,181,-0.20852162513068942,-0.01737680209422412,-0.007822193785338655,10,0,138
90,0.06,6.0,60,188,120,107,-0.27067128586992023,-0.3475060293163882,0.35064296349539653,532,True,0.5166666666666667,-0.2706712858699202,-0.01503729365944001,-0.01584525376029216,9,1,120,-0.12754739494986328,-0.008503159663324218,0.0,7,1,103,-0.0364921761390042,-0.00304101467825035,0.0017624743778510464,5,1,69
90,0.02,10.0,60,140,85,78,-0.19897455803107933,-0.2548752996169321,0.22604544044989616,387,True,0.4470588235294118,-0.19897455803107927,-0.011054142112837737,-0.012956096040596514,10,1,85,-0.13154363138199396,-0.008769575425466265,-0.012802534360666397,8,1,73,-0.1387780878907427,-0.011564840657561892,-0.006554828860263316,6,1,56
90,0.04,10.0,5,100,75,74,-0.16361832320690414,-0.20800225113511356,0.1790140134181119,528,True,0.36,-0.16361832320690411,-0.009089906844828006,-0.005182234272855188,10,1,75,-0.1364325602774293,-0.009095504018495288,-0.004482509591514304,8,1,65,-0.04984000011070197,-0.0041533333425584976,0.0008876613947981253,5,1,53
120,0.02,10.0,5,139,96,79,-0.15350839924372223,-0.13882749859043772,0.16539263741522847,528,True,0.2916666666666667,-0.15350839924372217,-0.00852824440242901,-0.003145934381613308,10,0,96,-0.13907073603702994,-0.009271382402468662,-0.003556710848811701,8,0,85,-0.05947691188301548,-0.004956409323584624,-0.001600499122874629,6,0,54
45,0.06,6.0,30,130,105,95,-0.08897039607065707,-0.15828414052153003,0.2980894440086029,386,True,0.47619047619047616,-0.08897039607065704,-0.004942799781703169,-0.00017807448217809722,9,0,105,-0.14262712731192478,-0.009508475154128318,0.0004008623483203813,7,0,97,-0.0451139132901155,-0.0037594927741762918,0.006975548412591969,5,0,64
60,0.06,8.0,30,122,68,66,-0.14503800438257947,-0.1624758452439974,0.2549940267380198,387,True,0.4411764705882353,-0.14503800438257944,-0.008057666910143303,0.0,8,2,68,-0.14610853497942072,-0.009740568998628048,0.0,6,2,62,-0.1190904640327183,-0.009924205336059857,0.0,5,2,46
90,0.06,8.0,30,97,67,64,-0.23613535823433496,-0.25578265716783855,0.2854436889291246,534,True,0.43283582089552236,-0.23613535823433496,-0.01311863101301861,-0.0006804090763822259,9,1,67,-0.1463428483631174,-0.009756189890874492,0.0,7,1,55,-0.05498433936676708,-0.004582028280563924,6.095679012341291e-05,5,1,42
45,0.04,8.0,30,250,169,162,-0.1862559703052957,-0.3094147666607962,0.2805505883251874,511,True,0.4911242603550296,-0.18625597030529564,-0.010347553905849759,-0.00680381243836963,11,0,169,-0.14845295890890092,-0.009896863927260061,-0.005016753243263668,9,0,148,-0.12297555871140298,-0.010247963225950249,-0.0037079970265945167,7,0,116
120,0.06,6.0,15,231,137,115,-0.1387024410886273,-0.12959116335106488,0.19386502559596488,419,True,0.43795620437956206,-0.13870244108862723,-0.007705691171590401,0.0023257849656178114,7,1,137,-0.15116127460563378,-0.010077418307042252,0.0017294238683127645,6,1,119,0.0017426360344252392,0.0001452196695354366,0.0008647119341563822,5,1,88
90,0.04,8.0,30,228,136,122,-0.280602758494221,-0.31423223869419636,0.2958891183225957,387,True,0.4338235294117647,-0.280602758494221,-0.015589042138567833,-0.010675594856917148,13,0,136,-0.15133286742396174,-0.010088857828264115,-0.005805927933203666,10,0,115,-0.19093072411674328,-0.015910893676395272,-0.0070619219150578815,9,0,82
45,0.06,8.0,60,83,66,63,-0.01708217519016303,-0.21923050033638386,0.33109675164459423,386,True,0.5757575757575758,-0.01708217519016303,-0.0009490097327868349,0.017320187924278807,6,0,66,-0.15331892690002807,-0.010221261793335205,0.006325823596681606,6,0,60,-0.11169817486019473,-0.009308181238349561,0.017320187924278807,4,0,43
60,0.06,8.0,60,122,66,64,-0.12384614820942817,-0.13569036580137325,0.3469356923393953,399,True,0.5,-0.12384614820942819,-0.006880341567190455,0.00250125083697539,7,2,66,-0.15402940439917057,-0.010268626959944705,0.0,6,2,60,-0.14244065177620924,-0.011870054314684103,0.0,5,2,44
120,0.06,8.0,5,116,78,67,-0.16821751874749113,-0.16744604365089819,0.17304416459689778,507,True,0.38461538461538464,-0.1682175187474911,-0.00934541770819395,-0.0012288237164882433,10,2,78,-0.15587675646968022,-0.010391783764645347,-0.000265463628663639,8,2,68,-0.006553851418135352,-0.0005461542848446127,0.0,5,2,50
15,0.06,8.0,5,66,55,35,-0.18110497671912967,-0.12263936730901576,0.21653833213090487,388,True,0.6181818181818182,-0.18110497671912967,-0.010061387595507204,-0.006544537597635678,12,2,55,-0.15641790342805992,-0.010427860228537329,-0.007022721836881128,9,2,52,-0.08971793007329612,-0.007476494172774677,-0.00778233067210443,8,2,21
60,0.04,8.0,60,301,137,135,-0.21605211537847394,-0.22224669793392263,0.33168732764509884,520,True,0.46715328467153283,-0.21605211537847382,-0.0120028952988041,-0.014181884983936013,13,0,137,-0.1572390513777354,-0.01048260342518236,-0.013468207897215694,11,0,117,-0.14698132500682223,-0.01224844375056852,-0.010202412500567075,9,0,93
120,0.04,10.0,30,107,69,61,-0.15531090359744995,-0.17311508229482103,0.1969793038544022,387,True,0.463768115942029,-0.15531090359744992,-0.008628383533191663,-0.0017856125075509342,9,1,69,-0.15843580725155995,-0.010562387150103996,0.0,7,1,62,-0.10617447477951987,-0.008847872898293323,0.00014542026784503375,5,1,47
30,0.06,10.0,30,73,45,43,-0.19650171651610704,-0.326694847369317,0.27503689778653806,386,True,0.5333333333333333,-0.19650171651610704,-0.010916762028672613,-0.004807016717707387,10,1,45,-0.15911908936208385,-0.01060793929080559,-0.008740227116271867,9,0,40,-0.1288395792853645,-0.010736631607113708,-0.004807016717707387,7,0,30
120,0.06,10.0,60,65,44,39,-0.10260655981877059,-0.11070087184502797,0.2709339147607607,386,True,0.4772727272727273,-0.10260655981877059,-0.005700364434376144,0.0,8,3,44,-0.16171274044470654,-0.010780849362980436,0.0,7,3,38,-0.026690633635077426,-0.0022242194695897854,-0.0014425151719487652,6,2,28
45,0.02,10.0,30,278,165,156,-0.19325674775692875,-0.33837317653206167,0.3179651657716353,387,True,0.4666666666666667,-0.19325674775692864,-0.010736485986496035,-0.018740362202573347,11,0,165,-0.1633607397589607,-0.010890715983930713,-0.02139939092600028,9,0,143,-0.2803017435992824,-0.023358478633273533,-0.03120966892298333,8,0,109
120,0.02,10.0,30,139,83,68,-0.16866298351549028,-0.18506256465033633,0.20561823404244445,387,True,0.3855421686746988,-0.16866298351549025,-0.00937016575086057,-0.008147409508824251,11,0,83,-0.16584860218195321,-0.01105657347879688,-0.006987540526970147,9,0,73,-0.11788745993540757,-0.009823954994617298,-0.005279382771036008,7,0,48
60,0.06,8.0,5,122,76,73,-0.20920270615789646,-0.14350905528181837,0.23004308789179737,525,True,0.4342105263157895,-0.20920270615789643,-0.01162237256432758,-0.0007549633068767948,9,2,76,-0.16704677277471308,-0.011136451518314206,0.0,7,2,69,-0.04500926714903911,-0.003750772262419926,-0.0007549633068767948,6,2,50
90,0.04,10.0,15,100,71,70,-0.21728171973110383,-0.27494927872902686,0.22247966475850475,534,True,0.352112676056338,-0.2172817197311038,-0.012071206651727989,-0.00681752183153355,12,1,71,-0.16813351369254798,-0.011208900912836531,-0.0010869567746793988,9,1,61,-0.10767227485959147,-0.008972689571632622,-0.0006424162673503942,7,1,50
90,0.06,6.0,15,188,135,119,-0.18359653467735332,-0.24816163820908216,0.24782268252969203,386,True,0.43703703703703706,-0.18359653467735332,-0.010199807482075184,-0.007201139159409332,10,1,135,-0.16893813385107032,-0.011262542256738022,-0.010003737644016839,8,1,117,-0.07751281568361773,-0.0064594013069681445,-0.005445746143055335,6,1,76
90,0.02,10.0,5,140,100,92,-0.20050576874256298,-0.24488969667077243,0.21622697595209828,528,True,0.35,-0.20050576874256296,-0.011139209374586831,-0.007127411139780184,11,1,100,-0.16963666636259989,-0.011309111090839992,-0.00642079001308354,9,1,87,-0.06434623682011448,-0.005362186401676207,-0.0029409794770980362,6,1,66
90,0.04,10.0,30,100,77,67,-0.21188382331713543,-0.21892482665745983,0.2187848782556128,534,True,0.35064935064935066,-0.2118838233171354,-0.011771323517618634,-0.004814994309800754,11,1,77,-0.17322406223737186,-0.01154827081582479,-0.003535294350822114,9,1,67,-0.15334157898441536,-0.012778464915367946,-0.004814994309800754,8,1,48
30,0.06,8.0,15,96,64,58,-0.14706247196030575,-0.1997365391126693,0.2171875310761652,386,True,0.5,-0.14706247196030575,-0.008170137331128098,-0.002824065416974218,9,1,64,-0.1737200399478146,-0.011581335996520973,-0.005648130833948436,8,0,59,-0.12477481682114634,-0.010397901401762196,-0.007343975531887255,7,0,40
30,0.06,10.0,15,73,46,44,-0.19082367565038566,-0.2702421851613129,0.26516371924912174,386,True,0.5,-0.19082367565038566,-0.010601315313910314,-0.005296664042105878,10,1,46,-0.17544430714609033,-0.011696287143072689,-0.008037772528656225,9,0,41,-0.10946899399636609,-0.00912241616636384,-0.011273253710466554,7,0,31
90,0.06,8.0,15,97,68,65,-0.18966835755079173,-0.24089502404193844,0.21331350179600228,386,True,0.4411764705882353,-0.1896683575507917,-0.010537130975043984,-0.00012455636009095147,9,1,68,-0.18046348216977898,-0.012030898811318599,-0.00024911272018190295,8,1,56,-0.058097054449060215,-0.0048414212040883515,-0.00012455636009095147,6,1,43
30,0.06,6.0,15,133,93,88,-0.1553201708196103,-0.030058961384872115,0.3251547794758552,388,True,0.5053763440860215,-0.15532017081961025,-0.008628898378867236,-0.006023932622790602,11,0,93,-0.1804818625349457,-0.01203212416899638,-0.0052327922369732535,9,0,84,-0.09862330527510538,-0.008218608772925448,-0.011103669247723564,8,0,57
120,0.04,10.0,60,107,66,58,-0.14160385149011345,-0.14817792168305363,0.30029945954022624,387,True,0.48484848484848486,-0.14160385149011342,-0.007866880638339634,-0.0025623874431800423,11,1,66,-0.183863224339203,-0.012257548289280199,-0.0029596100065073447,9,1,59,-0.020440625424746478,-0.0017033854520622064,-0.0025623874431800423,7,1,45
