symbol,session,window,candidate_events
AMD,2026-03-04,midday,568
AVGO,2024-12-04,morning,404
AVGO,2024-12-04,midday,157
AVGO,2025-01-08,morning,300
AVGO,2025-01-08,midday,151
AVGO,2025-03-05,morning,386
AVGO,2025-03-05,midday,173
AVGO,2025-04-02,morning,177
AVGO,2025-04-02,midday,81
AVGO,2025-06-04,morning,205
AVGO,2025-06-04,midday,72
AVGO,2025-07-02,morning,104
AVGO,2025-07-02,midday,25
AVGO,2025-09-03,morning,171
AVGO,2025-09-03,midday,55
AVGO,2025-10-01,morning,109
AVGO,2025-10-01,midday,35
AVGO,2025-12-03,morning,275
AVGO,2025-12-03,midday,101
AVGO,2026-01-07,morning,292
AVGO,2026-01-07,midday,137
AVGO,2026-02-04,morning,496
AVGO,2026-02-04,midday,266
AVGO,2026-03-04,morning,523
AVGO,2026-03-04,midday,136
MU,2024-12-04,morning,854
MU,2024-12-04,midday,358
MU,2025-01-08,morning,780
MU,2025-01-08,midday,383
MU,2025-03-05,morning,660
MU,2025-03-05,midday,402
MU,2025-04-02,morning,482
MU,2025-04-02,midday,242
MU,2025-06-04,morning,612
MU,2025-06-04,midday,301
MU,2025-07-02,morning,693
MU,2025-07-02,midday,153
MU,2025-09-03,morning,345
MU,2025-09-03,midday,221
MU,2025-10-01,morning,616
MU,2025-10-01,midday,231
MU,2025-12-03,morning,296
MU,2025-12-03,midday,22
MU,2026-01-07,morning,489
MU,2026-01-07,midday,89
MU,2026-02-04,morning,323
MU,2026-02-04,midday,274
MU,2026-03-04,morning,405
MU,2026-03-04,midday,96
TSLA,2024-12-04,morning,743
TSLA,2024-12-04,midday,237
TSLA,2025-01-08,morning,1118
TSLA,2025-01-08,midday,410
TSLA,2025-03-05,morning,1628
TSLA,2025-03-05,midday,463
TSLA,2025-04-02,morning,1351
TSLA,2025-04-02,midday,694
TSLA,2025-06-04,morning,909
TSLA,2025-06-04,midday,267
TSLA,2025-07-02,morning,1252
TSLA,2025-07-02,midday,504
TSLA,2025-09-03,morning,789
TSLA,2025-09-03,midday,285
TSLA,2025-10-01,morning,373
TSLA,2025-10-01,midday,546
TSLA,2025-12-03,morning,3671
TSLA,2025-12-03,midday,1326
TSLA,2026-01-07,morning,2010
TSLA,2026-01-07,midday,541
TSLA,2026-02-04,morning,1857
TSLA,2026-02-04,midday,1454
TSLA,2026-03-04,morning,2298
TSLA,2026-03-04,midday,1086
JPM,2024-12-04,morning,50
JPM,2024-12-04,midday,97
JPM,2025-01-08,morning,137
JPM,2025-01-08,midday,59
JPM,2025-03-05,morning,182
JPM,2025-03-05,midday,87
JPM,2025-04-02,morning,59
JPM,2025-04-02,midday,72
JPM,2025-06-04,morning,85
JPM,2025-06-04,midday,55
JPM,2025-07-02,morning,59
JPM,2025-07-02,midday,33
JPM,2025-09-03,morning,55
JPM,2025-09-03,midday,27
JPM,2025-10-01,morning,67
JPM,2025-10-01,midday,35
JPM,2025-12-03,morning,145
JPM,2025-12-03,midday,39
JPM,2026-01-07,morning,218
JPM,2026-01-07,midday,78
JPM,2026-02-04,morning,96
JPM,2026-02-04,midday,105
JPM,2026-03-04,morning,197
JPM,2026-03-04,midday,54
BAC,2024-12-04,morning,580
BAC,2024-12-04,midday,473
BAC,2025-01-08,morning,1045
BAC,2025-01-08,midday,499
BAC,2025-03-05,morning,1863
BAC,2025-03-05,midday,1691
BAC,2025-04-02,morning,1121
BAC,2025-04-02,midday,826
BAC,2025-06-04,morning,1738
BAC,2025-06-04,midday,236
BAC,2025-07-02,morning,1200
BAC,2025-07-02,midday,228
BAC,2025-09-03,morning,875
BAC,2025-09-03,midday,474
BAC,2025-10-01,morning,739
BAC,2025-10-01,midday,565
BAC,2025-12-03,morning,1142
BAC,2025-12-03,midday,717
BAC,2026-01-07,morning,1192
BAC,2026-01-07,midday,690
BAC,2026-02-04,morning,1550
BAC,2026-02-04,midday,1455
BAC,2026-03-04,morning,3425
BAC,2026-03-04,midday,737
WFC,2024-12-04,morning,190
WFC,2024-12-04,midday,157
WFC,2025-01-08,morning,433
WFC,2025-01-08,midday,253
WFC,2025-03-05,morning,857
WFC,2025-03-05,midday,590
WFC,2025-04-02,morning,589
WFC,2025-04-02,midday,605
WFC,2025-06-04,morning,1422
WFC,2025-06-04,midday,457
WFC,2025-07-02,morning,508
WFC,2025-07-02,midday,289
WFC,2025-09-03,morning,374
WFC,2025-09-03,midday,276
WFC,2025-10-01,morning,357
WFC,2025-10-01,midday,465
WFC,2025-12-03,morning,268
WFC,2025-12-03,midday,176
WFC,2026-01-07,morning,531
WFC,2026-01-07,midday,405
WFC,2026-02-04,morning,500
WFC,2026-02-04,midday,558
WFC,2026-03-04,morning,314
WFC,2026-03-04,midday,261
XOM,2024-12-04,morning,411
XOM,2024-12-04,midday,245
XOM,2025-01-08,morning,547
XOM,2025-01-08,midday,265
XOM,2025-03-05,morning,893
XOM,2025-03-05,midday,323
XOM,2025-04-02,morning,766
XOM,2025-04-02,midday,353
XOM,2025-06-04,morning,1124
XOM,2025-06-04,midday,924
XOM,2025-07-02,morning,825
XOM,2025-07-02,midday,445
XOM,2025-09-03,morning,781
XOM,2025-09-03,midday,566
XOM,2025-10-01,morning,487
XOM,2025-10-01,midday,336
XOM,2025-12-03,morning,755
XOM,2025-12-03,midday,293
XOM,2026-01-07,morning,2124
XOM,2026-01-07,midday,905
XOM,2026-02-04,morning,892
XOM,2026-02-04,midday,378
XOM,2026-03-04,morning,1048
XOM,2026-03-04,midday,393
CVX,2024-12-04,morning,185
CVX,2024-12-04,midday,85
CVX,2025-01-08,morning,181
CVX,2025-01-08,midday,51
CVX,2025-03-05,morning,235
CVX,2025-03-05,midday,108
CVX,2025-04-02,morning,78
CVX,2025-04-02,midday,128
CVX,2025-06-04,morning,171
CVX,2025-06-04,midday,94
CVX,2025-07-02,morning,227
CVX,2025-07-02,midday,99
CVX,2025-09-03,morning,146
CVX,2025-09-03,midday,104
CVX,2025-10-01,morning,171
CVX,2025-10-01,midday,198
CVX,2025-12-03,morning,155
CVX,2025-12-03,midday,174
CVX,2026-01-07,morning,208
CVX,2026-01-07,midday,130
CVX,2026-02-04,morning,894
CVX,2026-02-04,midday,354
CVX,2026-03-04,morning,425
CVX,2026-03-04,midday,221
LLY,2024-12-04,morning,29
LLY,2024-12-04,midday,8
LLY,2025-01-08,morning,27
LLY,2025-01-08,midday,5
LLY,2025-03-05,morning,25
LLY,2025-03-05,midday,47
LLY,2025-04-02,morning,8
LLY,2025-04-02,midday,6
LLY,2025-06-04,morning,19
LLY,2025-06-04,midday,19
LLY,2025-07-02,morning,70
LLY,2025-07-02,midday,27
LLY,2025-09-03,morning,11
LLY,2025-09-03,midday,9
LLY,2025-10-01,morning,66
LLY,2025-10-01,midday,35
LLY,2025-12-03,morning,145
LLY,2025-12-03,midday,13
LLY,2026-01-07,morning,91
LLY,2026-01-07,midday,42
LLY,2026-02-04,morning,99
LLY,2026-02-04,midday,33
LLY,2026-03-04,morning,47
LLY,2026-03-04,midday,7
UNH,2024-12-04,morning,52
UNH,2024-12-04,midday,12
UNH,2025-01-08,morning,15
UNH,2025-01-08,midday,15
UNH,2025-03-05,morning,40
UNH,2025-03-05,midday,23
UNH,2025-04-02,morning,21
UNH,2025-04-02,midday,21
UNH,2025-06-04,morning,109
UNH,2025-06-04,midday,43
UNH,2025-07-02,morning,76
UNH,2025-07-02,midday,23
UNH,2025-09-03,morning,120
UNH,2025-09-03,midday,74
UNH,2025-10-01,morning,67
UNH,2025-10-01,midday,47
UNH,2025-12-03,morning,59
UNH,2025-12-03,midday,86
UNH,2026-01-07,morning,126
UNH,2026-01-07,midday,59
UNH,2026-02-04,morning,179
UNH,2026-02-04,midday,175
UNH,2026-03-04,morning,52
UNH,2026-03-04,midday,65
JNJ,2024-12-04,morning,79
JNJ,2024-12-04,midday,34
JNJ,2025-01-08,morning,100
JNJ,2025-01-08,midday,69
JNJ,2025-03-05,morning,38
JNJ,2025-03-05,midday,61
JNJ,2025-04-02,morning,221
JNJ,2025-04-02,midday,105
JNJ,2025-06-04,morning,129
JNJ,2025-06-04,midday,52
JNJ,2025-07-02,morning,177
JNJ,2025-07-02,midday,37
JNJ,2025-09-03,morning,238
JNJ,2025-09-03,midday,88
JNJ,2025-10-01,morning,112
JNJ,2025-10-01,midday,80
JNJ,2025-12-03,morning,66
JNJ,2025-12-03,midday,59
JNJ,2026-01-07,morning,109
JNJ,2026-01-07,midday,58
JNJ,2026-02-04,morning,38
JNJ,2026-02-04,midday,65
JNJ,2026-03-04,morning,62
JNJ,2026-03-04,midday,34
WMT,2024-12-04,morning,428
WMT,2024-12-04,midday,101
WMT,2025-01-08,morning,680
WMT,2025-01-08,midday,227
WMT,2025-03-05,morning,539
WMT,2025-03-05,midday,495
WMT,2025-04-02,morning,550
WMT,2025-04-02,midday,157
WMT,2025-06-04,morning,427
WMT,2025-06-04,midday,215
WMT,2025-07-02,morning,210
WMT,2025-07-02,midday,174
WMT,2025-09-03,morning,357
WMT,2025-09-03,midday,460
WMT,2025-10-01,morning,177
WMT,2025-10-01,midday,206
WMT,2025-12-03,morning,422
WMT,2025-12-03,midday,406
WMT,2026-01-07,morning,623
WMT,2026-01-07,midday,693
WMT,2026-02-04,morning,698
WMT,2026-02-04,midday,720
WMT,2026-03-04,morning,650
WMT,2026-03-04,midday,172
COST,2024-12-04,morning,8
COST,2024-12-04,midday,6
COST,2025-01-08,morning,44
COST,2025-01-08,midday,20
COST,2025-03-05,morning,18
COST,2025-03-05,midday,6
COST,2025-04-02,morning,24
COST,2025-04-02,midday,8
COST,2025-06-04,morning,11
COST,2025-06-04,midday,2
COST,2025-07-02,morning,14
COST,2025-07-02,midday,41
COST,2025-09-03,morning,9
COST,2025-09-03,midday,31
COST,2025-10-01,morning,25
COST,2025-10-01,midday,8
COST,2025-12-03,morning,72
COST,2025-12-03,midday,25
COST,2026-01-07,morning,50
COST,2026-01-07,midday,17
COST,2026-02-04,morning,56
COST,2026-02-04,midday,20
COST,2026-03-04,morning,61
COST,2026-03-04,midday,16
HD,2024-12-04,morning,15
HD,2024-12-04,midday,15
HD,2025-01-08,morning,38
HD,2025-01-08,midday,29
HD,2025-03-05,morning,82
HD,2025-03-05,midday,23
HD,2025-04-02,morning,33
HD,2025-04-02,midday,19
HD,2025-06-04,morning,32
HD,2025-06-04,midday,38
HD,2025-07-02,morning,27
HD,2025-07-02,midday,7
HD,2025-09-03,morning,30
HD,2025-09-03,midday,10
HD,2025-10-01,morning,12
HD,2025-10-01,midday,9
HD,2025-12-03,morning,37
HD,2025-12-03,midday,11
HD,2026-01-07,morning,88
HD,2026-01-07,midday,86
HD,2026-02-04,morning,97
HD,2026-02-04,midday,74
HD,2026-03-04,morning,47
HD,2026-03-04,midday,21
DIS,2024-12-04,morning,186
DIS,2024-12-04,midday,43
DIS,2025-01-08,morning,150
DIS,2025-01-08,midday,72
DIS,2025-03-05,morning,100
DIS,2025-03-05,midday,68
DIS,2025-04-02,morning,133
DIS,2025-04-02,midday,112
DIS,2025-06-04,morning,108
DIS,2025-06-04,midday,42
DIS,2025-07-02,morning,97
DIS,2025-07-02,midday,36
DIS,2025-09-03,morning,192
DIS,2025-09-03,midday,134
DIS,2025-10-01,morning,84
DIS,2025-10-01,midday,101
DIS,2025-12-03,morning,71
DIS,2025-12-03,midday,106
DIS,2026-01-07,morning,123
DIS,2026-01-07,midday,63
DIS,2026-02-04,morning,163
DIS,2026-02-04,midday,106
DIS,2026-03-04,morning,320
DIS,2026-03-04,midday,89
UBER,2024-12-04,morning,220
UBER,2024-12-04,midday,201
UBER,2025-01-08,morning,576
UBER,2025-01-08,midday,167
UBER,2025-03-05,morning,207
UBER,2025-03-05,midday,186
UBER,2025-04-02,morning,450
UBER,2025-04-02,midday,289
UBER,2025-06-04,morning,503
UBER,2025-06-04,midday,160
UBER,2025-07-02,morning,217
UBER,2025-07-02,midday,138
UBER,2025-09-03,morning,454
UBER,2025-09-03,midday,182
UBER,2025-10-01,morning,202
UBER,2025-10-01,midday,99
UBER,2025-12-03,morning,262
UBER,2025-12-03,midday,83
UBER,2026-01-07,morning,522
UBER,2026-01-07,midday,221
UBER,2026-02-04,morning,711
UBER,2026-02-04,midday,337
UBER,2026-03-04,morning,180
UBER,2026-03-04,midday,118
PLTR,2024-12-04,morning,2133
PLTR,2024-12-04,midday,366
PLTR,2025-01-08,morning,2107
PLTR,2025-01-08,midday,1021
PLTR,2025-03-05,morning,2990
PLTR,2025-03-05,midday,1520
PLTR,2025-04-02,morning,3219
PLTR,2025-04-02,midday,1345
PLTR,2025-06-04,morning,3739
PLTR,2025-06-04,midday,784
PLTR,2025-07-02,morning,1690
PLTR,2025-07-02,midday,662
PLTR,2025-09-03,morning,1116
PLTR,2025-09-03,midday,788
PLTR,2025-10-01,morning,1054
PLTR,2025-10-01,midday,449
PLTR,2025-12-03,morning,1633
PLTR,2025-12-03,midday,598
PLTR,2026-01-07,morning,624
PLTR,2026-01-07,midday,284
PLTR,2026-02-04,morning,1651
PLTR,2026-02-04,midday,839
PLTR,2026-03-04,morning,1168
PLTR,2026-03-04,midday,833
