variant,direction,horizon,portfolio,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,signal_days,post_signal_invalid_days,active_days_recent,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
continuation_final_balanced_c20,continuation,final,balanced,20,-1.331594270961519,1.3331563758155853,,True,368,2,366,,-0.07397745949786218,17,0,-0.07926904117389241,14,0,-0.08169100403002212,11,0
absorption_0945_long_only_c0,absorption,0945,long_only,0,-0.1515193137921167,0.1864150698450503,,True,373,27,323,,-0.008417739655117594,13,0,-0.004963674170940822,10,0,-0.0018708633821717952,7,0
absorption_0945_short_only_c0,absorption,0945,short_only,0,0.10358344775882264,0.09934084350661963,126.0,False,373,27,336,1.597360926654843,0.005754635986601257,9,0,0.0062897941487934815,7,0,0.011311871352210713,5,0
absorption_0945_balanced_c0,absorption,0945,balanced,0,-0.023967933016647004,0.10483090112726745,151.0,False,373,27,346,,-0.001331551834258167,10,0,0.0006630599889263305,8,0,0.004720503985019458,6,0
absorption_0945_long_only_c5,absorption,0945,long_only,5,-0.47451931379211687,0.504742174907343,,True,373,27,323,,-0.026362184099562053,14,0,-0.023163674170940837,11,0,-0.02045419671550514,8,0
absorption_0945_short_only_c5,absorption,0945,short_only,5,-0.2324165522411774,0.23405714542257558,,True,373,27,336,,-0.012912030680065412,11,0,-0.01257687251787319,9,0,-0.00818812864778929,7,0
absorption_0945_balanced_c5,absorption,0945,balanced,5,-0.35346793301664714,0.36843585473973756,,True,373,27,346,,-0.01963710738981373,12,0,-0.017870273344407012,10,0,-0.014321162681647214,8,0
absorption_0945_long_only_c10,absorption,0945,long_only,10,-0.7975193137921169,0.823706853539641,,True,373,27,323,,-0.0443066285440065,16,0,-0.04136367417094085,13,0,-0.039037530048838476,10,0
absorption_0945_short_only_c10,absorption,0945,short_only,10,-0.5684165522411775,0.5701076054273617,,True,373,27,336,,-0.03157869734673207,13,0,-0.031443539184539855,11,0,-0.027688128647789287,9,0
absorption_0945_balanced_c10,absorption,0945,balanced,10,-0.6829679330166472,0.6944203172915115,,True,373,27,346,,-0.03794266294536929,17,0,-0.03640360667774035,14,0,-0.03336282934831388,11,0
absorption_0945_long_only_c20,absorption,0945,long_only,20,-1.443519313792117,1.4635566088221348,,True,373,27,323,,-0.08019551743289538,18,0,-0.07776367417094085,15,0,-0.07620419671550514,12,0
absorption_0945_short_only_c20,absorption,0945,short_only,20,-1.2404165522411774,1.2442398706109572,,True,373,27,336,,-0.0689120306800654,17,0,-0.06917687251787319,15,0,-0.0666881286477893,12,0
absorption_0945_balanced_c20,absorption,0945,balanced,20,-1.3419679330166472,1.348355814990797,,True,373,27,346,,-0.0745537740564804,18,0,-0.07347027334440702,15,0,-0.0714461626816472,12,0
absorption_1000_long_only_c0,absorption,1000,long_only,0,-0.028281059043982926,0.2252698967747203,162.0,False,373,14,336,,-0.0015711699468879414,8,0,0.0036580832738759314,6,0,0.01081892640753507,4,0
absorption_1000_short_only_c0,absorption,1000,short_only,0,0.11600475303870013,0.09707626882403335,59.0,False,373,14,349,1.5469648395902211,0.006444708502150006,9,0,0.010215095406202761,7,0,0.012427355345854582,5,0
absorption_1000_balanced_c0,absorption,1000,balanced,0,0.04386184699735858,0.15699295638096214,133.0,False,373,14,359,2.992918862743445,0.0024367692776310324,9,0,0.0069365893400393465,6,0,0.011623140876694827,4,0
absorption_1000_long_only_c5,absorption,1000,long_only,5,-0.3642810590439832,0.40094212418187025,,True,373,14,336,,-0.02023783661355462,13,0,-0.015275250059457417,10,0,-0.008181073592464942,8,0
absorption_1000_short_only_c5,absorption,1000,short_only,5,-0.23299524696129997,0.23292600940918134,,True,373,14,349,,-0.01294418038673889,12,0,-0.009384904593797242,9,0,-0.007489311320812093,7,0
absorption_1000_balanced_c5,absorption,1000,balanced,5,-0.2986381530026416,0.30623808400024827,,True,373,14,359,,-0.01659100850014675,13,0,-0.012330077326627328,10,0,-0.007835192456638516,8,0
absorption_1000_long_only_c10,absorption,1000,long_only,10,-0.7002810590439833,0.7230016488884237,,True,373,14,336,,-0.03890450328022129,14,0,-0.03420858339279075,11,0,-0.02718107359246495,9,0
absorption_1000_short_only_c10,absorption,1000,short_only,10,-0.5819952469612999,0.5810408248216201,,True,373,14,349,,-0.03233306927562777,13,0,-0.028984904593797246,10,0,-0.027405977987478753,8,0
absorption_1000_balanced_c10,absorption,1000,balanced,10,-0.6411381530026417,0.6456356089112633,,True,373,14,359,,-0.03561878627792454,14,0,-0.031596743993294,11,0,-0.02729352578997185,9,0
absorption_1000_long_only_c20,absorption,1000,long_only,20,-1.3722810590439831,1.3850437993273854,,True,373,14,336,,-0.07623783661355463,16,0,-0.07207525005945743,13,0,-0.06518107359246494,10,0
absorption_1000_short_only_c20,absorption,1000,short_only,20,-1.2799952469612998,1.2812703379783148,,True,373,14,349,,-0.07111084705340555,17,0,-0.06818490459379722,14,0,-0.0672393113208121,11,0
absorption_1000_balanced_c20,absorption,1000,balanced,20,-1.3261381530026415,1.3277982953532552,,True,373,14,359,,-0.0736743418334801,18,0,-0.07013007732662734,15,0,-0.06621019245663852,12,0
absorption_1200_long_only_c0,absorption,1200,long_only,0,0.17799684357679765,0.30242386609064337,182.0,False,373,64,286,1.4065462561462172,0.009888713532044313,6,0,0.01805530660740937,5,0,0.03230566125272515,3,0
absorption_1200_short_only_c0,absorption,1200,short_only,0,0.13629950263434185,0.13425056314153672,,True,373,64,302,1.9793707117053603,0.007572194590796771,9,0,0.011300914621846252,7,0,0.01749222298422351,5,0
absorption_1200_balanced_c0,absorption,1200,balanced,0,0.15714817310556975,0.18990168614198524,136.0,False,373,64,309,1.017960391546661,0.008730454061420541,6,0,0.014678110614627806,3,0,0.024898942118474335,1,0
absorption_1200_long_only_c5,absorption,1200,long_only,5,-0.10800315642320257,0.3659667828703063,,True,373,64,286,,-0.0060001753568445886,9,0,0.0019219732740760219,7,0,0.015888994586058476,5,0
absorption_1200_short_only_c5,absorption,1200,short_only,5,-0.16570049736565826,0.21255645078292532,,True,373,64,302,,-0.009205583186981016,11,0,-0.005699085378153759,9,0,-7.777015776497484e-06,6,0
absorption_1200_balanced_c5,absorption,1200,balanced,5,-0.1368518268944304,0.25691526242065443,,True,373,64,309,,-0.007602879271912801,9,0,-0.0018885560520388674,6,0,0.00794060878514099,4,0
absorption_1200_long_only_c10,absorption,1200,long_only,10,-0.3940031564232027,0.45301285628885035,,True,373,64,286,,-0.02188906424573348,12,0,-0.014211360059257319,9,0,-0.0005276720806081948,7,0
absorption_1200_short_only_c10,absorption,1200,short_only,10,-0.4677004973656583,0.46294977847695956,,True,373,64,302,,-0.025983360964758787,13,0,-0.022699085378153752,11,0,-0.017507777015776493,8,0
absorption_1200_balanced_c10,absorption,1200,balanced,10,-0.43085182689443036,0.443154299330025,,True,373,64,309,,-0.023936212605246136,14,0,-0.018455222718705536,11,0,-0.009017724548192343,8,0
absorption_1200_long_only_c20,absorption,1200,long_only,20,-0.9660031564232027,0.9888675038286432,,True,373,64,286,,-0.05366684202351126,15,0,-0.046478026725923986,12,0,-0.033361005413941526,9,0
absorption_1200_short_only_c20,absorption,1200,short_only,20,-1.0717004973656583,1.0724866842487177,,True,373,64,302,,-0.05953891652031435,16,0,-0.05669908537815375,14,0,-0.0525077770157765,11,0
absorption_1200_balanced_c20,absorption,1200,balanced,20,-1.0188518268944304,1.0205192735916486,,True,373,64,309,,-0.0566028792719128,17,0,-0.05158855605203885,14,0,-0.04293439121485901,11,0
absorption_final_long_only_c0,absorption,final,long_only,0,0.4674609711582008,0.35089017010763507,42.0,False,373,0,349,0.6404708961403778,0.025970053953233378,7,0,0.0396179733538822,5,0,0.039919006598943214,3,0
absorption_final_short_only_c0,absorption,final,short_only,0,-0.0012648558910789143,0.2398856299823398,195.0,False,373,0,363,,-7.026977172660943e-05,10,0,-0.0007262463871251914,9,0,0.012493234704052258,6,0
absorption_final_balanced_c0,absorption,final,balanced,0,0.23309805763356095,0.22502511421206634,138.0,False,373,0,373,0.7330312659305697,0.012949892090753385,6,0,0.019445863483378508,4,0,0.026206120651497734,2,0
absorption_final_long_only_c5,absorption,final,long_only,5,0.11846097115820048,0.4325000409622105,60.0,False,373,0,349,2.48516574049684,0.006581165064344473,10,0,0.019951306687215523,8,0,0.020169006598943193,6,0
absorption_final_short_only_c5,absorption,final,short_only,5,-0.36426485589107915,0.37424218941789783,,True,373,0,363,,-0.02023693643839329,12,0,-0.02105957972045853,10,0,-0.008173431962614422,7,0
absorption_final_balanced_c5,absorption,final,balanced,5,-0.12290194236643934,0.311116536542347,,True,373,0,373,,-0.006827885687024405,11,0,-0.0005541365166215049,8,0,0.005997787318164389,6,0
absorption_final_long_only_c10,absorption,final,long_only,10,-0.23053902884179972,0.5150221007150851,,True,373,0,349,,-0.012807723824544422,12,0,0.00028464002054885,10,0,0.00041900659894318913,8,0
absorption_final_short_only_c10,absorption,final,short_only,10,-0.727264855891079,0.7246465872766072,,True,373,0,363,,-0.04040360310505994,13,0,-0.04139291305379186,11,0,-0.02884009862928108,8,0
absorption_final_balanced_c10,absorption,final,balanced,10,-0.4789019423664393,0.5014576154942398,,True,373,0,373,,-0.026605663464802184,14,0,-0.020554136516621507,11,0,-0.014210546015168945,9,0
absorption_final_long_only_c20,absorption,final,long_only,20,-0.9285390288417998,0.9779264338317049,,True,373,0,349,,-0.0515855016023222,14,0,-0.03904869331278448,11,0,-0.03908099340105681,9,0
absorption_final_short_only_c20,absorption,final,short_only,20,-1.453264855891079,1.4585421054297836,,True,373,0,363,,-0.08073693643839328,17,0,-0.08205957972045853,14,0,-0.07017343196261441,11,0
absorption_final_balanced_c20,absorption,final,balanced,20,-1.1909019423664393,1.1957565879672194,,True,373,0,373,,-0.06616121902035772,16,0,-0.06055413651662151,13,0,-0.05462721268183562,11,0
