variant,model,breadth,horizon,execution,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,stop_count,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
residual_quintile_M3_source_cc,residual,quintile,3,source_cc,-0.3191954943844605,-0.8697424915107914,-0.4348712457553957,0.3500112765972444,541,True,3670,367,0,-0.017733083021358915,14,-0.016872397324073897,11,-0.016919636831224563,9
residual_quintile_M3_actionable_oc,residual,quintile,3,actionable_oc,-0.33994706563454746,-0.9262862823829633,-0.46314314119148164,0.3666659901844455,541,True,3670,367,0,-0.018885948090808194,14,-0.018001905277518927,11,-0.017782823688772178,9
residual_quintile_M4_source_cc,residual,quintile,4,source_cc,-0.3377491250713896,-1.0225526039097477,-0.5112763019548738,0.3564616227238486,541,True,3303,367,0,-0.018763840281743868,15,-0.01925119423306435,12,-0.021326377581002375,10
residual_quintile_M6_source_cc,residual,quintile,6,source_cc,-0.3474974854038218,-1.3526566189327436,-0.6763283094663718,0.3524634909204591,541,True,2569,367,0,-0.01930541585576788,14,-0.019953207685802797,12,-0.02271418529831846,10
residual_quintile_M4_actionable_oc,residual,quintile,4,actionable_oc,-0.357567236731441,-1.0825529419662154,-0.5412764709831077,0.3722796077834861,541,True,3303,367,0,-0.019864846485080054,15,-0.020341612912006472,12,-0.022114778440859784,10
residual_quintile_M6_actionable_oc,residual,quintile,6,actionable_oc,-0.36222625886529314,-1.4099893299544304,-0.7049946649772152,0.3668217247544686,541,True,2569,367,0,-0.020123681048071843,14,-0.020738532345006024,12,-0.023307012247058834,10
raw_return_quintile_M2_source_cc,raw_return,quintile,2,source_cc,-0.35156658940387364,-0.870861009174817,-0.4354305045874085,0.3656949693921976,531,True,4037,367,0,-0.019531477189104092,14,-0.021068593060942012,12,-0.02989821780804136,10
raw_return_quintile_M4_protected_oc,raw_return,quintile,4,protected_oc,-0.44149425372861906,-1.3366462419879472,-0.6683231209939736,0.45190947147384036,540,True,3303,367,2600,-0.024527458540478837,16,-0.021711353414862817,13,-0.03471665490507822,11
raw_return_quintile_M2_protected_oc,raw_return,quintile,2,protected_oc,-0.3714127293858296,-0.9200216234476829,-0.46001081172384145,0.39092424295798256,364,True,4037,367,1405,-0.020634040521434978,14,-0.021817684147139464,12,-0.03255729120177974,10
raw_return_quintile_M2_actionable_oc,raw_return,quintile,2,actionable_oc,-0.3723278841480575,-0.9222885413625403,-0.4611442706812702,0.38493672620818725,531,True,4037,367,0,-0.02068488245266986,14,-0.022181627064576884,12,-0.03066078930908959,10
raw_return_quintile_M6_source_cc,raw_return,quintile,6,source_cc,-0.5185846695673119,-2.0186246382534527,-1.0093123191267264,0.5286835246255797,541,True,2569,367,0,-0.028810259420406208,14,-0.023286080796710195,11,-0.028485120138207073,10
raw_return_quintile_M6_actionable_oc,raw_return,quintile,6,actionable_oc,-0.5340270548593109,-2.078735129853292,-1.039367564926646,0.5439161935076086,541,True,2569,367,0,-0.02966816971440616,14,-0.02415139936280983,11,-0.029031832570380136,10
residual_decile_M6_protected_oc,residual,decile,6,protected_oc,-0.46059224083546046,-1.7928853282812782,-0.8964426641406391,0.48087757074910725,359,True,2569,367,1802,-0.02558845782419224,14,-0.02560059081903767,12,-0.040234318610854226,10
residual_decile_M4_protected_oc,residual,decile,4,protected_oc,-0.533503420054301,-1.6152086589594337,-0.8076043294797168,0.5264297421656271,359,True,3303,367,1586,-0.029639078891905615,14,-0.027008569715693785,11,-0.04163847390450825,10
raw_return_quintile_M4_source_cc,raw_return,quintile,4,source_cc,-0.5335387675766587,-1.6153156753758964,-0.8076578376879482,0.5462315955319034,541,True,3303,367,0,-0.0296410426431477,16,-0.02710259310588877,13,-0.03257240912402211,11
raw_return_quintile_M3_protected_oc,raw_return,quintile,3,protected_oc,-0.5095153213404597,-1.3883251262682827,-0.6941625631341414,0.5184156615383351,541,True,3670,367,2083,-0.02830640674113665,16,-0.027405437698350667,13,-0.03613139072275165,11
residual_decile_M2_source_cc,residual,decile,2,source_cc,-0.44057162840419717,-1.0913342293886479,-0.5456671146943239,0.4532869453134569,527,True,4037,367,0,-0.024476201578010955,13,-0.02759969266828178,11,-0.0358171819217492,10
raw_return_quintile_M4_actionable_oc,raw_return,quintile,4,actionable_oc,-0.5520113099169797,-1.6712422340810769,-0.8356211170405384,0.564274102459857,541,True,3303,367,0,-0.03066729499538776,16,-0.028115810252463885,13,-0.03325397947230357,11
raw_return_decile_M2_source_cc,raw_return,decile,2,source_cc,-0.46526157005117263,-1.1524933615337445,-0.5762466807668722,0.4792927009712052,359,True,4037,367,0,-0.02584786500284293,13,-0.02864973150397364,11,-0.039522142798043065,9
residual_decile_M4_source_cc,residual,decile,4,source_cc,-0.536011289135982,-1.622801359781962,-0.811400679890981,0.5323098770706934,541,True,3303,367,0,-0.02977840495199899,14,-0.029157537885176426,11,-0.038569617150059916,10
residual_decile_M2_actionable_oc,residual,decile,2,actionable_oc,-0.46980458498453104,-1.163746804519522,-0.581873402259761,0.48046597401511504,527,True,4037,367,0,-0.026100254721362834,13,-0.029246664835088323,11,-0.03701730303597143,10
raw_return_quintile_M3_source_cc,raw_return,quintile,3,source_cc,-0.5543898526260593,-1.5105990534770009,-0.7552995267385004,0.5620332711196877,541,True,3670,367,0,-0.030799436257003297,15,-0.02957661421075597,12,-0.03398263304065119,10
raw_return_decile_M2_protected_oc,raw_return,decile,2,protected_oc,-0.5064976391444448,-1.2546386899788082,-0.6273193449894041,0.521102148815326,371,True,4037,367,927,-0.02813875773024694,13,-0.029636958102614384,11,-0.0431223352543691,9
raw_return_decile_M2_actionable_oc,raw_return,decile,2,actionable_oc,-0.49781768526121645,-1.2331376895249353,-0.6165688447624676,0.5073773728913111,527,True,4037,367,0,-0.027656538070067585,13,-0.030484450539873666,11,-0.040901036074639026,9
raw_return_quintile_M3_actionable_oc,raw_return,quintile,3,actionable_oc,-0.5728209889960361,-1.5608201335041851,-0.7804100667520926,0.5801708385522726,541,True,3670,367,0,-0.03182338827755756,15,-0.030562376254736685,12,-0.034701761470351804,10
residual_decile_M4_actionable_oc,residual,decile,4,actionable_oc,-0.5638981553614799,-1.7072302614637598,-0.8536151307318799,0.5603596726509612,541,True,3303,367,0,-0.03132767529785999,15,-0.030771493918113797,12,-0.03982979395799805,10
residual_decile_M2_protected_oc,residual,decile,2,protected_oc,-0.5428190250533976,-1.3446099208654885,-0.6723049604327442,0.5431851560264795,527,True,4037,367,906,-0.030156612502966536,14,-0.03177647525338383,12,-0.03967491825692388,10
residual_decile_M3_source_cc,residual,decile,3,source_cc,-0.552095394168287,-1.504347123074351,-0.7521735615371755,0.5549107559403823,531,True,3670,367,0,-0.030671966342682613,16,-0.03180096592513539,13,-0.036212292613848784,10
residual_decile_M6_source_cc,residual,decile,6,source_cc,-0.5712761231825494,-2.2237295569581526,-1.1118647784790763,0.5649393937178973,541,True,2569,367,0,-0.03173756239903053,14,-0.0321665133672853,12,-0.038894137546016845,10
raw_return_decile_M6_protected_oc,raw_return,decile,6,protected_oc,-0.6654590726252094,-2.590342828436004,-1.295171414218002,0.6855430870153739,381,True,2569,367,1881,-0.036969948479178304,14,-0.03221729699358967,11,-0.04982738742789183,9
residual_decile_M3_protected_oc,residual,decile,3,protected_oc,-0.5821573319907158,-1.5862597601926862,-0.7931298800963431,0.578266770282191,541,True,3670,367,1307,-0.03234207399948422,15,-0.032550840012082596,12,-0.03943228705495541,10
raw_return_decile_M4_protected_oc,raw_return,decile,4,protected_oc,-0.6743925435486092,-2.0417576250336333,-1.0208788125168167,0.6679971694399427,542,True,3303,367,1646,-0.03746625241936718,14,-0.03331236278128709,11,-0.04630810940666399,9
residual_decile_M3_actionable_oc,residual,decile,3,actionable_oc,-0.5801864087251571,-1.5808893970712732,-0.7904446985356366,0.5817695035484245,531,True,3670,367,0,-0.03223257826250873,16,-0.033374498298807086,13,-0.03744998370642185,10
residual_decile_M6_actionable_oc,residual,decile,6,actionable_oc,-0.5939931066933384,-2.312156896431835,-1.1560784482159174,0.5878422659098682,541,True,2569,367,0,-0.032999617038518794,14,-0.03350204958687433,12,-0.039906851101690614,10
raw_return_decile_M3_protected_oc,raw_return,decile,3,protected_oc,-0.6494192702926516,-1.7695347964377428,-0.8847673982188714,0.646380242524687,541,True,3670,367,1356,-0.03607884834959176,16,-0.03615417104554602,13,-0.04696277691690934,11
raw_return_decile_M3_source_cc,raw_return,decile,3,source_cc,-0.7307278374170016,-1.9910840256594047,-0.9955420128297023,0.7286342172004067,541,True,3670,367,0,-0.04059599096761121,16,-0.04063207658058696,13,-0.04535998232951557,10
raw_return_decile_M4_source_cc,raw_return,decile,4,source_cc,-0.8049693529983748,-2.4370855373853306,-1.2185427686926653,0.8140683525192544,541,True,3303,367,0,-0.044720519611020824,14,-0.04227882279081021,11,-0.04551849530218461,9
raw_return_decile_M3_actionable_oc,raw_return,decile,3,actionable_oc,-0.7603631204042667,-2.0718341155429614,-1.0359170577714807,0.7584550258382983,541,True,3670,367,0,-0.04224239557801482,16,-0.04230888485330387,13,-0.0466619858986958,10
raw_return_decile_M4_actionable_oc,raw_return,decile,4,actionable_oc,-0.8328047903993432,-2.521358735692835,-1.2606793678464174,0.834845280443651,541,True,3303,367,0,-0.04626693279996351,14,-0.04387244372573196,11,-0.04673703819611714,9
raw_return_decile_M6_source_cc,raw_return,decile,6,source_cc,-0.8581746980453617,-3.3405009655327427,-1.6702504827663713,0.8980469585559094,541,True,2569,367,0,-0.04767637211363121,14,-0.04423277604387759,11,-0.05077078628267476,9
raw_return_decile_M6_actionable_oc,raw_return,decile,6,actionable_oc,-0.8827820759039907,-3.436286788259988,-1.718143394129994,0.9173362433064436,541,True,2569,367,0,-0.049043448661332825,14,-0.04569562524507134,11,-0.05183134864761408,9
