candidate,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,trade_sessions,trade_session_fraction,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month,quote_cost_top5_symbol_share
cluster_r10_top3_p1,2.0,0.5806088040639777,0.1409040353889438,1.0,1080,251,1.0,8,4,0.04838406700533149,0.013971031959464881,-0.12247208228241283,0.19652563023350983,3.7365412960328523
cluster_r10_top3_p1,5.0,0.5142240786348,0.14631205956652873,1.0,1080,251,1.0,7,5,0.0428520065529,0.007080252440376391,-0.12659923488577476,0.19153819330484056,1.1682307801478051
corr09_p3,0.0,1.0530758331092303,0.106672677029584,1.0,1205,155,0.6175298804780877,9,3,0.08775631942576918,0.07944531938430338,-0.05313737130932873,0.29764651585092694,1.348627984710333
corr09_p3,1.0,1.0487775791409764,0.10700827880618378,1.0,1205,155,0.6175298804780877,9,3,0.08739813159508135,0.07899277970176369,-0.05349848242043983,0.29742429362870476,1.1668616414673687
corr09_p3,2.0,1.0444793251727225,0.10734534061503023,1.0,1205,155,0.6175298804780877,9,3,0.08703994376439352,0.07854024001922401,-0.05385959353155097,0.2972020714064825,1.0327052300527597
corr09_p3,5.0,1.0315845632679606,0.10836538213873005,1.0,1205,155,0.6175298804780877,9,3,0.08596538027233003,0.07718262097160496,-0.0549429268648843,0.2965354047398159,0.7816021296565575
ma200_top5_history252_p5,0.0,1.1137805647928116,0.1291129856704284,1.0,313,78,0.3107569721115538,10,2,0.09281504706606764,0.07049340956048508,-0.10393331814889534,0.36869031999958685,1.265860567854316
ma200_top5_history252_p5,1.0,1.109543898126145,0.12961319610704097,1.0,313,78,0.3107569721115538,10,2,0.0924619915105121,0.07013340956048508,-0.104449984815562,0.3686103199995869,1.2017129293373794
ma200_top5_history252_p5,2.0,1.1053072314594783,0.13011438158945388,1.0,313,78,0.3107569721115538,10,2,0.09210893595495652,0.06977340956048508,-0.10496665148222867,0.36853031999958685,1.1460802543306063
ma200_top5_history252_p5,5.0,1.0925972314594785,0.13162381690452787,1.0,313,78,0.3107569721115538,10,2,0.09104976928828985,0.06869340956048509,-0.10651665148222866,0.36829031999958683,1.0161330625150606
ma200_top5_native_p5,0.0,1.3022986120802378,0.1291129856704284,1.0,319,80,0.3187250996015936,10,2,0.10852488434001982,0.06881966604883269,-0.10393331814889534,0.36869031999958685,1.7875595454700517
ma200_top5_native_p5,1.0,1.2979419454135714,0.12961319610704097,1.0,319,80,0.3187250996015936,10,2,0.10816182878446427,0.06843966604883267,-0.104449984815562,0.3686103199995869,1.6190495320830327
ma200_top5_native_p5,2.0,1.2935852787469044,0.13011438158945388,1.0,319,80,0.3187250996015936,10,2,0.1077987732289087,0.06805966604883268,-0.10496665148222867,0.36853031999958685,1.4878932153579174
ma200_top5_native_p5,5.0,1.2805152787469045,0.13162381690452787,1.0,319,80,0.3187250996015936,10,2,0.10670960656224204,0.06691966604883268,-0.10651665148222866,0.36829031999958683,1.2207709401718758
ma50_200_top5_p5,0.0,1.317489733115268,0.12755945833536517,1.0,312,79,0.3147410358565737,10,2,0.10979081109293899,0.06531645844957355,-0.10393331814889534,0.36869031999958685,2.2148898157739034
ma50_200_top5_p5,1.0,1.3131830664486015,0.1280470739262047,1.0,312,79,0.3147410358565737,10,2,0.10943192220405011,0.06487812511624022,-0.104449984815562,0.3686103199995869,1.9415233428147773
ma50_200_top5_p5,2.0,1.3088763997819346,0.1285355897854027,1.0,312,79,0.3147410358565737,10,2,0.10907303331516122,0.06443979178290689,-0.10496665148222867,0.36853031999958685,1.7382521309292338
ma50_200_top5_p5,5.0,1.2959563997819346,0.1300065639744166,1.0,312,79,0.3147410358565737,10,2,0.10799636664849455,0.06312479178290689,-0.10651665148222866,0.36829031999958683,1.3542984078599645
triple_ma10_50_200_top3,0.0,1.468428744210678,0.13497985612798927,1.0,154,77,0.30677290836653387,11,1,0.12236906201755653,0.06947307856884397,-0.07530268184777432,0.45154540514485314,1.678393487741932
triple_ma10_50_200_top3,1.0,1.4632954108773446,0.13544822820589186,1.0,154,77,0.30677290836653387,10,2,0.12194128423977875,0.0690064119021773,-0.07610268184777431,0.4514787384781865,1.5676732281603485
triple_ma10_50_200_top3,2.0,1.4581620775440114,0.13591952259018453,1.0,154,77,0.30677290836653387,10,2,0.12151350646200094,0.06853974523551062,-0.07690268184777432,0.45141207181151977,1.4730526954568355
triple_ma10_50_200_top3,5.0,1.4427620775440113,0.13735121566170838,1.0,154,77,0.30677290836653387,10,2,0.12023017312866761,0.06713974523551063,-0.07930268184777432,0.4512120718115198,1.2569615323869714
