candidate,extra_adverse_bps_per_side,year,net_pnl
sp500_daily_ma200_corr08_smooth3_top10,1.0,2023,0.19266293021518197
sp500_daily_ma200_corr08_smooth3_top10,1.0,2024,0.12372069879624932
sp500_daily_ma200_corr08_smooth3_top10,1.0,2025,0.4840284257875123
sp500_daily_ma200_corr08_smooth3_top10,1.0,2026,0.530386526734983
sp500_daily_ma200_corr08_smooth3_top10,2.0,2021,0.0
sp500_daily_ma200_corr08_smooth3_top10,2.0,2022,0.04160668746166216
sp500_daily_ma200_corr08_smooth3_top10,2.0,2023,0.188422930215182
sp500_daily_ma200_corr08_smooth3_top10,2.0,2024,0.1193206987962493
sp500_daily_ma200_corr08_smooth3_top10,2.0,2025,0.4804284257875124
sp500_daily_ma200_corr08_smooth3_top10,2.0,2026,0.5297465267349829
sp500_daily_ma200_corr08_smooth3_top10,5.0,2021,0.0
sp500_daily_ma200_corr08_smooth3_top10,5.0,2022,0.02720668746166218
sp500_daily_ma200_corr08_smooth3_top10,5.0,2023,0.17570293021518196
sp500_daily_ma200_corr08_smooth3_top10,5.0,2024,0.10612069879624937
sp500_daily_ma200_corr08_smooth3_top10,5.0,2025,0.46962842578751235
sp500_daily_ma200_corr08_smooth3_top10,5.0,2026,0.527826526734983
sp500_daily_ma200_corr08_smooth3_top10,10.0,2021,0.0
sp500_daily_ma200_corr08_smooth3_top10,10.0,2022,0.00320668746166217
sp500_daily_ma200_corr08_smooth3_top10,10.0,2023,0.15450293021518197
sp500_daily_ma200_corr08_smooth3_top10,10.0,2024,0.08412069879624932
sp500_daily_ma200_corr08_smooth3_top10,10.0,2025,0.4516284257875124
sp500_daily_ma200_corr08_smooth3_top10,10.0,2026,0.5246265267349829
sp500_dual_ma50_200_weekly_top3,0.0,2021,0.0
sp500_dual_ma50_200_weekly_top3,0.0,2022,0.2516179566626838
sp500_dual_ma50_200_weekly_top3,0.0,2023,0.2884279243678531
sp500_dual_ma50_200_weekly_top3,0.0,2024,0.26332747357458597
sp500_dual_ma50_200_weekly_top3,0.0,2025,0.7165667142927475
sp500_dual_ma50_200_weekly_top3,0.0,2026,0.9850082706760488
sp500_dual_ma50_200_weekly_top3,1.0,2021,0.0
sp500_dual_ma50_200_weekly_top3,1.0,2022,0.2491179566626838
sp500_dual_ma50_200_weekly_top3,1.0,2023,0.2863612577011864
sp500_dual_ma50_200_weekly_top3,1.0,2024,0.2603941402412527
sp500_dual_ma50_200_weekly_top3,1.0,2025,0.7141000476260809
sp500_dual_ma50_200_weekly_top3,1.0,2026,0.9847416040093822
sp500_dual_ma50_200_weekly_top3,2.0,2021,0.0
sp500_dual_ma50_200_weekly_top3,2.0,2022,0.24661795666268377
sp500_dual_ma50_200_weekly_top3,2.0,2023,0.28429459103451976
sp500_dual_ma50_200_weekly_top3,2.0,2024,0.25746080690791934
sp500_dual_ma50_200_weekly_top3,2.0,2025,0.7116333809594143
sp500_dual_ma50_200_weekly_top3,2.0,2026,0.9844749373427155
sp500_dual_ma50_200_weekly_top3,5.0,2021,0.0
sp500_dual_ma50_200_weekly_top3,5.0,2022,0.23911795666268376
sp500_dual_ma50_200_weekly_top3,5.0,2023,0.2780945910345197
sp500_dual_ma50_200_weekly_top3,5.0,2024,0.2486608069079193
sp500_dual_ma50_200_weekly_top3,5.0,2025,0.7042333809594142
sp500_dual_ma50_200_weekly_top3,5.0,2026,0.9836749373427155
sp500_dual_ma50_200_weekly_top3,10.0,2021,0.0
sp500_dual_ma50_200_weekly_top3,10.0,2022,0.22661795666268372
sp500_dual_ma50_200_weekly_top3,10.0,2023,0.2677612577011864
sp500_dual_ma50_200_weekly_top3,10.0,2024,0.23399414024125267
sp500_dual_ma50_200_weekly_top3,10.0,2025,0.6919000476260809
sp500_dual_ma50_200_weekly_top3,10.0,2026,0.9823416040093822
sp500_triple_ma10_50_200_monthly_top3,0.0,2021,0.0
sp500_triple_ma10_50_200_monthly_top3,0.0,2022,0.09293406276897462
sp500_triple_ma10_50_200_monthly_top3,0.0,2023,0.10086369754387473
sp500_triple_ma10_50_200_monthly_top3,0.0,2024,0.35908785428610235
sp500_triple_ma10_50_200_monthly_top3,0.0,2025,0.49221902954363816
sp500_triple_ma10_50_200_monthly_top3,0.0,2026,1.0674309439523706
sp500_triple_ma10_50_200_monthly_top3,1.0,2021,0.0
sp500_triple_ma10_50_200_monthly_top3,1.0,2022,0.09176739610230795
sp500_triple_ma10_50_200_monthly_top3,1.0,2023,0.09939703087720807
sp500_triple_ma10_50_200_monthly_top3,1.0,2024,0.3572878542861024
sp500_triple_ma10_50_200_monthly_top3,1.0,2025,0.49081902954363815
sp500_triple_ma10_50_200_monthly_top3,1.0,2026,1.0672309439523706
sp500_triple_ma10_50_200_monthly_top3,2.0,2021,0.0
sp500_triple_ma10_50_200_monthly_top3,2.0,2022,0.09060072943564129
sp500_triple_ma10_50_200_monthly_top3,2.0,2023,0.09793036421054138
sp500_triple_ma10_50_200_monthly_top3,2.0,2024,0.35548785428610236
sp500_triple_ma10_50_200_monthly_top3,2.0,2025,0.4894190295436382
sp500_triple_ma10_50_200_monthly_top3,2.0,2026,1.0670309439523706
sp500_triple_ma10_50_200_monthly_top3,5.0,2021,0.0
sp500_triple_ma10_50_200_monthly_top3,5.0,2022,0.08710072943564129
sp500_triple_ma10_50_200_monthly_top3,5.0,2023,0.09353036421054137
sp500_triple_ma10_50_200_monthly_top3,5.0,2024,0.3500878542861024
sp500_triple_ma10_50_200_monthly_top3,5.0,2025,0.4852190295436382
sp500_triple_ma10_50_200_monthly_top3,5.0,2026,1.0664309439523707
sp500_triple_ma10_50_200_monthly_top3,10.0,2021,0.0
sp500_triple_ma10_50_200_monthly_top3,10.0,2022,0.08126739610230796
sp500_triple_ma10_50_200_monthly_top3,10.0,2023,0.08619703087720806
sp500_triple_ma10_50_200_monthly_top3,10.0,2024,0.3410878542861024
sp500_triple_ma10_50_200_monthly_top3,10.0,2025,0.4782190295436382
sp500_triple_ma10_50_200_monthly_top3,10.0,2026,1.0654309439523706
