variant_id,timeframe,lookback_bars,z_threshold,mode,protective_stop,cost_bps_per_side,net_simple_return,gross_simple_return,maximum_drawdown,trades,active_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,forced_exit,broker_margin,direct_short,holdout_rows_loaded
5m__r3__z0__long__stop0.005,5m,3,0.0,long,0.005,-1.0,20.18707175631698,1.6850717563169784,0.009364847792733387,1007446,1255,60,0,0.3364511959386162,0.33777864683335135,0.26634214925639316,next_bar_close,False,False,0
5m__r3__z0__long_short__stop0.005,5m,3,0.0,long_short,0.005,-1.0,20.111726863225886,1.6097268632258854,0.012074731856695482,2029142,1255,60,0,0.3351954477204314,0.3365739211223163,0.26039937580488554,next_bar_close,False,True,0
5m__r3__z0.5__long_short__stop0.01,5m,3,0.5,long_short,0.01,-1.0,20.091724297622342,1.589724297622341,0.02892526471115952,806339,1255,60,0,0.334862071627039,0.3285030706627827,0.28356280831721475,next_bar_close,False,True,0
5m__r3__z1__long__stop0.02,5m,3,1.0,long,0.02,-1.0,20.001597518884417,1.531997518884415,0.04028787739050791,215908,1255,60,0,0.3333599586480735,0.3247738444669195,0.30250809224067254,next_bar_close,False,False,0
5m__r3__z0__long__stop0.01,5m,3,0.0,long,0.01,-1.0,19.96111601824998,1.4591160182499803,0.01854609225177712,1007446,1255,60,0,0.33268526697083295,0.3272853131711311,0.29663930672427613,next_bar_close,False,False,0
5m__r3__z1__long_short__stop0.02,5m,3,1.0,long_short,0.02,-1.0,19.83168011293715,1.3296801129371505,0.03798338829492886,430410,1255,60,0,0.33052800188228576,0.3313988975186777,0.29222866492348526,next_bar_close,False,True,0
5m__r3__z0.5__long__stop0.02,5m,3,0.5,long,0.02,-1.0,19.81052444159345,1.3085244415934514,0.0320805851020054,401671,1255,60,0,0.33017540735989076,0.32610636906736157,0.30165592895633475,next_bar_close,False,False,0
5m__r3__z0__long_short__stop0.01,5m,3,0.0,long_short,0.01,-1.0,19.80947421154707,1.3074742115470717,0.018694430361774515,2029142,1255,60,0,0.33015790352578456,0.32925545898726916,0.28850865405020376,next_bar_close,False,True,0
5m__r6__z1__long_short__stop0.005,5m,6,1.0,long_short,0.005,-1.0,19.809358483685536,2.060358483685539,0.04121386125578446,412474,1255,60,0,0.3301559747280923,0.3518358699840436,0.2691877327354251,next_bar_close,False,True,0
5m__r3__z0.5__long_short__stop0.02,5m,3,0.5,long_short,0.02,-1.0,19.746719670949073,1.2447196709490722,0.03297292573047898,806339,1255,60,0,0.3291119945158178,0.3275081131248222,0.2943384983097417,next_bar_close,False,True,0
5m__r3__z0__long__stop0.02,5m,3,0.0,long,0.02,-1.0,19.592528692087324,1.0905286920873247,0.018061980619483126,1007446,1255,60,0,0.326542144868122,0.3265106756418127,0.3043339241425915,next_bar_close,False,False,0
5m__r3__z0__long_short__stop0.02,5m,3,0.0,long_short,0.02,-1.0,19.54328217036719,1.0412821703671886,0.01939711035395488,2029142,1255,60,0,0.3257213695061198,0.32497093292977886,0.29688782767125804,next_bar_close,False,True,0
5m__r6__z1__long__stop0.005,5m,6,1.0,long,0.005,-1.0,19.41746401239603,1.7028640123960335,0.06159244148443599,207146,1255,59,1,0.3236244002066006,0.356263621102854,0.2725363497440108,next_bar_close,False,False,0
5m__r6__z0.5__long_short__stop0.005,5m,6,0.5,long_short,0.005,-1.0,19.246081047529312,1.4970810475293128,0.02692405376239758,771537,1255,60,0,0.3207680174588219,0.336444842203323,0.26892041117174775,next_bar_close,False,True,0
5m__r6__z0__long_short__stop0.005,5m,6,0.0,long_short,0.005,-1.0,18.98205011251291,1.233050112512908,0.019375817534756017,1946312,1255,60,0,0.3163675018752151,0.3328101881167639,0.274718424300703,next_bar_close,False,True,0
5m__r6__z1__long_short__stop0.01,5m,6,1.0,long_short,0.01,-1.0,18.873421427431442,1.124421427431443,0.05008126666213918,412474,1255,60,0,0.31455702379052397,0.3378705193211077,0.3237150164306405,next_bar_close,False,True,0
5m__r6__z0.5__long__stop0.005,5m,6,0.5,long,0.005,-1.0,18.82114612959878,1.07234612959878,0.045291732549701015,383684,1255,60,0,0.3136857688266464,0.3328305393688924,0.2664218785433171,next_bar_close,False,False,0
5m__r6__z0__long__stop0.005,5m,6,0.0,long,0.005,-1.0,18.65397756317854,0.9049775631785411,0.029143629328321836,964045,1255,60,0,0.31089962605297566,0.3316244208078911,0.2764002668153071,next_bar_close,False,False,0
5m__r6__z1__long__stop0.01,5m,6,1.0,long,0.01,-1.0,18.626100425849916,0.9115004258499131,0.05285491723875936,207146,1255,60,0,0.31043500709749855,0.3345497358381624,0.3245407306280319,next_bar_close,False,False,0
5m__r6__z0.5__long_short__stop0.01,5m,6,0.5,long_short,0.01,-1.0,18.36167042997802,0.6126704299780175,0.044730355075956886,771537,1255,60,0,0.30602784049963366,0.3304061000077992,0.3097800189834116,next_bar_close,False,True,0
5m__r6__z0__long_short__stop0.01,5m,6,0.0,long_short,0.01,-1.0,18.328561135604062,0.5795611356040591,0.025416648959785435,1946312,1255,60,0,0.3054760189267343,0.3234516767544318,0.3069754672680415,next_bar_close,False,True,0
5m__r6__z1__long_short__stop0.02,5m,6,1.0,long_short,0.02,-1.0,18.255736510863734,0.5067365108637362,0.05477213128033356,412474,1255,59,1,0.30426227518106225,0.3381362219493826,0.3335442342910473,next_bar_close,False,True,0
5m__r6__z0.5__long__stop0.01,5m,6,0.5,long,0.01,-1.0,18.12502381443721,0.3762238144372094,0.04023757171293469,383684,1255,60,0,0.30208373024062013,0.3211758689105221,0.3098433608531311,next_bar_close,False,False,0
5m__r6__z0__long__stop0.01,5m,6,0.0,long,0.01,-1.0,18.11654552707139,0.36754552707139243,0.024571324280668067,964045,1255,60,0,0.30194242545118993,0.3147446735103974,0.3105777715448282,next_bar_close,False,False,0
5m__r6__z1__long__stop0.02,5m,6,1.0,long,0.02,-1.0,17.928447575479876,0.21384757547987565,0.05422364404897615,207146,1255,59,1,0.2988074595913313,0.32350154479658755,0.33337447804448755,next_bar_close,False,False,0
5m__r6__z0__long_short__stop0.02,5m,6,0.0,long_short,0.02,-1.0,17.921517037947762,0.17251703794776274,0.031993189243399604,1946312,1255,60,0,0.2986919506324626,0.3204234984435986,0.3132393203516442,next_bar_close,False,True,0
5m__r6__z0.5__long_short__stop0.02,5m,6,0.5,long_short,0.02,-1.0,17.825677771964767,0.07667777196476558,0.04706085865200551,771537,1255,59,1,0.2970946295327461,0.3225739476477665,0.3172929760228203,next_bar_close,False,True,0
5m__r6__z0__long__stop0.02,5m,6,0.0,long,0.02,-1.0,17.55078769652308,-0.19821230347692026,0.03162510402221795,964045,1255,60,0,0.2925131282753846,0.3142013390260183,0.316027890198403,next_bar_close,False,False,0
5m__r6__z0.5__long__stop0.02,5m,6,0.5,long,0.02,-1.0,17.46093601358207,-0.2878639864179273,0.043881248289068094,383684,1255,60,0,0.29101560022636797,0.31751917988809275,0.31701053641123117,next_bar_close,False,False,0
15m__r1__z0__long__stop0.005,15m,1,0.0,long,0.005,-1.0,4.6830769795022595,-1.3167535127319927,0.4078911538420853,324995,1255,48,12,0.0780512829917043,0.08951985482137675,0.11677251527124834,next_bar_close,False,False,0
15m__r3__z0__long_short__stop0.005,15m,3,0.0,long_short,0.005,-1.0,4.658054453999945,-0.839844069743276,0.2863324318505939,599635,1255,49,11,0.0776342408999991,0.09309227402308703,0.09441110839756263,next_bar_close,False,True,0
15m__r3__z0__long_short__stop0.01,15m,3,0.0,long_short,0.01,-1.0,4.649420615473424,-0.8484779082697961,0.2967980769381237,599635,1255,49,11,0.07749034359122375,0.09647923867631755,0.08587491024682357,next_bar_close,False,True,0
15m__r1__z0__long_short__stop0.005,15m,1,0.0,long_short,0.005,-1.0,4.620224634070739,-1.3795965300968254,0.42395467113911667,654855,1255,49,11,0.07700374390117899,0.0788168710258317,0.11358094381391355,next_bar_close,False,True,0
15m__r3__z0__long__stop0.005,15m,3,0.0,long,0.005,-1.0,4.6176529123638375,-0.8802797263378184,0.29348916525390906,296558,1255,48,12,0.07696088187273063,0.09018604848520032,0.09320712339232383,next_bar_close,False,False,0
15m__r3__z0__long__stop0.01,15m,3,0.0,long,0.01,-1.0,4.549692176456836,-0.9482404622448205,0.2850018161265315,296558,1255,48,12,0.07582820294094725,0.09525810116976997,0.0869254172404001,next_bar_close,False,False,0
15m__r3__z0.5__long_short__stop0.005,15m,3,0.5,long_short,0.005,-1.0,4.477227004202657,-1.0207048417580533,0.41386641795950213,237448,1255,48,12,0.0746204500700443,0.09703732417628053,0.09383109109010453,next_bar_close,False,True,0
15m__r3__z0.5__long_short__stop0.01,15m,3,0.5,long_short,0.01,-1.0,4.44617355368968,-1.0517582922710313,0.43442686695588606,237448,1255,44,16,0.07410289256149466,0.09801694101594634,0.08317016156377159,next_bar_close,False,True,0
15m__r1__z0__long__stop0.01,15m,1,0.0,long,0.01,-1.0,4.437926461607729,-1.561904030626523,0.5493958832892908,324995,1255,47,13,0.07396544102679549,0.09085665016016264,0.12821596326494508,next_bar_close,False,False,0
15m__r3__z0.5__long__stop0.005,15m,3,0.5,long,0.005,-1.0,4.410147411503891,-1.0878336787522327,0.44092146748846955,118066,1255,45,15,0.07350245685839818,0.09587385415440042,0.09431394950434474,next_bar_close,False,False,0
15m__r3__z0.5__long__stop0.01,15m,3,0.5,long,0.01,-1.0,4.368901390509785,-1.1290796997463393,0.4382233444215574,118066,1255,43,17,0.07281502317516307,0.0966712006617301,0.0886615939691151,next_bar_close,False,False,0
15m__r1__z0__long_short__stop0.01,15m,1,0.0,long_short,0.01,-1.0,4.356050709761216,-1.6437704544063485,0.5769404849241376,654855,1255,46,14,0.07260084516268692,0.08589957147269514,0.12388017788308635,next_bar_close,False,True,0
15m__r3__z1__long_short__stop0.01,15m,3,1.0,long_short,0.01,-1.0,4.334099510827157,-1.1638296308970255,0.45843249633051364,127559,1255,42,18,0.0722349918471193,0.09472729215909215,0.07611210838458865,next_bar_close,False,True,0
15m__r1__z0.5__long_short__stop0.005,15m,1,0.5,long_short,0.005,-1.0,4.33308147537277,-1.666718522952265,0.5936792645204643,259680,1255,47,13,0.07221802458954615,0.07605644387611668,0.11457057555598388,next_bar_close,False,True,0
15m__r3__z1__long_short__stop0.005,15m,3,1.0,long_short,0.005,-1.0,4.326878762295984,-1.1710503794281983,0.44905866305344166,127559,1255,45,15,0.07211464603826641,0.09045289613030988,0.09090017554090725,next_bar_close,False,True,0
15m__r1__z0.5__long__stop0.005,15m,1,0.5,long,0.005,-1.0,4.312876774535402,-1.6869532969316388,0.5844498824483259,129504,1255,46,14,0.07188127957559004,0.0836957591745153,0.1164146009601625,next_bar_close,False,False,0
15m__r3__z1__long__stop0.01,15m,3,1.0,long,0.01,-1.0,4.215812614544377,-1.2699873854556225,0.5184264723591293,64113,1255,42,18,0.07026354357573962,0.08866041802258384,0.079517390663596,next_bar_close,False,False,0
15m__r3__z1__long__stop0.005,15m,3,1.0,long,0.005,-1.0,4.19981718201323,-1.2859828179867707,0.5158474058398664,64113,1255,44,16,0.06999695303355381,0.07745094068231631,0.09308289142023489,next_bar_close,False,False,0
15m__r1__z1__long_short__stop0.005,15m,1,1.0,long_short,0.005,-1.0,4.12933893245569,-1.870389157979024,0.7319209698477508,138862,1255,45,15,0.06882231554092819,0.07275045964122859,0.11885198625034545,next_bar_close,False,True,0
15m__r3__z0__long_short__stop0.02,15m,3,0.0,long_short,0.02,-1.0,4.125398065053899,-1.3725004586893221,0.28108527422682,599635,1255,47,13,0.06875663441756501,0.08747468732330094,0.0875144782756605,next_bar_close,False,True,0
15m__r1__z1__long__stop0.005,15m,1,1.0,long,0.005,-1.0,4.110965050690023,-1.8776220573343276,0.7300097796497615,69604,1255,45,15,0.06851608417816704,0.07488838326213962,0.12791271907443238,next_bar_close,False,False,0
15m__r1__z0.5__long__stop0.01,15m,1,0.5,long,0.01,-1.0,4.002611305143164,-1.997218766323876,0.7724674645887967,129504,1255,43,17,0.06671018841905273,0.08242313810254245,0.1293946426262654,next_bar_close,False,False,0
15m__r1__z0.5__long_short__stop0.01,15m,1,0.5,long_short,0.01,-1.0,3.953075228328225,-2.04672476999681,0.7927518468554696,259680,1255,46,14,0.06588458713880375,0.0836350642176737,0.12809850832237366,next_bar_close,False,True,0
15m__r1__z1__long__stop0.01,15m,1,1.0,long,0.01,-1.0,3.9173199986270015,-2.0712671093973496,0.8947657730476274,69604,1255,42,18,0.06528866664378336,0.07791368838929028,0.14324690450018465,next_bar_close,False,False,0
15m__r3__z0__long__stop0.02,15m,3,0.0,long,0.02,-1.0,3.8692823829300984,-1.628650255771558,0.2937330702563471,296558,1255,47,13,0.06448803971550164,0.08216307415457819,0.08662201109601841,next_bar_close,False,False,0
15m__r1__z1__long_short__stop0.01,15m,1,1.0,long_short,0.01,-1.0,3.769253030492131,-2.2304750599425835,0.9446043721427977,138862,1255,44,16,0.06282088384153552,0.08871923111083893,0.13767430842281259,next_bar_close,False,True,0
