campaign_id,run_id,variant_id,panel,sma_window,gate,top_k,rank,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,control_net,control_dd,incremental_net
CAM-0610,RUN-0024,sp500__ma150__daily__top10__momentum,sp500,150,ma150,10,momentum,1,2.0,1.3246275375540566,1.3810675375540569,0.056440000000000004,1416,2822,1105,600,505,0.8803984063745021,1.0000000000000002,282.20000000000005,112,84,0.3501027396489303,0.04413637472202177,SNDK,0.18823903690170277,1.1363885006523538,1,1,0.02207712562590095,0.007215260929052444,32,21,7,0.2844931253614935,2022-05-27,2022-07-13,356.0,0.0,12,0.08695570405043179,0.06872177782371575,10,2,0,15,0.05938276933652166,0.04466047423607704,11,4,0,18,0.059820153510489825,0.050097703354924,13,5,0,open_to_next_open,1.4754198929413167,0.31259069606143564,-0.1507923553872601
CAM-0610,RUN-0024,sp500__ma150__daily__top10__risk_adjusted,sp500,150,ma150,10,risk_adjusted,1,2.0,0.4008034915686982,0.4697563760831445,0.06895288451444631,1494,12532,1105,595,510,0.8798510785586948,1.0000000000000004,344.7644225722316,129,120,0.18333809377479457,0.042046800737236885,MCK,0.05525384487604248,0.34554964669265575,2,2,0.0066800581928116365,0.0,29,24,7,0.20591954834967216,2025-02-18,2025-04-04,268.0,0.0,12,0.016956646236833687,0.016304593927741338,7,5,0,15,0.005477642483130957,0.009522667093973779,8,7,0,18,0.008869017372144695,0.016304593927741338,10,8,0,open_to_next_open,0.5046931709631657,0.2101324031645573,-0.10388967939446747
CAM-0610,RUN-0024,sp500__ma200__daily__top3__momentum,sp500,200,ma200,3,momentum,1,2.0,2.6511005832961883,2.6995672499628545,0.04846666666666666,365,727,1055,577,478,0.8406374501992032,1.0,242.33333333333331,57,35,0.6007417761053166,0.046271678799660085,SNDK,0.6274634563390092,2.023637126957179,0,0,0.044185009721603136,0.02869219375352461,35,16,9,0.21420270541786893,2022-05-27,2022-07-13,84.0,0.0,12,0.12425559676789459,0.07834818855576264,11,1,0,15,0.10221452490694546,0.06688024105446637,13,2,0,18,0.10343104844989008,0.06558382974024131,16,2,0,open_to_next_open,2.2315061378056757,0.363577079856537,0.4195944454905125
CAM-0610,RUN-0024,sp500__ma200__daily__top3__risk_adjusted,sp500,200,ma200,3,risk_adjusted,1,2.0,0.8276209242627782,0.902105205012234,0.07448428074945578,482,3642,1055,571,484,0.8395800345163484,1.0000000000000002,372.4214037472789,78,61,0.31459585241567906,0.056428812395101294,PLTR,0.15364673276950333,0.6739741914932749,2,1,0.013793682071046304,0.006583731758256026,33,18,9,0.20823832989200936,2025-02-18,2025-04-08,,0.00213371227494117,12,0.02031054460334508,0.019433674945021493,8,4,0,15,0.008381276783520407,0.01661451204827434,10,5,0,18,0.016113903008852678,0.019433674945021493,12,6,0,open_to_next_open,0.5605049886856032,0.2703079048630237,0.26711593557717506
CAM-0610,RUN-0024,sp500__ma200__daily__top5__momentum,sp500,200,ma200,5,momentum,1,2.0,2.002855425480166,2.052655425480166,0.049800000000000004,625,1245,1055,569,486,0.8406374501992032,1.0,249.0,75,51,0.46364902800390795,0.0481391220748272,SNDK,0.37647807380340553,1.6263773516767606,0,0,0.033380923758002765,0.024071560749087964,33,18,9,0.26832507734417993,2022-05-27,2022-07-13,251.0,0.0,12,0.10760652206249055,0.08428401919881096,10,2,0,15,0.08505662569003926,0.06763616230835087,12,3,0,18,0.08149811168377674,0.06471272439717621,14,4,0,open_to_next_open,1.842260920883052,0.38090552144102785,0.160594504597114
CAM-0610,RUN-0024,sp500__ma200__daily__top5__risk_adjusted,sp500,200,ma200,5,risk_adjusted,1,2.0,0.9333061352017928,1.00605258073655,0.0727464455347572,774,6042,1055,574,481,0.839762477875735,1.0000000000000002,363.73222767378604,108,76,0.21872640805642674,0.05095235294605968,MCK,0.08846876603624644,0.8448373691655464,2,1,0.015555102253363212,0.004648864877980222,35,16,9,0.1784379535423456,2025-02-18,2025-04-04,144.0,0.005779515134214911,12,0.02336574417828413,0.025762073505664174,8,4,0,15,0.01365579233884205,0.022659005577520697,10,5,0,18,0.01576937370621421,0.025762073505664174,12,6,0,open_to_next_open,0.7735694769594978,0.24190395913523344,0.159736658242295
CAM-0610,RUN-0024,sp500__ma200__daily__top10__momentum,sp500,200,ma200,10,momentum,1,2.0,1.5943983018826742,1.6446383018826745,0.05024000000000001,1261,2512,1055,577,478,0.8406374501992032,1.0000000000000002,251.2,119,71,0.3417562399679711,0.048448369736407766,SNDK,0.18823903690170277,1.4061592649809713,0,0,0.026573305031377906,0.011060976777907482,32,19,9,0.25827154678511044,2022-05-27,2022-07-13,243.0,0.0,12,0.08708926255133981,0.06879029921876054,10,2,0,15,0.06125781622627866,0.05553493247377096,11,4,0,18,0.0598667943196568,0.05174414981128131,13,5,0,open_to_next_open,1.4754198929413167,0.31259069606143564,0.11897840894135747
CAM-0610,RUN-0024,sp500__ma200__daily__top10__risk_adjusted,sp500,200,ma200,10,risk_adjusted,1,2.0,0.5378929204164352,0.6030404234894281,0.06514750307299304,1411,11949,1055,576,479,0.8400104411084957,1.0000000000000004,325.73751536496525,126,108,0.19201051487613058,0.046914732813803366,MCK,0.06137604787243914,0.4765168725439961,2,2,0.00896488200694059,0.0,27,24,9,0.20341394300864774,2025-02-18,2025-04-04,264.0,0.0,12,0.018809124432839105,0.02091694661598026,7,5,0,15,0.006090889032000428,0.018747372470451624,8,7,0,18,0.007791850949500951,0.02091694661598026,10,8,0,open_to_next_open,0.5046931709631657,0.2101324031645573,0.033199749453269534
CAM-0610,RUN-0024,qqq__ma100__daily__top3__momentum,qqq,100,ma100,3,momentum,1,2.0,2.7086114016574747,2.7942114016574737,0.08559999999999998,639,1284,1576,847,729,0.9139597834493425,1.0,428.0,39,33,0.5549286977444433,0.03889529491225618,TSLA,0.6747651964947061,2.0338462051627686,1,1,0.0326338723091262,0.02285874034227541,46,30,7,0.39710044458241983,2020-02-18,2020-03-16,59.0,0.0018621825378037815,12,0.08803867947995296,0.05447031296477368,9,3,0,15,0.06359673943821748,0.05184038204353192,11,4,0,18,0.0634495883825541,0.05447031296477368,13,5,0,open_to_next_open,3.994244956786261,0.4506198026757674,-1.2856335551287863
CAM-0610,RUN-0024,qqq__ma100__daily__top3__risk_adjusted,qqq,100,ma100,3,risk_adjusted,1,2.0,1.2887470026997219,1.4019905772180383,0.11324357451831643,705,5424,1576,823,753,0.9140673980877108,1.0000000000000002,566.2178725915821,36,42,0.4807300399280861,0.04735894999666902,ZM,0.4346976772226653,0.8540493254770566,1,1,0.015527072321683391,0.0,40,36,7,0.36396298703633595,2020-02-13,2020-03-13,60.0,0.0029202304723721156,12,0.043196987998859404,0.053551470353527364,7,5,0,15,0.02097004834565882,0.014128482858307118,8,7,0,18,0.01756678361674729,0.0036657244245110535,9,9,0,open_to_next_open,2.0018346025907165,0.3738496611066569,-0.7130875998909947
