variant,pair,threshold_bp,hold_min,confirmation,overshoot_bp,cost_bp_side,trades,trades_per_session,gross_return,net_return,recent12_return,recent18_return,mean_trade_bp,green_all_days,green_active_days,positive_month_fraction,positive_week_fraction,max_drawdown,recovery_sessions,block_returns,worst_day
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,10,one_bar_opposite,0,5,1443,0.8423817863397548,-0.41997190163723574,-1.8629719016372368,-0.09382054011971763,-0.2833413623793778,-12.910408188754241,0.1582019848219498,0.4464579901153213,0.40963855421686746,0.30362116991643456,1.8561059475866917,,"[-0.48508875838296717, -0.9289773151885256, -0.4489058280657443]",-0.24765273469660765
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,10,one_bar_opposite,0,10,1443,0.8423817863397548,-0.41997190163723574,-3.3059719016372373,-0.26182054011971756,-0.6423413623793779,-22.910408188754243,0.14535901926444833,0.4102141680395387,0.25301204819277107,0.2562674094707521,3.317503545490797,,"[-0.8970887583829674, -1.4339773151885256, -0.9749058280657443]",-0.26565273469660766
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,10,one_bar_opposite,10,2,503,0.29363689433741974,-0.22764900639231744,-0.42884900639231727,-0.010554751381021386,-0.2302418936722244,-8.525825176785629,0.07472270869819031,0.4866920152091255,0.3373493975903614,0.20891364902506965,0.6533962349608887,,"[0.13095949392946182, -0.5467101534775087, -0.013098346844270414]",-0.3865313418423289
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,10,one_bar_opposite,10,5,503,0.29363689433741974,-0.22764900639231744,-0.7306490063923179,-0.06275475138102149,-0.3256418936722245,-14.525825176785643,0.07122008172796264,0.46387832699619774,0.30120481927710846,0.19498607242339833,0.83584599076038,,"[0.051759493929461664, -0.6499101534775089, -0.13249834684427064]",-0.3949313418423289
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,10,one_bar_opposite,10,10,503,0.29363689433741974,-0.22764900639231744,-1.233649006392318,-0.14975475138102146,-0.4846418936722246,-24.525825176785656,0.06596614127262113,0.4296577946768061,0.27710843373493976,0.17548746518105848,1.2201454957201725,,"[-0.08024050607053837, -0.8219101534775091, -0.3314983468442708]",-0.40893134184232893
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,10,one_bar_opposite,20,2,263,0.1535318155283129,-0.09150312567022612,-0.196703125670226,0.18327021393122406,0.2278859031345906,-7.479206299248136,0.03911266783420899,0.46206896551724136,0.25301204819277107,0.116991643454039,0.6065937811910025,,"[0.07321879958255573, -0.5657157685037323, 0.29579384325095054]",-0.1817890854745807
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,10,one_bar_opposite,20,5,263,0.1535318155283129,-0.09150312567022612,-0.35450312567022635,0.161070213931224,0.1810859031345905,-13.479206299248151,0.03677758318739054,0.43448275862068964,0.24096385542168675,0.11420612813370473,0.7026870204838549,,"[0.021618799582555644, -0.6161157685037324, 0.2399938432509504]",-0.1859890854745807
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,10,one_bar_opposite,20,10,263,0.1535318155283129,-0.09150312567022612,-0.6175031256702266,0.12407021393122399,0.10308590313459044,-23.47920629924816,0.03619381202568593,0.42758620689655175,0.20481927710843373,0.11142061281337047,0.8692086637957029,,"[-0.0643812004174444, -0.7001157685037325, 0.14699384325095036]",-0.1929890854745807
SMH_SOXL_SOXS_reversal_t30_h15_none_ov0,SMH_SOXL_SOXS,30,15,none,0,2,2095,1.2230005837711617,0.28235758446719916,-0.5556424155328004,0.029101358499951435,0.44394387101944943,-2.652231100395226,0.22650321074138938,0.4917617237008872,0.37349397590361444,0.37047353760445684,1.098438641982053,,"[-0.2324454511371909, -0.5156414377724883, 0.19244447337687898]",-0.15845229593116367
SMH_SOXL_SOXS_reversal_t30_h15_none_ov0,SMH_SOXL_SOXS,30,15,none,0,5,2095,1.2230005837711617,0.28235758446719916,-1.8126424155328027,-0.12029864150004888,0.1493438710194489,-8.65223110039524,0.2124927028604787,0.46134347275031684,0.3253012048192771,0.3342618384401114,2.1227981865109258,,"[-0.5780454511371915, -0.9878414377724892, -0.24675552662312195]",-0.1698522959311637
SMH_SOXL_SOXS_reversal_t30_h15_none_ov0,SMH_SOXL_SOXS,30,15,none,0,10,2095,1.2230005837711617,0.28235758446719916,-3.907642415532804,-0.369298641500049,-0.34165612898055137,-18.652231100395248,0.19614711033274956,0.42585551330798477,0.2289156626506024,0.2841225626740947,3.907346127622978,,"[-1.1540454511371918, -1.7748414377724897, -0.9787555266231224]",-0.1888522959311637
SMH_SOXL_SOXS_reversal_t30_h15_none_ov10,SMH_SOXL_SOXS,30,15,none,10,2,823,0.4804436660828955,0.0007806282830062905,-0.32841937171699337,0.08739056628838232,0.028913787997341844,-3.990514844677926,0.11733800350262696,0.4975247524752475,0.3373493975903614,0.24512534818941503,0.6327409831270415,,"[0.03591952471737932, -0.32059148176239716, -0.04374741467197554]",-0.1561062835060335
SMH_SOXL_SOXS_reversal_t30_h15_none_ov10,SMH_SOXL_SOXS,30,15,none,10,5,823,0.4804436660828955,0.0007806282830062905,-0.8222193717169944,0.008190566288382106,-0.11268621200265849,-9.99051484467794,0.11500291885580852,0.4876237623762376,0.3132530120481928,0.2395543175487465,0.9766863401616512,,"[-0.09728047528262096, -0.5017914817623975, -0.22314741467197596]",-0.16390628350603353
SMH_SOXL_SOXS_reversal_t30_h15_none_ov10,SMH_SOXL_SOXS,30,15,none,10,10,823,0.4804436660828955,0.0007806282830062905,-1.645219371716995,-0.12380943371161796,-0.3486862120026586,-19.99051484467795,0.10566258026853473,0.44801980198019803,0.26506024096385544,0.20891364902506965,1.7119727504676434,,"[-0.31928047528262116, -0.8037914817623978, -0.5221474146719761]",-0.17690628350603355
SMH_SOXL_SOXS_reversal_t30_h15_none_ov20,SMH_SOXL_SOXS,30,15,none,20,2,439,0.2562755399883246,-0.11745919316427111,-0.2930591931642709,0.07855024591954904,-0.26086318082859583,-6.6756080447442185,0.07238762405137186,0.5276595744680851,0.3493975903614458,0.1894150417827298,0.5634137366538697,,"[0.09225674713858395, -0.21365975138799412, -0.17165618891486067]",-0.1892043274816924
SMH_SOXL_SOXS_reversal_t30_h15_none_ov20,SMH_SOXL_SOXS,30,15,none,20,5,439,0.2562755399883246,-0.11745919316427111,-0.5564591931642715,0.03955024591954892,-0.338863180828596,-12.675608044744227,0.07063631056625802,0.5148936170212766,0.3373493975903614,0.18384401114206128,0.7018939923358396,,"[0.008856747138583754, -0.30005975138799434, -0.2652561889148609]",-0.19640432748169245
SMH_SOXL_SOXS_reversal_t30_h15_none_ov20,SMH_SOXL_SOXS,30,15,none,20,10,439,0.2562755399883246,-0.11745919316427111,-0.9954591931642718,-0.025449754080451123,-0.4688631808285961,-22.675608044744234,0.06713368359603035,0.48936170212765956,0.3253012048192771,0.17827298050139276,1.0326260002212826,,"[-0.13014325286141631, -0.44405975138799436, -0.42125618891486105]",-0.20840432748169246
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,15,one_bar_opposite,0,2,1292,0.7542323409223585,0.4861319805931651,-0.030668019406834668,-0.10523066344667381,0.34757310603459424,-0.23736857126032682,0.17046117921774664,0.48105436573311366,0.46987951807228917,0.3398328690807799,0.6566296803594552,,"[-0.23243612381117185, -0.023815442569566116, 0.2255835469739033]",-0.2566523742058787
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,15,one_bar_opposite,0,5,1292,0.7542323409223585,0.4861319805931651,-0.8058680194068361,-0.198830663446674,0.1549731060345939,-6.23736857126034,0.16112084063047286,0.4546952224052718,0.43373493975903615,0.3203342618384401,1.042142568103017,,"[-0.44723612381117217, -0.30221544256956656, -0.056416453026097324]",-0.2656523742058787
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,15,one_bar_opposite,0,10,1292,0.7542323409223585,0.4861319805931651,-2.097868019406836,-0.3548306634466741,-0.16602689396540626,-16.237368571260347,0.14886164623467601,0.4200988467874794,0.3253012048192771,0.2757660167130919,2.000730929538012,,"[-0.8052361238111723, -0.7662154425695666, -0.5264164530260975]",-0.28065237420587874
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,15,one_bar_opposite,10,2,465,0.2714535901926445,0.057252351699591864,-0.12874764830040814,-0.10199909364529486,-0.41941694346938607,-2.7687666301163003,0.07880910683012259,0.5133079847908745,0.3373493975903614,0.2116991643454039,0.4121038248004971,,"[0.3310184259511646, -0.1837104276707306, -0.276055646580842]",-0.33304315477778246
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,15,one_bar_opposite,10,5,465,0.2714535901926445,0.057252351699591864,-0.40774764830040855,-0.15179909364529498,-0.5058169434693863,-8.768766630116314,0.07705779334500876,0.5019011406844106,0.3253012048192771,0.20612813370473537,0.5844940054854854,,"[0.2590184259511644, -0.28151042767073076, -0.3852556465808422]",-0.34024315477778244
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,15,one_bar_opposite,10,10,465,0.2714535901926445,0.057252351699591864,-0.8727476483004089,-0.23479909364529503,-0.6498169434693863,-18.76876663011632,0.07297139521307647,0.4752851711026616,0.3132530120481928,0.19498607242339833,0.9288235708868147,,"[0.13901842595116434, -0.4445104276707309, -0.5672556465808424]",-0.35224315477778245
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,15,one_bar_opposite,20,2,247,0.14419147694103912,-0.2510318080805989,-0.34983180808059877,0.11825245749066438,-0.1385618040045477,-14.163231096380523,0.04261529480443666,0.503448275862069,0.30120481927710846,0.13649025069637882,0.5770074078727891,,"[0.18075335601716316, -0.40368798593657174, -0.12689717816119023]",-0.17569124657945284
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,15,one_bar_opposite,20,5,247,0.14419147694103912,-0.2510318080805989,-0.4980318080805991,0.09665245749066431,-0.18176180400454778,-20.163231096380528,0.04144775248102744,0.4896551724137931,0.26506024096385544,0.1309192200557103,0.6737917359978833,,"[0.13395335601716307, -0.45288798593657187, -0.1790971781611903]",-0.18109124657945286
SMH_SOXL_SOXS_reversal_t30_h15_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,15,one_bar_opposite,20,10,247,0.14419147694103912,-0.2510318080805989,-0.7450318080805993,0.060652457490664294,-0.25376180400454784,-30.16323109638054,0.0396964389959136,0.4689655172413793,0.25301204819277107,0.12813370473537605,0.840398544279212,,"[0.05595335601716304, -0.5348879859365719, -0.2660971781611904]",-0.19009124657945287
SMH_SOXL_SOXS_reversal_t30_h20_none_ov0,SMH_SOXL_SOXS,30,20,none,0,2,1883,1.099241097489784,0.1448168306298675,-0.6083831693701324,0.05047560520041955,0.4485317682693075,-3.2309249568249188,0.2276707530647986,0.49429657794676807,0.4939759036144578,0.403899721448468,1.162455905589959,,"[-0.6351941650802253, -0.3822734898142133, 0.40908448552430643]",-0.2660122747848641
SMH_SOXL_SOXS_reversal_t30_h20_none_ov0,SMH_SOXL_SOXS,30,20,none,0,5,1883,1.099241097489784,0.1448168306298675,-1.7381831693701342,-0.08812439479958079,0.185131768269307,-9.230924956824929,0.22066549912434325,0.4790874524714829,0.39759036144578314,0.3955431754874652,2.0901530481065778,,"[-0.9387941650802257, -0.8130734898142141, 0.013684485524305678]",-0.27561227478486416
SMH_SOXL_SOXS_reversal_t30_h20_none_ov0,SMH_SOXL_SOXS,30,20,none,0,10,1883,1.099241097489784,0.1448168306298675,-3.6211831693701355,-0.31912439479958093,-0.25386823173069323,-19.230924956824936,0.2084063047285464,0.4524714828897338,0.3132530120481928,0.35376044568245124,3.633585879393026,,"[-1.4447941650802258, -1.5310734898142144, -0.6453155144756947]",-0.2916122747848642
SMH_SOXL_SOXS_reversal_t30_h20_none_ov10,SMH_SOXL_SOXS,30,20,none,10,2,776,0.45300642148277875,-0.2766254244049704,-0.58702542440497,-0.07242364141914404,-0.635076817359595,-7.564760623775393,0.11500291885580852,0.4876237623762376,0.3493975903614458,0.23119777158774374,0.828794301213485,,"[0.5523454466560983, -0.42377730473024017, -0.7155935663308283]",-0.5183141256492365
SMH_SOXL_SOXS_reversal_t30_h20_none_ov10,SMH_SOXL_SOXS,30,20,none,10,5,776,0.45300642148277875,-0.2766254244049704,-1.052625424404971,-0.1456236414191442,-0.7652768173595953,-13.5647606237754,0.11266783420899007,0.4777227722772277,0.30120481927710846,0.22841225626740946,1.06471687144359,,"[0.4281454466560981, -0.5977773047302405, -0.8829935663308286]",-0.5255141256492365
SMH_SOXL_SOXS_reversal_t30_h20_none_ov10,SMH_SOXL_SOXS,30,20,none,10,10,776,0.45300642148277875,-0.2766254244049704,-1.8286254244049718,-0.2676236414191443,-0.9822768173595955,-23.564760623775406,0.11091652072387624,0.47029702970297027,0.26506024096385544,0.20334261838440112,1.5859200206532822,,"[0.22114544665609792, -0.8877773047302407, -1.1619935663308287]",-0.5375141256492365
SMH_SOXL_SOXS_reversal_t30_h20_none_ov20,SMH_SOXL_SOXS,30,20,none,20,2,412,0.24051371862230006,0.052209521661889524,-0.1125904783381102,0.14614094213991335,-0.20771914602992014,-2.732778600439576,0.07005253940455342,0.5106382978723404,0.3132530120481928,0.17827298050139276,0.5788419151609607,,"[0.5263905435579315, -0.4094639807190093, -0.22951704117703237]",-0.21674820275497722
SMH_SOXL_SOXS_reversal_t30_h20_none_ov20,SMH_SOXL_SOXS,30,20,none,20,5,412,0.24051371862230006,0.052209521661889524,-0.35979047833811084,0.1083409421399133,-0.2797191460299203,-8.732778600439584,0.06830122591943957,0.4978723404255319,0.25301204819277107,0.17270194986072424,0.6788346253060199,,"[0.44959054355793127, -0.4928639807190095, -0.3165170411770326]",-0.22034820275497724
SMH_SOXL_SOXS_reversal_t30_h20_none_ov20,SMH_SOXL_SOXS,30,20,none,20,10,412,0.24051371862230006,0.052209521661889524,-0.7717904783381112,0.04534094213991326,-0.3997191460299204,-18.732778600439595,0.06654991243432574,0.4851063829787234,0.2289156626506024,0.1671309192200557,0.8873989488789158,,"[0.32159054355793115, -0.6318639807190096, -0.46151704117703274]",-0.22634820275497725
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,20,one_bar_opposite,0,2,1203,0.702276707530648,-1.0377807884597416,-1.5189807884597413,-0.2062913722394587,-0.812382134945008,-12.626606720363602,0.1786339754816112,0.5041186161449753,0.40963855421686746,0.34818941504178275,1.5286614796919142,,"[-0.47938540013770103, -0.18558811133958014, -0.85400727698246]",-0.3592589033747207
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,20,one_bar_opposite,0,5,1203,0.702276707530648,-1.0377807884597416,-2.240780788459743,-0.2962913722394589,-0.9911821349450082,-18.626606720363615,0.1722124927028605,0.48599670510708404,0.3614457831325301,0.31197771587743733,2.230696035655785,,"[-0.6761854001377015, -0.44778811133958074, -1.1168072769824606]",-0.36825890337472067
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,20,one_bar_opposite,0,10,1203,0.702276707530648,-1.0377807884597416,-3.4437807884597436,-0.446291372239459,-1.2891821349450083,-28.62660672036362,0.15703444249854057,0.443163097199341,0.3132530120481928,0.28133704735376047,3.4409652885970257,,"[-1.0041854001377017, -0.884788111339581, -1.5548072769824608]",-0.3832589033747207
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,20,one_bar_opposite,10,2,445,0.25977816695855227,-0.15286860523726686,-0.3308686052372668,-0.23033634742736808,-0.5598104942950604,-7.435249555893646,0.07997664915353181,0.5209125475285171,0.3373493975903614,0.2116991643454039,0.6244047963731136,,"[0.4364237533573478, -0.2486694030130166, -0.518622955581598]",-0.2392995976041427
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,20,one_bar_opposite,10,5,445,0.25977816695855227,-0.15286860523726686,-0.5978686052372673,-0.2777363474273682,-0.6426104942950606,-13.435249555893645,0.07822533566841798,0.5095057034220533,0.3253012048192771,0.20055710306406685,0.76534579177172,,"[0.3680237533573477, -0.34346940301301687, -0.6224229555815981]",-0.24409959760414268
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov10,SMH_SOXL_SOXS,30,20,one_bar_opposite,10,10,445,0.25977816695855227,-0.15286860523726686,-1.0428686052372678,-0.35673634742736826,-0.7806104942950607,-23.435249555893645,0.07530647985989491,0.49049429657794674,0.26506024096385544,0.18662952646239556,1.053382952666415,,"[0.2540237533573476, -0.501469403013017, -0.7954229555815983]",-0.2520995976041427
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,20,one_bar_opposite,20,2,238,0.1389375364856976,-0.42395225486306154,-0.5191522548630614,0.13197187005555036,-0.18886178725527683,-21.81311995222947,0.04144775248102744,0.4896551724137931,0.24096385542168675,0.1309192200557103,0.7375368151120243,,"[0.23031844392948375, -0.5397708277885795, -0.20969987100396573]",-0.22040995625863147
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,20,one_bar_opposite,20,5,238,0.1389375364856976,-0.42395225486306154,-0.6619522548630618,0.11097187005555031,-0.22966178725527686,-27.813119952229485,0.040280210157618214,0.47586206896551725,0.24096385542168675,0.12534818941504178,0.825786892929396,,"[0.18471844392948367, -0.5877708277885796, -0.25889987100396583]",-0.22460995625863145
SMH_SOXL_SOXS_reversal_t30_h20_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,20,one_bar_opposite,20,10,238,0.1389375364856976,-0.42395225486306154,-0.899952254863062,0.07597187005555028,-0.2976617872552769,-37.81311995222949,0.03852889667250438,0.45517241379310347,0.21686746987951808,0.116991643454039,0.9811367747823636,,"[0.1087184439294836, -0.6677708277885797, -0.3408998710039659]",-0.23160995625863146
SMH_SOXL_SOXS_reversal_t40_h10_none_ov0,SMH_SOXL_SOXS,40,10,none,0,2,876,0.51138353765324,0.35069683231297466,0.0002968323129749484,0.12303494632354911,0.16412765498445697,0.003388496723462751,0.1044950379451255,0.48509485094850946,0.4457831325301205,0.2479108635097493,0.42596280039799955,,"[0.04150390484159125, -0.34781239029269306, 0.3066053177640766]",-0.2312596883559969
SMH_SOXL_SOXS_reversal_t40_h10_none_ov0,SMH_SOXL_SOXS,40,10,none,0,5,876,0.51138353765324,0.35069683231297466,-0.5253031676870261,0.07383494632354903,0.035727654984456736,-5.996611503276554,0.10040863981319323,0.46612466124661245,0.39759036144578314,0.22841225626740946,0.7362265822010873,,"[-0.12109609515840902, -0.5260123902926934, 0.12180531776407633]",-0.2420596883559969
SMH_SOXL_SOXS_reversal_t40_h10_none_ov0,SMH_SOXL_SOXS,40,10,none,0,10,876,0.51138353765324,0.35069683231297466,-1.4013031676870267,-0.008165053676451005,-0.17827234501554334,-15.996611503276561,0.09632224168126094,0.44715447154471544,0.3373493975903614,0.21448467966573817,1.41548802718901,,"[-0.3920960951584092, -0.8230123902926936, -0.1861946822359238]",-0.2600596883559969
SMH_SOXL_SOXS_reversal_t40_h10_none_ov10,SMH_SOXL_SOXS,40,10,none,10,2,389,0.22708698190309398,0.33759544904669503,0.18199544904669507,0.04978784071194976,0.07482429917960923,4.678546247987023,0.056625802685347344,0.5132275132275133,0.3253012048192771,0.15877437325905291,0.3480909151895542,213.0,"[-0.043303809667758486, 0.07290817084933553, 0.15239108786511807]",-0.329283350176676
SMH_SOXL_SOXS_reversal_t40_h10_none_ov10,SMH_SOXL_SOXS,40,10,none,10,5,389,0.22708698190309398,0.33759544904669503,-0.05140455095330532,0.0209878407119497,0.0034242991796090694,-1.3214537520129903,0.05545826036193812,0.5026455026455027,0.27710843373493976,0.1532033426183844,0.429031222972833,,"[-0.11350380966775864, 0.0015081708493354107, 0.06059108786511791]",-0.33888335017667603
SMH_SOXL_SOXS_reversal_t40_h10_none_ov10,SMH_SOXL_SOXS,40,10,none,10,10,389,0.22708698190309398,0.33759544904669503,-0.44040455095330555,-0.027012159288050334,-0.11557570082039101,-11.321453752012998,0.053706946876824285,0.48677248677248675,0.26506024096385544,0.14206128133704735,0.7364141247398273,,"[-0.23050380966775869, -0.11749182915066464, -0.09240891213488217]",-0.35488335017667605
SMH_SOXL_SOXS_reversal_t40_h10_none_ov20,SMH_SOXL_SOXS,40,10,none,20,2,249,0.14535901926444833,0.5283278286430753,0.42872782864307535,0.10477858922716282,0.24084358379706491,17.217985086067284,0.03911266783420899,0.5677966101694916,0.2891566265060241,0.12534818941504178,0.18995402418435725,1.0,"[0.12737748536371923, -0.04278216130460189, 0.344132504583958]",-0.18950583127108003
SMH_SOXL_SOXS_reversal_t40_h10_none_ov20,SMH_SOXL_SOXS,40,10,none,20,5,249,0.14535901926444833,0.5283278286430753,0.27932782864307504,0.08677858922716275,0.1946435837970648,11.217985086067271,0.03677758318739054,0.5338983050847458,0.24096385542168675,0.10863509749303621,0.21966007083558844,1.0,"[0.07457748536371911, -0.08358216130460194, 0.28833250458395787]",-0.19610583127108006
SMH_SOXL_SOXS_reversal_t40_h10_none_ov20,SMH_SOXL_SOXS,40,10,none,20,10,249,0.14535901926444833,0.5283278286430753,0.0303278286430749,0.05677858922716274,0.11764358379706474,1.2179850860672616,0.03619381202568593,0.5254237288135594,0.2289156626506024,0.10863509749303621,0.3335426689409746,213.0,"[-0.013422514636280932, -0.15158216130460198, 0.1953325045839578]",-0.20710583127108007
SMH_SOXL_SOXS_reversal_t40_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,40,10,one_bar_opposite,0,2,504,0.29422066549912435,-0.1587049547495758,-0.3603049547495758,0.06676982105498558,-0.24192701724220816,-7.1489078323328545,0.06888499708114419,0.48559670781893005,0.27710843373493976,0.18662952646239556,0.5161516106562366,,"[0.0633758841319979, -0.3349329384348446, -0.08874790044672898]",-0.2113658987481588
SMH_SOXL_SOXS_reversal_t40_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,40,10,one_bar_opposite,0,5,504,0.29422066549912435,-0.1587049547495758,-0.6627049547495762,0.036769821054985496,-0.32232701724220836,-13.148907832332862,0.06304728546409807,0.4444444444444444,0.25301204819277107,0.17270194986072424,0.7473776702711334,,"[-0.03022411586800222, -0.42853293843484486, -0.20394790044672917]",-0.21736589874815881
SMH_SOXL_SOXS_reversal_t40_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,40,10,one_bar_opposite,0,10,504,0.29422066549912435,-0.1587049547495758,-1.1667049547495765,-0.013230178945014524,-0.4563270172422085,-23.148907832332874,0.0595446584938704,0.41975308641975306,0.25301204819277107,0.15598885793871867,1.1527661429994094,,"[-0.18622411586800236, -0.584532938434845, -0.39594790044672934]",-0.22736589874815882
