campaign_id,symbol,gross_pnl,execution_adjustment,net_pnl
CAM-0612,PFE,0.0,0.0,0.0
CAM-0612,PFG,0.0,0.0,0.0
CAM-0612,PG,0.0,0.0,0.0
CAM-0612,PGR,0.0,0.0,0.0
CAM-0612,PH,0.0,0.0,0.0
CAM-0612,PHM,0.0,0.0,0.0
CAM-0612,PKG,0.0,0.0,0.0
CAM-0612,PKI,0.0,0.0,0.0
CAM-0612,PLD,0.0,0.0,0.0
CAM-0612,AAL,0.0,0.0,0.0
CAM-0612,PM,0.0,0.0,0.0
CAM-0612,PNC,0.0,0.0,0.0
CAM-0612,PNR,0.0,0.0,0.0
CAM-0612,PNW,0.0,0.0,0.0
CAM-0612,PODD,0.0,0.0,0.0
CAM-0612,POOL,0.0,0.0,0.0
CAM-0612,PPG,0.0,0.0,0.0
CAM-0612,PPL,0.0,0.0,0.0
CAM-0612,PRGO,0.0,0.0,0.0
CAM-0612,PRU,0.0,0.0,0.0
CAM-0612,PSA,0.0,0.0,0.0
CAM-0612,PSKY,0.0,0.0,0.0
CAM-0612,PSX,0.0,0.0,0.0
CAM-0612,PTC,0.0,0.0,0.0
CAM-0612,PVH,0.0,0.0,0.0
CAM-0612,PWR,0.0,0.0,0.0
CAM-0612,PXD,0.0,0.0,0.0
CAM-0612,PYPL,0.0,0.0,0.0
CAM-0612,Q,0.0,0.0,0.0
CAM-0612,QCOM,0.0,0.0,0.0
CAM-0612,QRVO,0.0,0.0,0.0
CAM-0612,RCL,0.0,0.0,0.0
CAM-0612,RE,0.0,0.0,0.0
CAM-0612,REG,0.0,0.0,0.0
CAM-0612,REGN,0.0,0.0,0.0
CAM-0612,RF,0.0,0.0,0.0
CAM-0612,RHI,0.0,0.0,0.0
CAM-0612,RJF,0.0,0.0,0.0
CAM-0612,RL,0.0,0.0,0.0
CAM-0612,RMD,0.0,0.0,0.0
CAM-0612,ROK,0.0,0.0,0.0
CAM-0612,ROL,0.0,0.0,0.0
CAM-0612,ROP,0.0,0.0,0.0
