candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,0.0,MRVL,0.0
qqq_single_ma150_weekly_top1,0.0,LULU,0.0
qqq_single_ma150_weekly_top1,0.0,LRCX,0.0
qqq_single_ma150_weekly_top1,0.0,MCHP,0.0
qqq_single_ma150_weekly_top1,0.0,NXPI,0.0
qqq_single_ma150_weekly_top1,0.0,NTES,0.0
qqq_single_ma150_weekly_top1,0.0,NLOK,0.0
qqq_single_ma150_weekly_top1,0.0,MYL,0.0
qqq_single_ma150_weekly_top1,0.0,MXIM,0.0
qqq_single_ma150_weekly_top1,0.0,SHOP,0.0
qqq_single_ma150_weekly_top1,0.0,PAYX,0.0
qqq_single_ma150_weekly_top1,0.0,PCAR,0.0
qqq_single_ma150_weekly_top1,0.0,PEP,0.0
qqq_single_ma150_weekly_top1,0.0,PTON,0.0
qqq_single_ma150_weekly_top1,0.0,PYPL,0.0
qqq_single_ma150_weekly_top1,0.0,QQQ,0.0
qqq_single_ma150_weekly_top1,0.0,RIVN,0.0
qqq_single_ma150_weekly_top1,0.0,SIRI,0.0
qqq_single_ma150_weekly_top1,0.0,ROP,0.0
qqq_single_ma150_weekly_top1,0.0,ODFL,0.0
qqq_single_ma150_weekly_top1,0.0,OKTA,0.0
qqq_single_ma150_weekly_top1,0.0,ON,0.0
qqq_single_ma150_weekly_top1,0.0,ORLY,0.0
qqq_single_ma150_weekly_top1,0.0,NTAP,0.0
qqq_single_ma150_weekly_top1,0.0,MTCH,0.0
qqq_single_ma150_weekly_top1,0.0,XLNX,0.0
qqq_single_ma150_weekly_top1,0.0,XEL,0.0
qqq_single_ma150_weekly_top1,0.0,WMT,0.0
qqq_single_ma150_weekly_top1,0.0,TXN,0.0
qqq_single_ma150_weekly_top1,0.0,VRSN,0.0
qqq_single_ma150_weekly_top1,0.0,VSNT,0.0
qqq_single_ma150_weekly_top1,0.0,SNPS,0.0
qqq_single_ma150_weekly_top1,0.0,SMCI,0.0
qqq_single_ma150_weekly_top1,0.0,TCOM,0.0
qqq_single_ma150_weekly_top1,0.0,TEAM,0.0
qqq_single_ma150_weekly_top1,0.0,TRI,0.0
qqq_single_ma150_weekly_top1,0.0,TTD,0.0
qqq_single_ma150_weekly_top1,0.0,SPLK,0.0
qqq_single_ma150_weekly_top1,0.0,STX,0.0
qqq_single_ma150_weekly_top1,0.0,SWKS,0.0
qqq_single_ma150_weekly_top1,0.0,SOLS,0.0
qqq_single_ma150_weekly_top1,0.0,VRSK,0.0
qqq_single_ma150_weekly_top1,0.0,ULTA,0.0
qqq_single_ma150_weekly_top1,0.0,AVGO,-0.004450353212946734
qqq_single_ma150_weekly_top1,0.0,ADP,-0.007843820877384888
qqq_single_ma150_weekly_top1,0.0,BIIB,-0.00863860884337908
qqq_single_ma150_weekly_top1,0.0,PANW,-0.011778274918417209
qqq_single_ma150_weekly_top1,0.0,AMAT,-0.0164729960417469
qqq_single_ma150_weekly_top1,0.0,ZS,-0.03652563199395764
qqq_single_ma150_weekly_top1,0.0,DDOG,-0.03906370049825658
qqq_single_ma150_weekly_top1,0.0,REGN,-0.039578794079496715
qqq_single_ma150_weekly_top1,0.0,AMD,-0.050001034343946094
qqq_single_ma150_weekly_top1,0.0,TMUS,-0.0755625802922143
qqq_single_ma150_weekly_top1,0.0,QCOM,-0.093156755165404
qqq_single_ma150_weekly_top1,0.0,APP,-0.11708991807454017
qqq_single_ma150_weekly_top1,0.0,MRNA,-0.15532602521899974
qqq_single_ma150_weekly_top1,0.0,ENPH,-0.18714573175824356
qqq_single_ma150_weekly_top1,1.0,NVDA,1.145726292029014
qqq_single_ma150_weekly_top1,1.0,TSLA,1.0556549006960045
qqq_single_ma150_weekly_top1,1.0,PLTR,0.8202234958660152
qqq_single_ma150_weekly_top1,1.0,WDC,0.5530569054363585
qqq_single_ma150_weekly_top1,1.0,MU,0.3861030895591589
qqq_single_ma150_weekly_top1,1.0,PDD,0.3064233775560403
qqq_single_ma150_weekly_top1,1.0,NFLX,0.13943456462680653
qqq_single_ma150_weekly_top1,1.0,ZM,0.13286359363231173
qqq_single_ma150_weekly_top1,1.0,LCID,0.12658584825414437
qqq_single_ma150_weekly_top1,1.0,META,0.09308509553854968
qqq_single_ma150_weekly_top1,1.0,AMGN,0.0757067473028162
qqq_single_ma150_weekly_top1,1.0,SNDK,0.0650050895009646
qqq_single_ma150_weekly_top1,1.0,MELI,0.06302298403019466
qqq_single_ma150_weekly_top1,1.0,BIDU,0.05391930127133922
qqq_single_ma150_weekly_top1,1.0,CEG,0.019600382797395045
qqq_single_ma150_weekly_top1,1.0,CRWD,0.017124418401002962
qqq_single_ma150_weekly_top1,1.0,VRTX,0.008898812635953223
qqq_single_ma150_weekly_top1,1.0,WBD,0.0072355476452419035
qqq_single_ma150_weekly_top1,1.0,ARM,0.0024252100062798
qqq_single_ma150_weekly_top1,1.0,ADI,0.0
qqq_single_ma150_weekly_top1,1.0,ALNY,0.0
qqq_single_ma150_weekly_top1,1.0,CERN,0.0
qqq_single_ma150_weekly_top1,1.0,ADBE,0.0
qqq_single_ma150_weekly_top1,1.0,ABNB,0.0
qqq_single_ma150_weekly_top1,1.0,AAPL,0.0
qqq_single_ma150_weekly_top1,1.0,ALXN,0.0
qqq_single_ma150_weekly_top1,1.0,ANSS,0.0
qqq_single_ma150_weekly_top1,1.0,ADSK,0.0
qqq_single_ma150_weekly_top1,1.0,AEP,0.0
qqq_single_ma150_weekly_top1,1.0,ATVI,0.0
qqq_single_ma150_weekly_top1,1.0,ASML,0.0
qqq_single_ma150_weekly_top1,1.0,AMZN,0.0
qqq_single_ma150_weekly_top1,1.0,BMRN,0.0
qqq_single_ma150_weekly_top1,1.0,AXON,0.0
qqq_single_ma150_weekly_top1,1.0,AZN,0.0
qqq_single_ma150_weekly_top1,1.0,ALGN,0.0
qqq_single_ma150_weekly_top1,1.0,AAL,0.0
qqq_single_ma150_weekly_top1,1.0,WDAY,0.0
qqq_single_ma150_weekly_top1,1.0,UAL,0.0
qqq_single_ma150_weekly_top1,1.0,TTWO,0.0
qqq_single_ma150_weekly_top1,1.0,MSTR,0.0
qqq_single_ma150_weekly_top1,1.0,MPWR,0.0
qqq_single_ma150_weekly_top1,1.0,MNST,0.0
qqq_single_ma150_weekly_top1,1.0,CHKP,0.0
qqq_single_ma150_weekly_top1,1.0,CMCSA,0.0
qqq_single_ma150_weekly_top1,1.0,BKNG,0.0
qqq_single_ma150_weekly_top1,1.0,CCEP,0.0
qqq_single_ma150_weekly_top1,1.0,BKR,0.0
qqq_single_ma150_weekly_top1,1.0,CHTR,0.0
qqq_single_ma150_weekly_top1,1.0,CELG,0.0
qqq_single_ma150_weekly_top1,1.0,CDW,0.0
qqq_single_ma150_weekly_top1,1.0,CDNS,0.0
qqq_single_ma150_weekly_top1,1.0,CSGP,0.0
qqq_single_ma150_weekly_top1,1.0,GILD,0.0
qqq_single_ma150_weekly_top1,1.0,EXPE,0.0
qqq_single_ma150_weekly_top1,1.0,FANG,0.0
qqq_single_ma150_weekly_top1,1.0,FAST,0.0
qqq_single_ma150_weekly_top1,1.0,FI,0.0
qqq_single_ma150_weekly_top1,1.0,COST,0.0
qqq_single_ma150_weekly_top1,1.0,CPRT,0.0
qqq_single_ma150_weekly_top1,1.0,CSCO,0.0
qqq_single_ma150_weekly_top1,1.0,CTXS,0.0
qqq_single_ma150_weekly_top1,1.0,DASH,0.0
qqq_single_ma150_weekly_top1,1.0,DLTR,0.0
qqq_single_ma150_weekly_top1,1.0,DOCU,0.0
qqq_single_ma150_weekly_top1,1.0,EA,0.0
qqq_single_ma150_weekly_top1,1.0,CSX,0.0
qqq_single_ma150_weekly_top1,1.0,CTAS,0.0
qqq_single_ma150_weekly_top1,1.0,CTSH,0.0
qqq_single_ma150_weekly_top1,1.0,LBTYK,0.0
qqq_single_ma150_weekly_top1,1.0,LBTYA,0.0
qqq_single_ma150_weekly_top1,1.0,GOOG,0.0
qqq_single_ma150_weekly_top1,1.0,HON,0.0
qqq_single_ma150_weekly_top1,1.0,INCY,0.0
qqq_single_ma150_weekly_top1,1.0,HSIC,0.0
qqq_single_ma150_weekly_top1,1.0,IDXX,0.0
qqq_single_ma150_weekly_top1,1.0,ILMN,0.0
qqq_single_ma150_weekly_top1,1.0,ISRG,0.0
qqq_single_ma150_weekly_top1,1.0,JBHT,0.0
qqq_single_ma150_weekly_top1,1.0,JD,0.0
qqq_single_ma150_weekly_top1,1.0,KDP,0.0
qqq_single_ma150_weekly_top1,1.0,KHC,0.0
qqq_single_ma150_weekly_top1,1.0,INSM,0.0
qqq_single_ma150_weekly_top1,1.0,INTC,0.0
qqq_single_ma150_weekly_top1,1.0,INTU,0.0
qqq_single_ma150_weekly_top1,1.0,MDLZ,0.0
qqq_single_ma150_weekly_top1,1.0,MDB,0.0
qqq_single_ma150_weekly_top1,1.0,KLAC,0.0
qqq_single_ma150_weekly_top1,1.0,LIN,0.0
qqq_single_ma150_weekly_top1,1.0,MAR,0.0
qqq_single_ma150_weekly_top1,1.0,FER,0.0
qqq_single_ma150_weekly_top1,1.0,FOX,0.0
qqq_single_ma150_weekly_top1,1.0,FOXA,0.0
qqq_single_ma150_weekly_top1,1.0,GOOGL,0.0
qqq_single_ma150_weekly_top1,1.0,FTNT,0.0
qqq_single_ma150_weekly_top1,1.0,GEHC,0.0
qqq_single_ma150_weekly_top1,1.0,GFS,0.0
qqq_single_ma150_weekly_top1,1.0,HAS,0.0
qqq_single_ma150_weekly_top1,1.0,DXCM,0.0
qqq_single_ma150_weekly_top1,1.0,EBAY,0.0
qqq_single_ma150_weekly_top1,1.0,EXC,0.0
