campaign_id,variant_id,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,position_rows,quote_complete_position_rows,missing_position_rows,position_coverage_rate,symbols,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,top5_symbol_positive_share,leave_best_symbol_out_return,mean_entry_spread_bps,mean_exit_spread_bps,median_entry_delay_ms,median_exit_role_delay_ms,max_role_window_seconds,broker_margin,direct_short,holdout_rows_loaded
CAM-0602,qqq__btp__profitable__hold1__q10,2.0,-2.6883286698234934,2.6897997190416962,2169,2169,0,1.0,16,250,28,222,0,12,-0.22402738915195777,-0.20969519101219838,-0.22402738915195777,1.0,-2.703032923335673,109.16427469937207,108.90757920096948,25.090839,25.098249,5,False,False,0
CAM-0602,qqq__btp__profitable__hold1__q10,5.0,-2.8383286698234937,2.8410359988539153,2169,2169,0,1.0,16,250,22,228,0,12,-0.2365273891519578,-0.2216951910121984,-0.2365273891519578,1.0,-2.8516329233356736,109.16427469937207,108.90757920096948,25.090839,25.098249,5,False,False,0
CAM-0603,qqq__lowvol63__hold1__q10,0.0,-2.7171318640359017,2.7356163438307517,2750,2750,0,1.0,31,250,16,234,0,12,-0.22642765533632514,-0.23626447792150418,-0.22642765533632514,1.0,-2.793628575750235,106.3285661675339,106.65922861499602,29.1746505,29.3652485,30,False,False,0
CAM-0603,qqq__lowvol63__hold1__q10,1.0,-2.7671318640359015,2.786515730303098,2750,2750,0,1.0,31,250,15,235,0,12,-0.2305943220029918,-0.24056447792150415,-0.2305943220029918,1.0,-2.8432649393865983,106.3285661675339,106.65922861499602,29.1746505,29.3652485,30,False,False,0
CAM-0603,qqq__lowvol63__hold1__q10,2.0,-2.8171318640359013,2.837435704021063,2750,2750,0,1.0,31,250,14,236,0,12,-0.23476098866965844,-0.24486447792150418,-0.23476098866965844,1.0,-2.892901303022962,106.3285661675339,106.65922861499602,29.1746505,29.3652485,30,False,False,0
CAM-0603,qqq__lowvol63__hold1__q10,5.0,-2.9671318640359017,2.990319273628166,2750,2750,0,1.0,31,250,11,239,0,12,-0.24726098866965848,-0.25776447792150414,-0.24726098866965848,1.0,-3.041810393932053,106.3285661675339,106.65922861499602,29.1746505,29.3652485,30,False,False,0
CAM-0604,qqq__mom50_val50__profitable__q10,0.0,-1.9414799176932611,1.9637706856237993,2169,2169,0,1.0,19,250,53,197,0,12,-0.16178999314110507,-0.17052482361018112,-0.16178999314110507,1.0,-2.0695347457130997,94.21193868859017,93.98195367142257,24.512665,24.512665,5,False,False,0
CAM-0604,qqq__mom50_val50__profitable__q10,1.0,-1.991479917693261,2.0129642984245724,2169,2169,0,1.0,19,250,52,198,0,12,-0.16595665980777174,-0.17452482361018112,-0.16595665980777174,1.0,-2.116087523490877,94.21193868859017,93.98195367142257,24.512665,24.512665,5,False,False,0
CAM-0604,qqq__mom50_val50__profitable__q10,2.0,-2.0414799176932608,2.062177754332467,2169,2169,0,1.0,19,250,48,202,0,12,-0.1701233264744384,-0.17852482361018113,-0.1701233264744384,1.0,-2.162640301268655,94.21193868859017,93.98195367142257,24.512665,24.512665,5,False,False,0
CAM-0604,qqq__mom50_val50__profitable__q10,5.0,-2.191479917693261,2.209937300832534,2169,2169,0,1.0,19,250,47,203,0,12,-0.18262332647443844,-0.19052482361018114,-0.18262332647443844,1.0,-2.3022986346019887,94.21193868859017,93.98195367142257,24.512665,24.512665,5,False,False,0
