campaign_id,executed_variants,structured_survivors,selected_variant,decision,raw_best_variant,raw_best_2bps,selected_2bps,selected_recent12_average,selected_recent12_positive,selected_recent18_average,selected_recent18_positive,selected_maximum_drawdown,selected_positive_blocks,selected_worst_block_average_month,selected_entries,selected_top5_day_share,prior_selected_variant,prior_selected_2bps,selection_changed,holdout_rows_loaded
CAM-0610,72,38,qqq__ma150__weekly__top3__momentum,provisional_repaired_target_change_quote_gate,qqq__ma150__monthly__top3__momentum,3.7727974208301154,3.489745108524958,0.0969075145721712,9.0,0.0869121150136074,14.0,0.3852959489879378,3.0,0.028186758391076337,219.0,0.0389427063473994,qqq__ma150__weekly__top3__momentum,3.0023638737957645,False,0
CAM-0611,72,33,sp500__ma50_200__weekly__top3__momentum,provisional_repaired_target_change_quote_gate,qqq__ma50_200__monthly__top3__momentum,3.761050508177044,2.500445477870296,0.133978576660951,11.0,0.107033388094697,15.0,0.2635994824702233,3.0,0.021433899424519214,155.0,0.0518890914148328,qqq__ma50_200__weekly__top3__momentum,3.0797545172018594,True,0
CAM-0612,72,22,sp500__ma10_50_200__monthly__top3__momentum,provisional_repaired_target_change_quote_gate,qqq__ma3_10_21__monthly__top3__momentum,3.2458649062397,2.1408196732757503,0.1415993620458792,11.0,0.105370605251,13.0,0.2819904684630343,3.0,0.01379443806526031,92.0,0.0525833709441668,qqq__ma10_50_200__monthly__top3__momentum,1.7814822583729637,True,0
CAM-0613,12,0,,no_repaired_structured_survivor,sp500__pivot__trend1__volume0,0.1668326556126342,,,,,,,,,,,,,True,0
CAM-0614,45,5,sp500__donchian100__reversal,provisional_repaired_target_change_quote_gate,qqq__donchian100__breakout__top10__volume1,1.773427543023846,0.3795591664258467,0.0120062208447082,8.0,0.0073739986726118,11.0,0.2381454825211656,3.0,0.0007269490575112489,2155.0,0.0552356530471838,sp500__donchian20__reversal,0.4882365767005289,True,0
CAM-0615,54,40,qqq__fullcov_s50__mom60__positive_top5,provisional_repaired_target_change_quote_gate,qqq__fullcov_s90__mom20__positive_top5,1.8580342720495315,1.1145713190311275,0.0159761777445575,8.0,0.0107655190096027,11.0,0.2784234998687941,3.0,0.009487249116811678,272.0,0.0476116271568836,qqq__fullcov_s50__mom60__positive_top10,1.3165253882517265,True,0
CAM-0616,54,40,qqq__fullcov_s50__mom60__positive_top5,provisional_repaired_target_change_quote_gate,qqq__fullcov_s90__mom20__positive_top5,1.7601697415171325,1.1161707575817876,0.0155886411983846,8.0,0.0104690867683945,11.0,0.2689708670748301,3.0,0.009182033157224018,277.0,0.0428866485660706,qqq__fullcov_s50__mom60__positive_top10,1.310421409718649,True,0
CAM-0617,20,0,,no_repaired_structured_survivor,qqq__alpha_M20_E5__positive_top3,2.320249118279631,,,,,,,,,,,,,True,0
CAM-0618,16,13,sector11__mom252_skip21__weekly__top3,provisional_repaired_target_change_quote_gate,sector11__mom252_skip21__monthly__top1,1.7385749140505085,1.1156596031290853,0.0210031493547426,11.0,0.0163117750479115,15.0,0.3409077067269778,3.0,0.013523373573903926,117.0,0.0361921191007817,sector11__mom252_skip21__weekly__top3,1.1156596031290853,False,0
CAM-0619,16,13,sector11__mom63_skip0__monthly__top1,provisional_repaired_target_change_quote_gate,sector11__mom252_skip21__monthly__top1,1.366653216245303,1.299563398714651,0.0307277246393611,8.0,0.0144066642140802,11.0,0.1755432227380992,3.0,0.009232529652382361,44.0,0.0314301145261703,sector11__mom63_skip0__monthly__top1,1.299563398714651,False,0
CAM-0620,16,12,sector11__mom63_skip0__monthly__top1,provisional_repaired_target_change_quote_gate,sector11__mom63_skip0__monthly__top1,1.1793742131261449,1.1793742131261449,0.0287228007684776,8.0,0.0211239530165422,12.0,0.1686423265358274,3.0,0.008217784518635397,47.0,0.0385551544384376,sector11__mom63_skip0__monthly__top1,1.1793742131261449,False,0
CAM-0621,18,0,,no_repaired_structured_survivor,etf__ibs30__top3__trend1,0.472201359758914,,,,,,,,,,,,,True,0
CAM-0622,192,19,QQQ__target15__vol20__monthly__thr20__def1,provisional_repaired_target_change_quote_gate,QQQ__target15__vol20__monthly__thr10__def0,1.2208813333946884,1.1621951104344348,0.0152781809222147,8.0,0.0107780197881046,12.0,0.1618077561726768,3.0,0.009991163497318737,10.0,0.0272669720719893,QQQ__target15__vol20__monthly__thr20__def1,1.1621951104344348,False,0
CAM-0623,18,18,qqq__chs_safe__top5__liquid__raw,provisional_repaired_target_change_quote_gate,qqq__chs_safe__top5__liquid__raw,1.9622874671974029,1.9622874671974029,0.0648176632760396,9.0,0.0542181352839907,12.0,0.2270430138886524,3.0,0.01968693332462142,102.0,0.0336573029605542,qqq__chs_safe__top5__liquid__raw,1.4481768131275463,False,0
CAM-0624,72,72,qqq__chs_safe__top5__liquid__target15,provisional_repaired_target_change_quote_gate,qqq__chs_safe__top5__liquid__target15,1.140427631451077,1.140427631451077,0.0278062134284888,9.0,0.024940956391596,12.0,0.1507634642140425,3.0,0.014636568859788904,102.0,0.0319180781963401,qqq__chs_safe__top5__liquid__target8,0.5048929865508118,True,0
