campaign_id,run_id,cost_bps_per_side,adapted_variant,control_variant,adapted_net,control_net,incremental_net,adapted_drawdown,control_drawdown,drawdown_change,adapted_recent12_average_month,control_recent12_average_month,adapted_recent12_positive_months,control_recent12_positive_months,decision
CAM-0612,RUN-0012,10.0,qqq__ma10_50_200__monthly__top3,qqq__ungated__monthly__top3,1.7180155917062971,2.4581828387719686,-0.7401672470656715,0.401903774245353,0.4032945263112605,-0.0013907520659074968,0.0809859269150748,0.0878615717956398,8,9,"The selected triple-MA rule materially trails ungated momentum and barely changes drawdown; it is a filtered momentum expression, not a distinct edge."
CAM-0615,RUN-0012,2.0,qqq__fullcov_s50__mom60__positive_top10,qqq__simple_mom60__top10,1.3165253882517265,1.4375229707428876,-0.1209975824911611,0.2519729147311602,0.2967740901378389,-0.04480117540667872,0.0271478865555719,0.0460035265569476,9,9,Simple momentum dominates the adapted positive optimizer sleeve; source optimization is not isolated.
CAM-0615,RUN-0012,10.0,qqq__fullcov_s50__mom60__positive_top10,qqq__simple_mom60__top10,1.2361953196913478,1.3688235476499235,-0.13262822795857576,0.2542394946709094,0.304778671643349,-0.05053917697243959,0.0263006975311547,0.0453004176912814,9,9,Simple momentum dominates the adapted positive optimizer sleeve; source optimization is not isolated.
CAM-0616,RUN-0012,2.0,qqq__fullcov_s50__mom60__positive_top10,qqq__simple_mom60__top10,1.310421409718649,1.4375229707428876,-0.12710156102423853,0.2409011825082846,0.2967740901378389,-0.0558729076295543,0.0277207464888296,0.0460035265569476,9,9,The executable long-only sleeve is a momentum proxy; signed source identity remains non-executable overnight.
CAM-0616,RUN-0012,10.0,qqq__fullcov_s50__mom60__positive_top10,qqq__simple_mom60__top10,1.229728473089172,1.3688235476499235,-0.13909507456075154,0.2432152951971576,0.304778671643349,-0.06156337644619139,0.0268612046383933,0.0453004176912814,9,9,The executable long-only sleeve is a momentum proxy; signed source identity remains non-executable overnight.
CAM-0617,RUN-0012,2.0,etf_unlevered__alpha_M20_E5__top10,etf_unlevered__alpha_M20_E5__top5,0.8534069356951716,0.7888935571233331,0.06451337857183848,0.2894153656721662,0.3187122655583061,-0.029296899886139927,0.0299953801032454,0.0294121134659709,9,8,"Removing leveraged and inverse ETFs leaves positive but much weaker, cost-sensitive alpha-combo evidence."
CAM-0617,RUN-0012,10.0,etf_unlevered__alpha_M20_E5__top10,etf_unlevered__alpha_M20_E5__top5,0.4339179005203409,0.3449597958456328,0.0889581046747081,0.4334190565167358,0.5015095500541946,-0.06809049353745883,0.0254355526048665,0.0244436413116932,8,8,"Removing leveraged and inverse ETFs leaves positive but much weaker, cost-sensitive alpha-combo evidence."
CAM-0619,RUN-0014,2.0,sector__mom63_skip0__top1__winnerma100,sector__mom63_skip0__top1__plain,1.299563398714651,1.0084089656701811,0.29115443304447,0.1755432227380992,0.3056036406499058,-0.13006041791180661,0.0307277246393611,0.0307277246393611,8,8,The winner-MA gate improves both return and drawdown in the matched 63-day sector rule.
CAM-0619,RUN-0014,10.0,sector__mom63_skip0__top1__winnerma100,sector__mom63_skip0__top1__plain,1.229963398714651,0.9340089656701812,0.2959544330444698,0.1804173637203143,0.3090235855558426,-0.12860622183552828,0.0300610579726945,0.0300610579726945,8,8,The winner-MA gate improves both return and drawdown in the matched 63-day sector rule.
CAM-0620,RUN-0014,2.0,sector__mom63_skip0__top1__marketma200,sector__mom63_skip0__top1__plain,1.1793742131261449,1.0084089656701811,0.17096524745596375,0.1686423265358274,0.3056036406499058,-0.13696131411407841,0.0287228007684776,0.0307277246393611,8,8,"The broad-market gate roughly halves drawdown and modestly improves return, with BIL defense and no margin."
CAM-0620,RUN-0014,10.0,sector__mom63_skip0__top1__marketma200,sector__mom63_skip0__top1__plain,1.1049742131261444,0.9340089656701812,0.1709652474559632,0.1694859954957419,0.3090235855558426,-0.1395375900601007,0.028056134101811,0.0300610579726945,8,8,"The broad-market gate roughly halves drawdown and modestly improves return, with BIL defense and no margin."
CAM-0623,RUN-0012,2.0,qqq__chs_safe__top5,qqq__momentum__top5,1.4481768131275463,0.4699276296004208,0.9782491835271255,0.2922801724861146,0.597720127205794,-0.30543995471967944,0.0648176632760395,0.0529436049999377,9,8,"Safest-distress materially beats the matched QQQ momentum control and halves drawdown, while remaining adapted development evidence."
CAM-0623,RUN-0012,10.0,qqq__chs_safe__top5,qqq__momentum__top5,1.4076514993803435,0.4254545523182441,0.9821969470620995,0.3010326134278638,0.6164399380312993,-0.31540732460343546,0.0642876415606141,0.0524090291323442,9,8,"Safest-distress materially beats the matched QQQ momentum control and halves drawdown, while remaining adapted development evidence."
