campaign_id,best_variant_2bps,panel,holding,net_return_m1bps,net_return_0bps,net_return_1bps,net_return_2bps,net_return_5bps,net_return_10bps,maximum_drawdown,monthly_average,monthly_median,positive_month_rate,recent12_average_month,recent12_positive_rate,entries,active_days,top5_symbol_positive_share,top5_day_positive_share,leave_best_symbol_out_return,diagnostic_short_or_execution_blocked,passes_low_cost_profit_gate,passes_basic_consistency_screen
CAM-0610,etf__sma200__long,etf,open_to_next_open,0.9524673056320032,0.9323592610286876,0.9122512164253724,0.8921431718220567,0.8318190380121103,0.7312788149955327,0.2579697545295665,0.010137990588887,0.0160141265689923,0.5909090909090909,0.035457824895489,0.8333333333333334,599,1632,0.6415918394979887,0.047025082799505,0.6230056268979216,False,True,True
CAM-0611,etf__sma10_30__long,etf,open_to_next_open,0.8834380860804707,0.8583315228440855,0.8332249596077006,0.8081183963713153,0.7327987066621595,0.6072658904802335,0.2852098966470626,0.0091831635951285,0.0039203952932313,0.5227272727272727,0.018072030827983,0.6666666666666666,733,1802,0.5555194922257762,0.0493788910955529,0.6020912308584243,False,True,False
CAM-0612,qqq__sma3_10_21__long,qqq,open_to_next_open,0.6684927181045395,0.6000063164899218,0.5315199148753038,0.4630335132606862,0.2575743084168327,-0.084857699656256,0.3806363605619022,0.0055787170272371,0.0090348779810801,0.5542168674698795,0.0205634109832236,0.5833333333333334,7290,1697,0.3389124937623683,0.0383568310474652,0.2775158162067822,False,True,False
CAM-0613,sp500__prior_pivot__target_exit__long,sp500,return_override,0.2445600996393713,-0.0056399003606286,-0.2558399003606286,-0.5060399003606286,-1.2566399003606286,-2.5076399003606284,0.5403435058216269,-0.0084339983393438,-0.0089932391729203,0.36666666666666664,-0.005793694138531,0.25,330842,1251,0.1383426381841638,0.0482528059674112,-0.5134162357886819,True,False,False
CAM-0614,qqq__donchian_close20__long,qqq,open_to_next_open,0.7965842441241073,0.7723169334177189,0.7480496227113298,0.7237823120049407,0.6509803798857742,0.5296438263538296,0.3130308798569808,0.0087202688193366,0.0108055299774538,0.5903614457831325,0.0016431228133414,0.5,2851,1703,0.1750199942251134,0.0381815402923846,0.6548769853541203,True,True,False
CAM-0615,qqq__momentum20__diag_cov60__unconstrained,qqq,open_to_next_open,0.150858024475028,0.1398618541409547,0.1288656838068815,0.1178695134728083,0.0848810024705886,0.0299001508002226,0.3253317130291899,0.0014201146201543,0.0007596255742142,0.5180722891566265,0.0080355737370584,0.5,171,1654,0.2338822475399936,0.0566691166591886,0.0779746691089367,True,True,False
CAM-0616,qqq__momentum20__diag_cov60__dollar_neutral,qqq,open_to_next_open,0.1909427039546826,0.1798852557716204,0.1688278075885581,0.1577703594054958,0.1245980148563091,0.0693107739409977,0.1588561562496542,0.0019008477036806,0.0,0.4819277108433735,0.0106738787504122,0.5,168,1654,0.258811052936087,0.0410875370886284,0.1186557399010769,True,True,False
CAM-0617,qqq__26alpha_combo__M20__E5,qqq,open_to_next_open,0.8190948434155342,0.7712411337222245,0.7233874240289149,0.6755337143356052,0.5319725852556758,0.292704036789127,0.3017911335121613,0.0081389604136819,0.0,0.46987951807228917,0.0166676155908955,0.5,169,1660,0.490520941114238,0.1212765079635231,0.2483821016262862,True,True,False
CAM-0618,etf_sector__formation252__hold3__long,etf,open_to_next_open,1.7746264875394098,1.7727931542060764,1.7709598208727433,1.76912648753941,1.76362648753941,1.754459820872743,0.1761561109355197,0.0201037100856751,0.010614040793821,0.5568181818181818,0.0098533409089522,0.6666666666666666,14,1561,1.0,0.0290080492050163,0.946866903620091,False,True,True
CAM-0619,etf_sector__mom252__sma200__long,etf,open_to_next_open,1.1098240465169669,1.105924046516967,1.102024046516967,1.0981240465169668,1.086424046516967,1.066924046516967,0.3087526985085852,0.0124786823467837,0.0,0.4772727272727273,0.0002516213850958,0.5,20,1520,1.0,0.0295140922072124,0.5604299589789403,False,True,False
CAM-0620,etf_sector__mom252__spy_sma200__fallback_GLD,etf,open_to_next_open,1.092689133228471,1.086789133228471,1.080889133228471,1.074989133228471,1.0572891332284708,1.0277891332284708,0.168906635922712,0.0122157856048689,0.0014803475182682,0.5,-0.0009177094939955,0.4166666666666667,30,1751,1.0,0.0337130624330686,0.6332458479212242,False,True,False
CAM-0621,etf_all__ibs__hold1__reversal_long_short,etf,open_to_close,2.152826340793402,1.7866263407934029,1.4204263407934037,1.0542263407934034,-0.0443736592065977,-1.8753736592065973,0.3018183027297414,0.0119798447817432,-0.0008238321622499,0.48863636363636365,0.0031311801992164,0.5833333333333334,10986,1831,0.9103632159881344,0.0518442575952211,0.3474489803374364,False,True,False
CAM-0622,etf__QQQ__target15__vol252__weekly,etf,open_to_next_open,0.7187210138484996,0.7183222705073005,0.7179235271661013,0.7175247838249021,0.7163285538013048,0.714334837095309,0.2422013705393212,0.0081536907252829,0.0043431811274004,0.5568181818181818,0.0184538012138676,0.6666666666666666,1,1579,1.0,0.0416086674060986,-8.881784197001252e-16,False,True,True
CAM-0623,qqq__chs_annual_proxy__reversal_long,qqq,open_to_next_open,1.1249185921369511,1.1213602588036171,1.117801925470284,1.114243592136951,1.103568592136951,1.085776925470284,0.3889253356436405,0.0134246215920114,0.0034725457864899,0.5060240963855421,0.0795592722511029,0.9166666666666666,163,1465,0.3295809436326645,0.0367512827597568,0.9706890633511184,True,True,False
CAM-0624,sp500__chs_proxy__reversal_long__target15,sp500,open_to_next_open,0.5755022580540549,0.5733983050795601,0.5712943521050656,0.5691903991305711,0.5628785402070874,0.5523587753346145,0.1404142681402451,0.0094865066521761,0.0,0.4166666666666667,0.0262123354851195,0.75,588,961,0.1534033117764735,0.0548561621925204,0.5371305476838061,True,True,False
