campaign_id,month,net_pnl,quote_model
CAM-0622,2025-08-31,0.0043934171160450175,09:30 marketable daily reset
CAM-0622,2025-09-30,0.0613314705386897,09:30 marketable daily reset
CAM-0622,2025-10-31,0.06157098089516344,09:30 marketable daily reset
CAM-0622,2025-11-30,-0.03294081681057193,09:30 marketable daily reset
CAM-0622,2025-12-31,0.008428937489355597,09:30 marketable daily reset
CAM-0622,2026-01-31,-0.0023661028797707807,09:30 marketable daily reset
CAM-0622,2026-02-28,-0.02999281021776597,09:30 marketable daily reset
CAM-0622,2026-03-31,-0.02949197285524796,09:30 marketable daily reset
CAM-0622,2026-04-30,0.11146192806925406,09:30 marketable daily reset
CAM-0623,2025-05-31,0.09471060770502893,09:40 marketable daily reset
CAM-0623,2025-06-30,-0.0031250219449048553,09:40 marketable daily reset
CAM-0623,2025-07-31,-0.03331733497884481,09:40 marketable daily reset
CAM-0623,2025-08-31,-0.020912818689153314,09:40 marketable daily reset
CAM-0623,2025-09-30,0.0957369904250322,09:40 marketable daily reset
CAM-0623,2025-10-31,0.014397619841142592,09:40 marketable daily reset
CAM-0623,2025-11-30,-0.006678192629506648,09:40 marketable daily reset
CAM-0623,2025-12-31,0.07061465942149082,09:40 marketable daily reset
CAM-0623,2026-01-31,0.14952252209429043,09:40 marketable daily reset
CAM-0623,2026-02-28,-0.04095940594738954,09:40 marketable daily reset
CAM-0623,2026-03-31,-0.02210825340604182,09:40 marketable daily reset
CAM-0623,2026-04-30,0.28221157756590115,09:40 marketable daily reset
