variant,block,net_pnl,signal_days
tail02_reclaim00_anomaly_ge1_5_final_c20,block_2,-0.39255590416984965,41
tail02_reclaim00_anomaly_ge1_5_final_c20,block_3,-0.3056367146613889,47
tail02_reclaim00_anomaly_ge2_1200_c5,block_1,-0.1265784135750715,34
tail02_reclaim00_anomaly_ge2_1200_c5,block_2,-0.18158280716338515,32
tail02_reclaim00_anomaly_ge2_1200_c5,block_3,-0.22869673910324295,34
tail02_reclaim00_anomaly_ge2_1200_c10,block_1,-0.16057841357507152,34
tail02_reclaim00_anomaly_ge2_1200_c10,block_2,-0.21258280716338518,32
tail02_reclaim00_anomaly_ge2_1200_c10,block_3,-0.261696739103243,34
tail02_reclaim00_anomaly_ge2_1200_c20,block_1,-0.22857841357507147,34
tail02_reclaim00_anomaly_ge2_1200_c20,block_2,-0.2745828071633852,32
tail02_reclaim00_anomaly_ge2_1200_c20,block_3,-0.32769673910324304,34
tail02_reclaim00_anomaly_ge2_final_c5,block_1,-0.01850329214267854,34
tail02_reclaim00_anomaly_ge2_final_c5,block_2,-0.18022933172925032,32
tail02_reclaim00_anomaly_ge2_final_c5,block_3,-0.11007473550687324,34
tail02_reclaim00_anomaly_ge2_final_c10,block_1,-0.05250329214267857,34
tail02_reclaim00_anomaly_ge2_final_c10,block_2,-0.21222933172925035,32
tail02_reclaim00_anomaly_ge2_final_c10,block_3,-0.14407473550687327,34
tail02_reclaim00_anomaly_ge2_final_c20,block_1,-0.1205032921426786,34
tail02_reclaim00_anomaly_ge2_final_c20,block_2,-0.27622933172925035,32
tail02_reclaim00_anomaly_ge2_final_c20,block_3,-0.21207473550687334,34
tail02_reclaim10_all_1200_c5,block_1,-0.06419906747791149,48
tail02_reclaim10_all_1200_c5,block_2,-0.06469984908025078,39
tail02_reclaim10_all_1200_c5,block_3,-0.13058794973239535,53
tail02_reclaim10_all_1200_c10,block_1,-0.11219906747791153,48
tail02_reclaim10_all_1200_c10,block_2,-0.10169984908025081,39
tail02_reclaim10_all_1200_c10,block_3,-0.1825879497323954,53
tail02_reclaim10_all_1200_c20,block_1,-0.2081990674779115,48
tail02_reclaim10_all_1200_c20,block_2,-0.17569984908025083,39
tail02_reclaim10_all_1200_c20,block_3,-0.2865879497323954,53
tail02_reclaim10_all_final_c5,block_1,0.0931135345263513,48
tail02_reclaim10_all_final_c5,block_2,-0.1527589510233568,39
tail02_reclaim10_all_final_c5,block_3,0.03548972232116626,53
tail02_reclaim10_all_final_c10,block_1,0.04511353452635125,48
tail02_reclaim10_all_final_c10,block_2,-0.1917589510233568,39
tail02_reclaim10_all_final_c10,block_3,-0.017510277678833768,53
tail02_reclaim10_all_final_c20,block_1,-0.050886465473648834,48
tail02_reclaim10_all_final_c20,block_2,-0.26975895102335684,39
tail02_reclaim10_all_final_c20,block_3,-0.12351027767883381,53
tail02_reclaim10_participation_q50_1200_c5,block_1,-0.2165552136722848,34
tail02_reclaim10_participation_q50_1200_c5,block_2,-0.03002323088657105,31
tail02_reclaim10_participation_q50_1200_c5,block_3,-0.12576969202476013,44
tail02_reclaim10_participation_q50_1200_c10,block_1,-0.25055521367228484,34
tail02_reclaim10_participation_q50_1200_c10,block_2,-0.06002323088657105,31
tail02_reclaim10_participation_q50_1200_c10,block_3,-0.16976969202476017,44
tail02_reclaim10_participation_q50_1200_c20,block_1,-0.31855521367228484,34
tail02_reclaim10_participation_q50_1200_c20,block_2,-0.12002323088657108,31
tail02_reclaim10_participation_q50_1200_c20,block_3,-0.2577696920247602,44
tail02_reclaim10_participation_q50_final_c5,block_1,-0.08939548581424162,34
tail02_reclaim10_participation_q50_final_c5,block_2,0.006976261805425321,31
tail02_reclaim10_participation_q50_final_c5,block_3,0.05120657585327282,44
tail02_reclaim10_participation_q50_final_c10,block_1,-0.12339548581424165,34
tail02_reclaim10_participation_q50_final_c10,block_2,-0.024023738194574693,31
tail02_reclaim10_participation_q50_final_c10,block_3,0.007206575853272782,44
tail02_reclaim10_participation_q50_final_c20,block_1,-0.19139548581424165,34
tail02_reclaim10_participation_q50_final_c20,block_2,-0.0860237381945747,31
tail02_reclaim10_participation_q50_final_c20,block_3,-0.08079342414672726,44
tail02_reclaim10_participation_q67_1200_c5,block_1,-0.2720690197546429,28
tail02_reclaim10_participation_q67_1200_c5,block_2,0.004903009249352996,28
tail02_reclaim10_participation_q67_1200_c5,block_3,-0.21824858041671763,39
tail02_reclaim10_participation_q67_1200_c10,block_1,-0.30006901975464295,28
tail02_reclaim10_participation_q67_1200_c10,block_2,-0.02209699075064701,28
tail02_reclaim10_participation_q67_1200_c10,block_3,-0.25724858041671766,39
tail02_reclaim10_participation_q67_1200_c20,block_1,-0.35606901975464295,28
tail02_reclaim10_participation_q67_1200_c20,block_2,-0.076096990750647,28
tail02_reclaim10_participation_q67_1200_c20,block_3,-0.3352485804167177,39
tail02_reclaim10_participation_q67_final_c5,block_1,-0.1355115587700021,28
tail02_reclaim10_participation_q67_final_c5,block_2,0.06544927182829119,28
tail02_reclaim10_participation_q67_final_c5,block_3,-0.09917732749607167,39
tail02_reclaim10_participation_q67_final_c10,block_1,-0.16351155877000212,28
tail02_reclaim10_participation_q67_final_c10,block_2,0.037449271828291164,28
tail02_reclaim10_participation_q67_final_c10,block_3,-0.1381773274960717,39
tail02_reclaim10_participation_q67_final_c20,block_1,-0.21951155877000214,28
tail02_reclaim10_participation_q67_final_c20,block_2,-0.018550728171708806,28
tail02_reclaim10_participation_q67_final_c20,block_3,-0.21617732749607171,39
tail02_reclaim10_participation_q80_1200_c5,block_1,-0.22688430650590652,25
tail02_reclaim10_participation_q80_1200_c5,block_2,-0.006803621604690058,26
tail02_reclaim10_participation_q80_1200_c5,block_3,-0.2663225265994152,32
tail02_reclaim10_participation_q80_1200_c10,block_1,-0.25188430650590654,25
tail02_reclaim10_participation_q80_1200_c10,block_2,-0.03180362160469008,26
tail02_reclaim10_participation_q80_1200_c10,block_3,-0.2983225265994152,32
tail02_reclaim10_participation_q80_1200_c20,block_1,-0.30188430650590653,25
tail02_reclaim10_participation_q80_1200_c20,block_2,-0.0818036216046901,26
tail02_reclaim10_participation_q80_1200_c20,block_3,-0.3623225265994152,32
tail02_reclaim10_participation_q80_final_c5,block_1,-0.08471031304337806,25
tail02_reclaim10_participation_q80_final_c5,block_2,0.059072090223206364,26
tail02_reclaim10_participation_q80_final_c5,block_3,-0.18577342879200076,32
tail02_reclaim10_participation_q80_final_c10,block_1,-0.10971031304337808,25
tail02_reclaim10_participation_q80_final_c10,block_2,0.033072090223206355,26
tail02_reclaim10_participation_q80_final_c10,block_3,-0.2177734287920008,32
tail02_reclaim10_participation_q80_final_c20,block_1,-0.15971031304337807,25
tail02_reclaim10_participation_q80_final_c20,block_2,-0.01892790977679363,26
tail02_reclaim10_participation_q80_final_c20,block_3,-0.28177342879200085,32
tail02_reclaim10_anomaly_ge1_1200_c5,block_1,-0.05538832338774802,37
tail02_reclaim10_anomaly_ge1_1200_c5,block_2,-0.04324000659614363,32
tail02_reclaim10_anomaly_ge1_1200_c5,block_3,-0.16237633393638135,43
tail02_reclaim10_anomaly_ge1_1200_c10,block_1,-0.09238832338774805,37
tail02_reclaim10_anomaly_ge1_1200_c10,block_2,-0.07424000659614366,32
tail02_reclaim10_anomaly_ge1_1200_c10,block_3,-0.20437633393638138,43
tail02_reclaim10_anomaly_ge1_1200_c20,block_1,-0.166388323387748,37
tail02_reclaim10_anomaly_ge1_1200_c20,block_2,-0.13624000659614366,32
tail02_reclaim10_anomaly_ge1_1200_c20,block_3,-0.2883763339363814,43
tail02_reclaim10_anomaly_ge1_final_c5,block_1,0.006689704434139188,37
tail02_reclaim10_anomaly_ge1_final_c5,block_2,-0.07842001459288495,32
tail02_reclaim10_anomaly_ge1_final_c5,block_3,-0.059375431665277645,43
tail02_reclaim10_anomaly_ge1_final_c10,block_1,-0.030310295565860845,37
tail02_reclaim10_anomaly_ge1_final_c10,block_2,-0.11042001459288497,32
tail02_reclaim10_anomaly_ge1_final_c10,block_3,-0.10237543166527767,43
tail02_reclaim10_anomaly_ge1_final_c20,block_1,-0.10431029556586091,37
tail02_reclaim10_anomaly_ge1_final_c20,block_2,-0.17442001459288498,32
tail02_reclaim10_anomaly_ge1_final_c20,block_3,-0.1883754316652777,43
tail02_reclaim10_anomaly_ge1_5_1200_c5,block_1,-0.03498250419431659,27
tail02_reclaim10_anomaly_ge1_5_1200_c5,block_2,-0.08135455824102716,26
tail02_reclaim10_anomaly_ge1_5_1200_c5,block_3,-0.18660992661544146,32
tail02_reclaim10_anomaly_ge1_5_1200_c10,block_1,-0.06198250419431661,27
tail02_reclaim10_anomaly_ge1_5_1200_c10,block_2,-0.10635455824102719,26
tail02_reclaim10_anomaly_ge1_5_1200_c10,block_3,-0.21760992661544148,32
tail02_reclaim10_anomaly_ge1_5_1200_c20,block_1,-0.1159825041943166,27
tail02_reclaim10_anomaly_ge1_5_1200_c20,block_2,-0.15635455824102718,26
tail02_reclaim10_anomaly_ge1_5_1200_c20,block_3,-0.2796099266154415,32
tail02_reclaim10_anomaly_ge1_5_final_c5,block_1,0.007718455067575403,27
tail02_reclaim10_anomaly_ge1_5_final_c5,block_2,-0.11419892069239002,26
tail02_reclaim10_anomaly_ge1_5_final_c5,block_3,-0.10570139813814383,32
tail02_reclaim10_anomaly_ge1_5_final_c10,block_1,-0.01928154493242462,27
tail02_reclaim10_anomaly_ge1_5_final_c10,block_2,-0.14019892069239004,26
tail02_reclaim10_anomaly_ge1_5_final_c10,block_3,-0.13770139813814386,32
tail02_reclaim10_anomaly_ge1_5_final_c20,block_1,-0.07328154493242467,27
