variant,block,net_pnl,event_count
all_state_trade_q50_nbbo_slip0,block_2,0.5268756445983848,57
all_state_trade_q50_nbbo_slip0,block_3,0.21892773645153207,53
all_state_trade_q50_nbbo_slip2,block_1,-0.0731424170760642,52
all_state_trade_q50_nbbo_slip2,block_2,0.5040756445983848,57
all_state_trade_q50_nbbo_slip2,block_3,0.19772773645153208,53
all_state_trade_q50_nbbo_slip5,block_1,-0.10434241707606429,52
all_state_trade_q50_nbbo_slip5,block_2,0.4698756445983847,57
all_state_trade_q50_nbbo_slip5,block_3,0.16592773645153203,53
all_state_range50_nbbo_slip0,block_1,0.04708133330250075,70
all_state_range50_nbbo_slip0,block_2,0.49100115092881036,74
all_state_range50_nbbo_slip0,block_3,0.1526099665165923,78
all_state_range50_nbbo_slip2,block_1,0.019081333302500766,70
all_state_range50_nbbo_slip2,block_2,0.4614011509288104,74
all_state_range50_nbbo_slip2,block_3,0.12140996651659237,78
all_state_range50_nbbo_slip5,block_1,-0.022918666697499313,70
all_state_range50_nbbo_slip5,block_2,0.4170011509288103,74
all_state_range50_nbbo_slip5,block_3,0.07460996651659224,78
all_state_range75_nbbo_slip0,block_1,0.10883988983246151,52
all_state_range75_nbbo_slip0,block_2,0.4428585183324635,62
all_state_range75_nbbo_slip0,block_3,0.024049368899000334,61
all_state_range75_nbbo_slip2,block_1,0.08803988983246157,52
all_state_range75_nbbo_slip2,block_2,0.41805851833246344,62
all_state_range75_nbbo_slip2,block_3,-0.00035063110099960854,61
all_state_range75_nbbo_slip5,block_1,0.056839889832461465,52
all_state_range75_nbbo_slip5,block_2,0.3808585183324634,62
all_state_range75_nbbo_slip5,block_3,-0.03695063110099972,61
all_state_close_vwap_nbbo_slip0,block_1,-0.0024807942852127507,75
all_state_close_vwap_nbbo_slip0,block_2,0.515180554171859,77
all_state_close_vwap_nbbo_slip0,block_3,0.14607630934372284,80
all_state_close_vwap_nbbo_slip2,block_1,-0.03248079428521268,75
all_state_close_vwap_nbbo_slip2,block_2,0.48438055417185905,77
all_state_close_vwap_nbbo_slip2,block_3,0.1140763093437229,80
all_state_close_vwap_nbbo_slip5,block_1,-0.07748079428521282,75
all_state_close_vwap_nbbo_slip5,block_2,0.43818055417185897,77
all_state_close_vwap_nbbo_slip5,block_3,0.06607630934372277,80
all_state_dollar_q50_range50_nbbo_slip0,block_1,0.05960448071588942,57
all_state_dollar_q50_range50_nbbo_slip0,block_2,0.44918247460971616,63
all_state_dollar_q50_range50_nbbo_slip0,block_3,0.21181525103225296,61
all_state_dollar_q50_range50_nbbo_slip2,block_1,0.03680448071588953,57
all_state_dollar_q50_range50_nbbo_slip2,block_2,0.4239824746097161,63
all_state_dollar_q50_range50_nbbo_slip2,block_3,0.18741525103225298,61
all_state_dollar_q50_range50_nbbo_slip5,block_1,0.002604480715889368,57
all_state_dollar_q50_range50_nbbo_slip5,block_2,0.3861824746097161,63
all_state_dollar_q50_range50_nbbo_slip5,block_3,0.1508152510322529,61
vol_high_all_nbbo_slip0,block_1,0.24384080174539213,46
vol_high_all_nbbo_slip0,block_2,0.2657606994387558,26
vol_high_all_nbbo_slip0,block_3,0.2625219164915914,50
vol_high_all_nbbo_slip2,block_1,0.2254408017453921,46
vol_high_all_nbbo_slip2,block_2,0.2553606994387558,26
vol_high_all_nbbo_slip2,block_3,0.24252191649159144,50
vol_high_all_nbbo_slip5,block_1,0.1978408017453921,46
vol_high_all_nbbo_slip5,block_2,0.23976069943875578,26
vol_high_all_nbbo_slip5,block_3,0.21252191649159136,50
vol_high_dollar_q50_nbbo_slip0,block_1,0.2427068037395852,38
vol_high_dollar_q50_nbbo_slip0,block_2,0.2342804611466811,22
vol_high_dollar_q50_nbbo_slip0,block_3,0.331764224357584,37
vol_high_dollar_q50_nbbo_slip2,block_1,0.2275068037395852,38
vol_high_dollar_q50_nbbo_slip2,block_2,0.22548046114668108,22
vol_high_dollar_q50_nbbo_slip2,block_3,0.316964224357584,37
vol_high_dollar_q50_nbbo_slip5,block_1,0.20470680373958516,38
vol_high_dollar_q50_nbbo_slip5,block_2,0.2122804611466811,22
vol_high_dollar_q50_nbbo_slip5,block_3,0.294764224357584,37
vol_high_dollar_q67_nbbo_slip0,block_1,0.21664821039154636,30
vol_high_dollar_q67_nbbo_slip0,block_2,0.24058603487524866,19
vol_high_dollar_q67_nbbo_slip0,block_3,0.3598648030950954,30
vol_high_dollar_q67_nbbo_slip2,block_1,0.20464821039154635,30
vol_high_dollar_q67_nbbo_slip2,block_2,0.23298603487524866,19
vol_high_dollar_q67_nbbo_slip2,block_3,0.3478648030950953,30
vol_high_dollar_q67_nbbo_slip5,block_1,0.18664821039154633,30
vol_high_dollar_q67_nbbo_slip5,block_2,0.22158603487524864,19
vol_high_dollar_q67_nbbo_slip5,block_3,0.32986480309509536,30
vol_high_dollar_q80_nbbo_slip0,block_1,0.1632230149556152,24
vol_high_dollar_q80_nbbo_slip0,block_2,0.2431314912756981,16
vol_high_dollar_q80_nbbo_slip0,block_3,0.3027569889267826,25
vol_high_dollar_q80_nbbo_slip2,block_1,0.15362301495561523,24
vol_high_dollar_q80_nbbo_slip2,block_2,0.23673149127569815,16
vol_high_dollar_q80_nbbo_slip2,block_3,0.2927569889267826,25
vol_high_dollar_q80_nbbo_slip5,block_1,0.13922301495561518,24
vol_high_dollar_q80_nbbo_slip5,block_2,0.2271314912756981,16
vol_high_dollar_q80_nbbo_slip5,block_3,0.2777569889267826,25
vol_high_trade_q50_nbbo_slip0,block_1,0.09849016623796936,35
vol_high_trade_q50_nbbo_slip0,block_2,0.32347137894530875,19
vol_high_trade_q50_nbbo_slip0,block_3,0.3145294109486184,37
vol_high_trade_q50_nbbo_slip2,block_1,0.0844901662379694,35
vol_high_trade_q50_nbbo_slip2,block_2,0.31587137894530876,19
vol_high_trade_q50_nbbo_slip2,block_3,0.2997294109486184,37
vol_high_trade_q50_nbbo_slip5,block_1,0.06349016623796933,35
vol_high_trade_q50_nbbo_slip5,block_2,0.30447137894530873,19
vol_high_trade_q50_nbbo_slip5,block_3,0.2775294109486184,37
vol_high_range50_nbbo_slip0,block_1,0.24626147750946958,43
vol_high_range50_nbbo_slip0,block_2,0.2657606994387558,26
vol_high_range50_nbbo_slip0,block_3,0.26905557366446087,48
vol_high_range50_nbbo_slip2,block_1,0.2290614775094696,43
vol_high_range50_nbbo_slip2,block_2,0.2553606994387558,26
vol_high_range50_nbbo_slip2,block_3,0.24985557366446082,48
vol_high_range50_nbbo_slip5,block_1,0.20326147750946955,43
vol_high_range50_nbbo_slip5,block_2,0.23976069943875578,26
vol_high_range50_nbbo_slip5,block_3,0.22105557366446082,48
vol_high_range75_nbbo_slip0,block_1,0.25301940307794246,33
vol_high_range75_nbbo_slip0,block_2,0.22693789285413646,23
vol_high_range75_nbbo_slip0,block_3,0.12569144869516458,37
vol_high_range75_nbbo_slip2,block_1,0.23981940307794247,33
vol_high_range75_nbbo_slip2,block_2,0.21773789285413642,23
vol_high_range75_nbbo_slip2,block_3,0.11089144869516461,37
vol_high_range75_nbbo_slip5,block_1,0.22001940307794243,33
vol_high_range75_nbbo_slip5,block_2,0.20393789285413644,23
vol_high_range75_nbbo_slip5,block_3,0.08869144869516454,37
vol_high_close_vwap_nbbo_slip0,block_1,0.24384080174539213,46
vol_high_close_vwap_nbbo_slip0,block_2,0.2657606994387558,26
vol_high_close_vwap_nbbo_slip0,block_3,0.2625219164915914,50
vol_high_close_vwap_nbbo_slip2,block_1,0.2254408017453921,46
vol_high_close_vwap_nbbo_slip2,block_2,0.2553606994387558,26
vol_high_close_vwap_nbbo_slip2,block_3,0.24252191649159144,50
vol_high_close_vwap_nbbo_slip5,block_1,0.1978408017453921,46
vol_high_close_vwap_nbbo_slip5,block_2,0.23976069943875578,26
vol_high_close_vwap_nbbo_slip5,block_3,0.21252191649159136,50
vol_high_dollar_q50_range50_nbbo_slip0,block_1,0.23815764403748352,36
vol_high_dollar_q50_range50_nbbo_slip0,block_2,0.2342804611466811,22
vol_high_dollar_q50_range50_nbbo_slip0,block_3,0.34986958213101016,36
vol_high_dollar_q50_range50_nbbo_slip2,block_1,0.2237576440374835,36
vol_high_dollar_q50_range50_nbbo_slip2,block_2,0.22548046114668108,22
vol_high_dollar_q50_range50_nbbo_slip2,block_3,0.3354695821310102,36
vol_high_dollar_q50_range50_nbbo_slip5,block_1,0.20215764403748349,36
vol_high_dollar_q50_range50_nbbo_slip5,block_2,0.2122804611466811,22
vol_high_dollar_q50_range50_nbbo_slip5,block_3,0.3138695821310101,36
