campaign_id,run_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding
CAM-0611,RUN-0024,sp500__ma50_200__daily__top10__risk_adjusted,sp500,1,2.0,0.614525802600713,0.6786677677563111,0.06414196515559831,1386,11924,1055,577,478,0.8400055839598601,1.0000000000000004,320.70982577799157,129,104,0.19112757508491515,0.05126984312833651,MCK,0.06122336019494795,0.5533024424057651,2,2,0.010242096710011885,0.0,28,23,9,0.19445882530638678,2025-02-18,2025-04-04,189.0,0.0,12,0.019381552693957162,0.02091694661598026,7,5,0,15,0.009047408770859307,0.018747372470451624,8,7,0,18,0.010255617398550021,0.02091694661598026,10,8,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma50_200__daily__top10__risk_adjusted,sp500,1,5.0,0.5183128548673156,0.6786677677563111,0.16035491288899578,1386,11924,1055,574,481,0.8400055839598601,1.0000000000000004,320.70982577799157,124,109,0.1960358174580928,0.05166069245211598,MCK,0.059717668426925226,0.4585951864403904,2,2,0.008638547581121925,0.0,28,23,9,0.20548419440978485,2025-02-18,2025-04-04,203.0,0.0,12,0.017450662154047707,0.01956250620576829,7,5,0,15,0.0070869732007060515,0.016885330809469655,8,7,0,18,0.008232043668206642,0.01956250620576829,10,8,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma50_200__daily__top10__risk_adjusted,sp500,1,10.0,0.35795794197831965,0.6786677677563111,0.32070982577799156,1386,11924,1055,570,485,0.8400055839598601,1.0000000000000004,320.70982577799157,117,116,0.20440344718527645,0.05235139608526933,MCK,0.05720818214688739,0.30074975983143226,2,2,0.00596596569963866,0.0,28,23,9,0.2262882297706265,2025-02-18,2025-04-04,,0.012754866477419406,12,0.014232511254198601,0.017305105522081685,7,5,0,15,0.00381958058378395,0.013781928041166364,8,7,0,18,0.004859420784301006,0.017305105522081685,10,8,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,-1.0,3.10253996085559,3.05263996085559,-0.049899999999999986,741,1494,1575,840,736,0.9133797370456302,1.0,498.9999999999999,45,38,0.4786665538635654,0.043331664419584276,TSLA,0.5998735805943799,2.50266638026121,1,1,0.0373799995283806,0.03188859245706717,49,27,7,0.31316591745354094,2020-02-18,2020-03-25,32.0,0.0016836756122417243,12,0.09425003609715082,0.09820998752280616,9,3,0,15,0.07272671654673987,0.09490469409403733,11,4,0,18,0.06254084947123027,0.0784027783322129,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,0.0,3.05263996085559,3.05263996085559,0.0,741,1494,1575,838,737,0.9133797370456302,1.0,498.9999999999999,45,38,0.48103761923260213,0.043390618428395214,TSLA,0.5980402472610468,2.454599713594543,1,1,0.036778794709103495,0.03128859245706717,49,27,7,0.3137847570743366,2020-02-18,2020-03-25,32.0,0.0017043713119340776,12,0.09364448054159528,0.09780998752280616,9,3,0,15,0.07206004988007321,0.09423802742737067,11,4,0,18,0.0618519605823414,0.07796944499887959,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,1.0,3.0027399608555903,3.05263996085559,0.049899999999999986,741,1494,1575,837,739,0.9133797370456302,1.0,498.9999999999999,45,38,0.48359139155128145,0.04344917747009753,TSLA,0.5962069139277136,2.4065330469278767,1,1,0.03617758988982639,0.030688592457067173,49,27,7,0.31440410307603356,2020-02-18,2020-03-25,32.0,0.001725582125468186,12,0.09303892498603972,0.09740998752280616,9,3,0,15,0.07139338321340655,0.093571360760704,11,4,0,18,0.0611630716934525,0.07753611166554625,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,2.0,2.95283996085559,3.05263996085559,0.09979999999999997,741,1494,1575,836,740,0.9133797370456302,1.0,498.9999999999999,45,38,0.4863970808546185,0.043507821211937116,TSLA,0.5943735805943805,2.3584663802612096,1,1,0.03557638507054928,0.03033847912091896,48,28,7,0.3150239560804243,2020-02-18,2020-03-25,32.0,0.0017473275268934778,12,0.09243336943048415,0.09700998752280617,9,3,0,15,0.07072671654673987,0.09290469409403734,11,4,0,18,0.0604741828045636,0.07710277833221292,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,5.0,2.8031399608555905,3.05263996085559,0.2495,741,1494,1575,830,746,0.9133797370456302,1.0,498.9999999999999,43,40,0.49467231932520583,0.04368332728728939,TSLA,0.5888735805943808,2.2142663802612095,1,1,0.03377277061271796,0.029438479120918955,48,28,7,0.31688656334297394,2020-02-18,2020-03-25,32.0,0.001815981302005622,12,0.0906167027638175,0.09515214269440676,9,3,0,15,0.06872671654673987,0.09090469409403733,11,4,0,18,0.058407516137896937,0.07580277833221291,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__momentum,qqq,1,10.0,2.55363996085559,3.05263996085559,0.499,741,1494,1575,825,751,0.9133797370456302,1.0,498.9999999999999,40,43,0.5078477819806266,0.0439727506531013,TSLA,0.5797069139277141,1.973933046927876,1,1,0.030766746516332405,0.02793847912091896,48,28,7,0.3200011071646802,2020-02-18,2020-03-25,32.0,0.001943233045443348,12,0.08758892498603972,0.09115214269440677,9,3,0,15,0.06539338321340654,0.087571360760704,11,4,0,18,0.0549630716934525,0.07363611166554625,12,6,0,open_to_next_open
CAM-0611,RUN-0024,qqq__ma10_30__daily__top3__risk_adjusted,qqq,1,-1.0,1.8381044511917317,1.7769401237564189,-0.061164327435312256,785,5479,1575,808,768,0.9134370211502765,1.0000000000000002,611.6432743531227,36,46,0.4923348493945775,0.05158975082720485,TSLA,0.4933145026008275,1.3447899485909043,1,1,0.02214583676134616,0.0005011888364587448,42,34,7,0.2983099220423082,2020-02-13,2020-03-25,32.0,0.002355542231655237,12,0.04966458801129694,0.04111135930102518,7,5,0,15,0.03252484716132345,0.021175977955087452,9,6,0,18,0.022272424555816763,0.0198197122179077,10,8,0,open_to_next_open
