campaign_id,run_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,metadata_json
CAM-0613,RUN-0020,etf__pivot__trend1__volume1,etf,0,0.0,-0.2248776292114953,-0.2248776292114953,0.0,3001,4957,1107,687,420,0.1082400570115777,0.5555555555555556,396.5915688904207,8,11,0.9191458464568677,0.10184021086727603,XLE,0.019503442372453397,-0.24438107158394867,0,0,-0.002555427604676082,0.0,41,43,4,0.2334140178402235,2019-06-28,2026-03-09,,0.22699388602409268,12,-0.005108719330285613,-0.0027104022529551874,6,6,0,15,-0.010503528868543053,-0.0039033240742398796,7,8,0,18,-0.008847602031032749,-0.0015946981662185778,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,etf__pivot__trend0__volume0,etf,0,0.0,-0.2767055258748221,-0.2767055258748221,0.0,9994,13996,1779,1015,763,0.3495523615866152,0.75,1280.759852853358,10,10,0.8911660120496319,0.0527396700699569,TLT,0.018482845801122447,-0.2951883716759446,0,0,-0.0031443809758502526,-0.0013888168296926646,38,49,1,0.3428170989687929,2020-06-10,2026-03-09,,0.30884645220879037,12,-0.001241228867211612,0.0013193844372600795,7,5,0,15,-0.010796900490332727,0.0008030572201512178,8,7,0,18,-0.009795958324744093,-0.0018299537014756979,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,etf__pivot__trend0__volume1,etf,0,0.0,-0.46068130603638546,-0.46068130603638546,0.0,4496,7471,1381,824,556,0.16441278100054546,0.6666666666666666,602.4084295859985,9,11,0.9173363729763626,0.08603510774331317,TLT,0.02264974059834725,-0.4833310466347327,0,0,-0.005235014841322563,-0.002390056456952172,39,48,1,0.4763281457346567,2019-06-20,2026-03-30,,0.4672403574400181,12,-0.008674014482080978,-0.004488841004025634,5,7,0,15,-0.018565338826221352,-0.005638158225815812,6,9,0,18,-0.01576102660935825,-0.005345229380178195,7,11,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,sp500__pivot__trend1__volume0,sp500,0,1.0,0.21741705149349871,0.26800144737436316,0.050584395880864455,63463,92843,1148,728,420,0.20153145769268707,0.49999999999999994,505.8439588086445,218,79,0.11585639456733866,0.05806879611414994,VLO,0.007893028396285872,0.20952402309721285,0,0,0.003623617524891645,0.003136425633309758,45,11,4,0.016836852191202997,2022-02-10,2022-02-24,30.0,0.0,12,0.0045527776888549445,0.003959200400555178,10,2,0,15,0.003872284594102724,0.0028538550283527604,12,3,0,18,0.003181502493143776,0.0028867636386776694,14,4,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,sp500__pivot__trend1__volume1,sp500,0,1.0,0.16801208760271294,0.19342505639015203,0.025412968787439108,30672,50265,1135,756,379,0.10124688759935899,0.4358974358974359,254.12968787439104,201,91,0.14781211838984748,0.08001362287419245,ETSY,0.008319132105495569,0.15969295549721738,0,0,0.0028002014600452155,0.002795505502804666,43,13,4,0.01458135548835869,2022-02-10,2022-02-24,31.0,0.0,12,0.0032183940752465723,0.003016990578286294,9,3,0,15,0.0025464666691931287,0.0018785720915721826,10,5,0,18,0.0020848389938798667,0.0023266721516741794,12,6,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,qqq__pivot__trend1__volume0,qqq,0,1.0,0.09981343043693702,0.1762012844227905,0.07638785398585354,21009,30441,1556,917,639,0.22154249995897196,1.0,763.8785398585353,47,30,0.32310563543166404,0.04991790299183965,MRNA,0.017394997676373498,0.08241843276056353,0,0,0.0012025714510474344,0.0009827671586538,43,35,5,0.060444742128860834,2020-01-23,2021-05-21,328.0,0.006412664531989796,12,0.0026952011024361203,0.0007160388435409545,6,6,0,15,0.002124127984141578,-1.1602206982195152e-05,7,8,0,18,0.0006825978591947688,-0.0009317992517045464,8,10,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,qqq__pivot__trend1__volume1,qqq,0,1.0,0.09711011214466592,0.13562119650494464,0.03851108436027874,10124,16478,1452,888,564,0.11169107993120282,1.0,385.1108436027873,41,35,0.3627111161652366,0.06525751303754797,NFLX,0.020196442671206752,0.07691366947345916,0,0,0.0011700013511405532,0.000238106426310281,43,35,5,0.05066508587955261,2024-03-07,2026-03-30,,0.031881627865375455,12,0.00033762077169397577,-0.0009498993841789262,6,6,0,15,-0.00011187176119165735,-0.0024143074764809936,7,8,0,18,-0.0005715426488343236,-0.0022383843193701336,8,10,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,sp500__pivot__trend0__volume1,sp500,0,1.0,0.014314991511520053,0.058475919384140526,0.044160927872620465,53955,89368,1218,685,533,0.17593995168374688,1.0,441.6092787262047,144,176,0.21720860598297262,0.11797296246774512,NVDA,0.008715667234449389,0.005599324277070664,0,0,0.00023858319185866728,0.0008237413895671038,31,28,1,0.05293678667722374,2023-07-26,2025-04-08,,0.028401991181163596,12,-0.00014328613666983285,-0.00012105448942294688,6,6,0,15,0.0006061034301149427,-0.0008720365986567334,7,8,0,18,-3.828348894492484e-05,4.1499504419500544e-05,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,sp500__pivot__trend0__volume0,sp500,0,1.0,-0.021495844692769772,0.06701975653529496,0.08851560122806472,113120,166639,1222,652,570,0.3526517977213734,1.0,885.1560122806472,146,176,0.19213432818706913,0.08146426215468035,NVDA,0.00795346374198406,-0.02944930843475383,0,0,-0.00035826407821282924,0.0002485129913971651,32,27,1,0.07758348295095269,2023-07-26,2025-04-08,,0.04426276857083662,12,0.0004975849587970119,0.0004470486167113401,7,5,0,15,0.0014534405137311473,0.0008150343503404904,9,6,0,18,0.00040948761583465925,0.0004470486167113401,10,8,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,etf__pivot__trend1__volume0,etf,0,1.0,-0.08448958429430135,-0.0004458905606931282,0.08404369373360819,6719,9310,1533,942,591,0.2293768933777516,0.6428571428571428,840.4369373360819,7,12,0.9552662141763341,0.061819582912899934,SOXL,0.050137864753855,-0.13462744904815635,0,0,-0.000960108912435242,0.00013229190406222952,45,39,4,0.15385986865528697,2024-03-12,2026-03-09,,0.1097030253453465,12,0.0015156779318877386,0.0029527228233567245,7,5,0,15,-0.004565314800253499,0.004136703820828666,9,6,0,18,-0.0040625265836935626,0.0029527228233567245,10,8,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
