variant,allocation,additional_slippage_bps_per_side,active_trade_count,average_event_exposure_all_q60,maximum_event_exposure,full_net_simple_return,average_month_18m,median_month_18m,positive_months_18m,negative_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved,top_5_day_profit_share,worst_event_pnl,soxl_net,soxs_net
soxs_050_slip5,soxs_050,5,108,0.7083333333333334,1.0,0.9516791655559492,0.05287106475310829,0.03567113009655548,13,5,0,0.0982355353728262,,True,0.45084666410907936,-0.09097619047619049,0.8221781630945888,0.12950100246136043
soxs_050_slip10,soxs_050,10,108,0.7083333333333334,1.0,0.8751791655559491,0.04862106475310829,0.03217113009655548,13,5,0,0.10484197718509258,,True,0.4845423586193703,-0.09147619047619049,0.7771781630945888,0.0980010024613604
soxs_075_slip2,soxs_075,2,108,0.8541666666666666,1.0,1.0717796667866297,0.059543314821479426,0.035072583127589145,13,5,0,0.1370417600590458,,True,0.446550336709876,-0.13601428571428575,0.849178163094589,0.22260150369204076
soxs_075_slip5,soxs_075,5,108,0.8541666666666666,1.0,1.0164296667866295,0.05646831482147942,0.03327258312758914,12,6,0,0.14230958873453875,,True,0.4683585954229157,-0.13646428571428573,0.8221781630945888,0.19425150369204072
soxs_075_slip10,soxs_075,10,108,0.8541666666666666,1.0,0.9241796667866293,0.051343314821479406,0.03027258312758914,12,6,0,0.15162889971815993,,True,0.5105106593859915,-0.13721428571428573,0.7771781630945888,0.14700150369204062
low_volume_025_soxs_075_slip2,low_volume_025_soxs_075,2,108,0.625,1.0,0.9476590624233582,0.05264772569018657,0.02562164485587911,14,4,0,0.05478510502582806,5.0,False,0.4619784566823187,-0.07529999999999998,0.6412314937434742,0.3064275686798841
low_volume_025_soxs_075_slip5,low_volume_025_soxs_075,5,108,0.625,1.0,0.9071590624233579,0.05039772569018655,0.023784144855879107,13,5,0,0.05907221013235592,5.0,False,0.47962710084937915,-0.07574999999999998,0.6196314937434739,0.28752756867988405
low_volume_025_soxs_075_slip10,low_volume_025_soxs_075,10,108,0.625,1.0,0.839659062423358,0.046647725690186555,0.020721644855879105,12,6,0,0.0662758793897681,5.0,False,0.5128248957101681,-0.07649999999999998,0.5836314937434739,0.256027568679884
signal_tier_q60_050_q67_075_q80_100_slip2,signal_tier_q60_050_q67_075_q80_100,2,108,0.875,1.0,0.989809341778294,0.05498940787657189,0.02552317143567285,13,5,0,0.1737545321894115,,True,0.5522121038727268,-0.181352380952381,0.7645416703494303,0.2252676714288639
signal_tier_q60_050_q67_075_q80_100_slip5,signal_tier_q60_050_q67_075_q80_100,5,108,0.875,1.0,0.9331093417782939,0.05183940787657187,0.022598171435672845,13,5,0,0.18014791684673714,,True,0.5827127376305504,-0.18195238095238098,0.7409916703494299,0.1921176714288637
signal_tier_q60_050_q67_075_q80_100_slip10,signal_tier_q60_050_q67_075_q80_100,10,108,0.875,1.0,0.8386093417782938,0.04658940787657187,0.018189504255536088,13,5,0,0.19147580159314634,,True,0.6427124910310907,-0.18295238095238098,0.70174167034943,0.13686767142886375
