symbol,session,window,candidate_events
JPM,2025-11-05,morning,76
JPM,2025-11-05,midday,66
JPM,2026-04-01,morning,239
JPM,2026-04-01,midday,77
BAC,2024-11-06,morning,2902
BAC,2024-11-06,midday,1957
BAC,2025-02-05,morning,1228
BAC,2025-02-05,midday,412
BAC,2025-05-07,morning,500
BAC,2025-05-07,midday,875
BAC,2025-08-06,morning,1451
BAC,2025-08-06,midday,161
BAC,2025-11-05,morning,617
BAC,2025-11-05,midday,562
BAC,2026-04-01,morning,1496
BAC,2026-04-01,midday,514
WFC,2024-11-06,morning,3157
WFC,2024-11-06,midday,419
WFC,2025-02-05,morning,313
WFC,2025-02-05,midday,189
WFC,2025-05-07,morning,560
WFC,2025-05-07,midday,254
WFC,2025-08-06,morning,779
WFC,2025-08-06,midday,165
WFC,2025-11-05,morning,460
WFC,2025-11-05,midday,307
WFC,2026-04-01,morning,788
WFC,2026-04-01,midday,152
XOM,2024-11-06,morning,1865
XOM,2024-11-06,midday,313
XOM,2025-02-05,morning,813
XOM,2025-02-05,midday,165
XOM,2025-05-07,morning,731
XOM,2025-05-07,midday,469
XOM,2025-08-06,morning,1155
XOM,2025-08-06,midday,255
XOM,2025-11-05,morning,535
XOM,2025-11-05,midday,433
XOM,2026-04-01,morning,1806
XOM,2026-04-01,midday,722
CVX,2024-11-06,morning,516
CVX,2024-11-06,midday,163
CVX,2025-02-05,morning,148
CVX,2025-02-05,midday,54
CVX,2025-05-07,morning,95
CVX,2025-05-07,midday,54
CVX,2025-08-06,morning,81
CVX,2025-08-06,midday,80
CVX,2025-11-05,morning,117
CVX,2025-11-05,midday,97
CVX,2026-04-01,morning,222
CVX,2026-04-01,midday,193
LLY,2024-11-06,morning,197
LLY,2024-11-06,midday,45
LLY,2025-02-05,morning,31
LLY,2025-02-05,midday,28
LLY,2025-05-07,morning,22
LLY,2025-05-07,midday,5
LLY,2025-08-06,morning,6
LLY,2025-08-06,midday,7
LLY,2025-11-05,morning,141
LLY,2025-11-05,midday,34
LLY,2026-04-01,morning,50
LLY,2026-04-01,midday,79
UNH,2024-11-06,morning,138
UNH,2024-11-06,midday,39
UNH,2025-02-05,morning,42
UNH,2025-02-05,midday,37
UNH,2025-05-07,morning,46
UNH,2025-05-07,midday,84
UNH,2025-08-06,morning,64
UNH,2025-08-06,midday,93
UNH,2025-11-05,morning,185
UNH,2025-11-05,midday,66
UNH,2026-04-01,morning,63
UNH,2026-04-01,midday,79
JNJ,2024-11-06,morning,375
JNJ,2024-11-06,midday,152
JNJ,2025-02-05,morning,58
JNJ,2025-02-05,midday,50
JNJ,2025-05-07,morning,120
JNJ,2025-05-07,midday,78
JNJ,2025-08-06,morning,126
JNJ,2025-08-06,midday,172
JNJ,2025-11-05,morning,46
JNJ,2025-11-05,midday,63
JNJ,2026-04-01,morning,58
JNJ,2026-04-01,midday,26
WMT,2024-11-06,morning,2033
WMT,2024-11-06,midday,395
WMT,2025-02-05,morning,221
WMT,2025-02-05,midday,156
WMT,2025-05-07,morning,320
WMT,2025-05-07,midday,186
WMT,2025-08-06,morning,520
WMT,2025-08-06,midday,193
WMT,2025-11-05,morning,249
WMT,2025-11-05,midday,142
WMT,2026-04-01,morning,525
WMT,2026-04-01,midday,247
COST,2024-11-06,morning,40
COST,2024-11-06,midday,19
COST,2025-02-05,morning,16
COST,2025-02-05,midday,4
COST,2025-05-07,morning,11
COST,2025-05-07,midday,5
COST,2025-08-06,morning,17
COST,2025-08-06,midday,6
COST,2025-11-05,morning,62
COST,2025-11-05,midday,23
COST,2026-04-01,morning,24
COST,2026-04-01,midday,5
HD,2024-11-06,morning,207
HD,2024-11-06,midday,23
HD,2025-02-05,morning,26
HD,2025-02-05,midday,33
HD,2025-05-07,morning,26
HD,2025-05-07,midday,16
HD,2025-08-06,morning,15
HD,2025-08-06,midday,10
HD,2025-11-05,morning,44
HD,2025-11-05,midday,45
HD,2026-04-01,morning,95
HD,2026-04-01,midday,18
DIS,2024-11-06,morning,971
DIS,2024-11-06,midday,473
DIS,2025-02-05,morning,232
DIS,2025-02-05,midday,84
DIS,2025-05-07,morning,322
DIS,2025-05-07,midday,48
DIS,2025-08-06,morning,440
DIS,2025-08-06,midday,71
DIS,2025-11-05,morning,71
DIS,2025-11-05,midday,46
DIS,2026-04-01,morning,341
DIS,2026-04-01,midday,158
UBER,2024-11-06,morning,892
UBER,2024-11-06,midday,233
UBER,2025-02-05,morning,390
UBER,2025-02-05,midday,240
UBER,2025-05-07,morning,1270
UBER,2025-05-07,midday,465
UBER,2025-08-06,morning,316
UBER,2025-08-06,midday,238
UBER,2025-11-05,morning,219
UBER,2025-11-05,midday,169
UBER,2026-04-01,morning,412
UBER,2026-04-01,midday,123
PLTR,2024-11-06,morning,3422
PLTR,2024-11-06,midday,836
PLTR,2025-02-05,morning,1315
PLTR,2025-02-05,midday,955
PLTR,2025-05-07,morning,2758
PLTR,2025-05-07,midday,501
PLTR,2025-08-06,morning,2102
PLTR,2025-08-06,midday,312
PLTR,2025-11-05,morning,1935
PLTR,2025-11-05,midday,550
PLTR,2026-04-01,morning,1902
PLTR,2026-04-01,midday,636
