date,entry,limit,stop,outcome,return,distance_bp,spread_bp,config
2025-05-07,481.85,481.95,481.75000000000006,target,0.00020753346477109247,2.0753346477112355,0.8302027770290543,t2_h1_s1
2025-05-07,479.67,479.77,479.57000000000005,stop,-0.0003084558133716886,2.084766610377257,0.41697070780832846,t2_h1_s1
2025-05-07,482.39,482.49,482.28999999999996,target,0.00020730114637546038,2.073011463753866,0.6219421179198825,t2_h1_s1
2025-05-07,484.77,484.87,484.66999999999996,stop,-0.000326889040163314,2.06283392124147,1.0315233536872803,t2_h1_s1
2025-05-07,485.11,485.21,485.01000000000005,stop,-0.0003061181999959306,2.0613881387719464,0.8246232502528983,t2_h1_s1
2025-05-07,484.78,484.88,484.67999999999995,stop,-0.0003268843599157911,2.06279136928138,0.6188757091285524,t2_h1_s1
2025-05-08,486.54,486.64,486.44000000000005,stop,-0.0003055123936366311,2.05532946931323,0.6166368625515339,t2_h1_s1
2025-05-08,485.28,485.38,485.17999999999995,target,0.00020606660072530758,2.0606660072540133,0.4121501875276046,t2_h1_s1
2025-05-08,487.68,487.78,487.58000000000004,target,0.00020505249343827359,2.0505249343825027,1.0253675942828444,t2_h1_s1
2025-05-08,488.25,488.35,488.15,target,0.00020481310803899255,2.0481310803896107,0.20481730296451062,t2_h1_s1
2025-05-08,489.27,489.37,489.16999999999996,target,0.00020438612626971775,2.043861262697953,0.40878896269802567,t2_h1_s1
2025-05-08,489.03,489.13,488.92999999999995,target,0.00020448643232517938,2.044864323252617,0.6134969325155559,t2_h1_s1
2025-05-08,489.82,489.92,489.71999999999997,target,0.00020415662896589026,2.0415662896578897,0.6125074011298359,t2_h1_s1
2025-05-08,490.32,490.42,490.21999999999997,target,0.00020394844183391214,2.0394844183395078,0.40791352233338074,t2_h1_s1
2025-05-08,491.1,491.2,491.00000000000006,target,0.000203624516391665,2.0362451639170414,0.6109108681040532,t2_h1_s1
2025-05-08,491.54,491.64,491.44000000000005,stop,-0.00032376408837542225,2.0344224274721467,0.4069010416674068,t2_h1_s1
2025-05-08,491.8,491.9,491.70000000000005,stop,-0.00030331435542907403,2.033346888978566,0.6100412794607379,t2_h1_s1
2025-05-08,491.37,491.47,491.27,target,0.00020351262795870184,2.035126279586111,0.6105751618035171,t2_h1_s1
2025-05-08,491.92,492.02,491.82000000000005,stop,-0.0003032647584972903,2.032850870059479,0.6098924556319218,t2_h1_s1
2025-05-08,491.79,491.89,491.69000000000005,target,0.00020333882348144705,2.03338823481498,0.4066941863078988,t2_h1_s1
2025-05-08,492.36,492.46,492.26000000000005,stop,-0.0003030831099195552,2.0310342026152792,0.4062233415935701,t2_h1_s1
2025-05-09,491.07,491.17,490.96999999999997,target,0.0002036369560347584,2.036369560348275,0.6109481915927972,t2_h1_s1
2025-05-09,488.5,488.6,488.4,target,0.00020470829068575114,2.047082906858193,0.4094333442505871,t2_h1_s1
2025-05-09,488.99,489.09,488.89000000000004,target,0.00020450315957365461,2.0450315957374565,0.613547120420499,t2_h1_s1
2025-05-12,504.94,505.05,504.83,stop,-0.0003178258803026024,2.1784766506914415,0.594165296785576,t2_h1_s1
2025-05-12,504.26,504.37,504.15,target,0.0002181414349740063,2.181414349740484,0.1983143282102695,t2_h1_s1
2025-05-12,505.64,505.75,505.53,target,0.00021754608021518074,2.1754608021519983,0.197773075172325,t2_h1_s1
2025-05-12,506.83,506.94,506.71999999999997,target,0.0002170352978316803,2.17035297831647,0.5919494869766062,t2_h1_s1
2025-05-12,507.22,507.33,507.11000000000007,target,0.00021686842001500395,2.1686842001489848,0.1971569961178865,t2_h1_s1
2025-05-12,506.11,506.22,506.0,stop,-0.0003173223212344922,2.1734405564010517,0.39518662688475814,t2_h1_s1
2025-05-13,511.77,511.88,511.65999999999997,stop,-0.0003344568849287244,2.149403052152601,0.3908158280396812,t2_h1_s1
2025-05-13,513.15,513.26,513.04,target,0.00021436227224014281,2.1436227224011235,0.1948785906380479,t2_h1_s1
2025-05-13,513.99,514.1,513.88,stop,-0.00031399054456304754,2.140119457577261,0.19456009961560383,t2_h1_s1
2025-05-13,514.79,514.9,514.68,stop,-0.00031365799646465575,2.136793644010444,0.19425774117065586,t2_h1_s1
2025-05-13,514.17,514.28,514.06,target,0.00021393702471939058,2.139370247194773,0.38899153943283693,t2_h1_s1
2025-05-13,514.56,514.67,514.4499999999999,stop,-0.00033318563432804815,2.137748756219171,0.19434457292799578,t2_h1_s1
2025-05-13,515.08,515.19,514.97,stop,-0.00031353770288122806,2.13559058787011,0.19414836818221204,t2_h1_s1
2025-05-13,515.61,515.72,515.5,stop,-0.0003133182056206385,2.1333953957451106,0.19394879751777339,t2_h1_s1
2025-05-13,516.06,516.17,515.9499999999999,stop,-0.0003325078479244903,2.131535092818929,0.1937796725126617,t2_h1_s1
2025-05-13,516.22,516.33,516.11,stop,-0.00031306613459380905,2.130874433381381,0.19371961023528783,t2_h1_s1
2025-05-13,516.03,516.14,515.92,stop,-0.00031314458461728645,2.131659012073206,0.3875893878024783,t2_h1_s1
2025-05-13,516.33,516.44,516.22,stop,-0.0003130207425483533,2.1304204675307195,0.19367833901329234,t2_h1_s1
2025-05-13,516.7,516.81,516.5900000000001,stop,-0.0003128682020514528,2.1288949100038694,0.38708678485877,t2_h1_s1
2025-05-13,516.7,516.81,516.5900000000001,stop,-0.0003128682020514528,2.1288949100038694,0.19353964659574174,t2_h1_s1
2025-05-13,516.0,516.11,515.89,stop,-0.00031315697674427767,2.1317829457366986,0.19380220546816318,t2_h1_s1
2025-05-14,516.95,517.06,516.8400000000001,target,0.0002127865364152104,2.1278653641532053,0.1934460478980604,t2_h1_s1
2025-05-14,517.35,517.46,517.24,stop,-0.000312600753841763,2.126220160433239,0.38660042912530557,t2_h1_s1
2025-05-14,517.47,517.58,517.36,stop,-0.0003125514522581696,2.1257270952908116,0.3865107739864371,t2_h1_s1
2025-05-14,517.99,518.1,517.88,stop,-0.0003123380760245986,2.123593119558556,0.3861227484214247,t2_h1_s1
2025-05-14,517.11,517.22,517.0,stop,-0.00031269942565415043,2.1272069772391493,0.38677986424096034,t2_h1_s1
2025-05-14,519.02,519.13,518.91,target,0.00021193788293327742,2.119378829332466,0.1926745149427589,t2_h1_s1
2025-05-14,516.29,516.4,516.18,target,0.0002130585523640871,2.1305855236400792,0.3873941929599667,t2_h1_s1
2025-05-14,516.72,516.83,516.61,target,0.00021288125096763366,2.1288125096766843,0.3870718018195163,t2_h1_s1
2025-05-14,518.55,518.66,518.4399999999999,stop,-0.00033139137980897626,2.1212997782280136,0.19284915339312647,t2_h1_s1
2025-05-14,517.99,518.1,517.88,target,0.00021235931195584534,2.123593119558556,0.3861227484214247,t2_h1_s1
2025-05-15,518.07,518.18,517.9600000000002,target,0.00021232651958214,2.123265195821027,0.19302783461627726,t2_h1_s1
2025-05-15,519.16,519.27,519.05,target,0.00021188073041078503,2.118807304106897,0.19262255610108525,t2_h1_s1
2025-05-15,519.09,519.2,518.98,stop,-0.0003118881118882033,2.1190930281842,0.3853044868695754,t2_h1_s1
2025-05-15,519.41,519.52,519.3,stop,-0.00031175757109025426,2.117787489651983,0.38506709794106087,t2_h1_s1
