variant,K,M,breadth,execution,state,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K1_M3_quintile_actionable_oc_high_noise,1,3,quintile,actionable_oc,high_noise,0.013446249987948446,0.12793767828685493,0.06396883914342746,0.06067378567903674,267,True,1051,279,0.0007470138882193585,9,0.0009830973250872367,8,-0.0010078396112451536,7
K6_M1_quintile_actionable_oc_all,6,1,quintile,actionable_oc,all,-0.01278249081697927,-0.04975667892946388,-0.02487833946473194,0.0730826292568231,542,True,2569,367,-0.0007101383787210697,9,0.0009656314592152187,6,0.0030759333721101473,3
K3_M1_decile_source_cc_high_market_vol,3,1,decile,source_cc,high_market_vol,0.012622110791596971,0.11269741778211591,0.056348708891057954,0.030062729892891542,288,True,1120,112,0.0007012283773109426,5,0.0008414740527731307,5,-0.0011527018507837019,4
K2_M1_quintile_actionable_oc_high_noise,2,1,quintile,actionable_oc,high_noise,-0.00316562745357911,-0.02657957559680207,-0.013289787798401035,0.038725722144173906,319,True,1191,279,-0.00017586819186550683,11,0.0008250027724649553,10,-0.0007089802636874462,9
K6_M3_quintile_source_cc_all,6,3,quintile,source_cc,all,-0.06001190314813777,-0.32704034413154115,-0.16352017206577057,0.15765796770037452,540,True,1835,367,-0.003333994619340989,10,0.0007606172974166469,7,0.003333987301648132,5
K6_M1_decile_actionable_oc_all,6,1,decile,actionable_oc,all,-0.03598837911331621,-0.14008711215771205,-0.07004355607885603,0.10012517535797613,542,True,2569,367,-0.001999354395184234,10,0.0007513194837746493,7,0.000578228816176328,5
K3_M6_decile_source_cc_high_noise,3,6,decile,source_cc,high_noise,0.007244216177880812,0.13904445638926663,0.06952222819463331,0.10204728117506304,408,True,521,222,0.000402456454326711,9,0.0007345781421404763,8,0.0017272003421719567,6
K2_M1_quintile_source_cc_high_market_vol,2,1,quintile,source_cc,high_market_vol,0.010142846017013152,0.0823282955926393,0.04116414779631965,0.037597924415346484,356,True,1232,112,0.0005634914453896196,4,0.000676189734467544,4,-0.001930399947203997,3
K6_M3_quintile_actionable_oc_all,6,3,quintile,actionable_oc,all,-0.0630125211675436,-0.343392485926668,-0.171696242963334,0.1600715365423148,540,True,1835,367,-0.003500695620419089,10,0.0006424448451505739,7,0.0032702847079080027,5
K3_M6_decile_actionable_oc_high_noise,3,6,decile,actionable_oc,high_noise,0.005460865195285179,0.104815070926779,0.0524075354633895,0.10358248640528393,408,True,521,222,0.0003033813997380655,9,0.0006420008571125276,8,0.0016853624080881927,6
K4_M6_decile_source_cc_high_market_vol,4,6,decile,source_cc,high_market_vol,0.00909246699802294,0.20295685263444044,0.10147842631722022,0.059667302663254665,323,True,448,112,0.0005051370554457192,5,0.0006061644665348626,5,0.0015765273229191032,3
K6_M3_quintile_source_cc_high_noise,6,3,quintile,source_cc,high_noise,0.0007013053520091381,0.013035415464853707,0.006517707732426854,0.0519778008670883,416,True,538,246,3.896140844495145e-05,7,0.0005580345100196694,6,0.002336872061827484,4
K4_M1_quintile_source_cc_high_noise,4,1,quintile,source_cc,high_noise,0.016921907517865355,0.17284890212324164,0.08642445106162082,0.02633013418735812,365,True,979,273,0.0009401059732147423,8,0.0005127849486549558,8,-0.0009925631867565541,7
K6_M3_quintile_actionable_oc_high_noise,6,3,quintile,actionable_oc,high_noise,-0.000916254273472859,-0.017030748577562854,-0.008515374288781427,0.053049561724606,416,True,538,246,-5.090301519293699e-05,7,0.00046993098600370254,6,0.0023566702973045386,4
K3_M1_decile_actionable_oc_high_market_vol,3,1,decile,actionable_oc,high_market_vol,0.006875106281527491,0.06138487751363841,0.030692438756819203,0.03225139393370665,345,True,1120,112,0.0003819503489737497,5,0.00045834041876849965,5,-0.0014799771351928336,4
K4_M3_quintile_source_cc_high_market_vol,4,3,quintile,source_cc,high_market_vol,0.005960008765601451,0.07602051996940609,0.038010259984703046,0.040653743495312755,97,True,784,112,0.00033111159808896923,6,0.00039733391770676283,6,0.0013288894786070142,4
K4_M6_decile_actionable_oc_high_market_vol,4,6,decile,actionable_oc,high_market_vol,0.005796677553965061,0.12939012397243402,0.06469506198621701,0.05916244459203935,323,True,448,112,0.00032203764188694687,5,0.000386445170264336,5,0.0013623342872034821,3
K4_M1_decile_source_cc_high_noise,4,1,decile,source_cc,high_noise,0.007635755083091746,0.0779954553941956,0.0389977276970978,0.04494485040755807,382,True,979,273,0.00042420861572731975,9,0.0003063527152028908,9,0.0006797501465475787,8
K4_M1_quintile_actionable_oc_high_noise,4,1,quintile,actionable_oc,high_noise,0.012257747340566238,0.12520681655328134,0.06260340827664067,0.02763772953097483,365,True,979,273,0.000680985963364791,8,0.00024695676823546824,8,-0.001170685024142709,7
K3_M1_quintile_source_cc_high_noise,3,1,quintile,source_cc,high_noise,0.0006582933186526137,0.006033852599932338,0.003016926299966169,0.040120622127363836,307,True,1091,277,3.6571851036256704e-05,11,0.00020816432755311047,10,-0.0013450223020990918,9
K6_M3_decile_source_cc_all,6,3,decile,source_cc,all,-0.07329090299110397,-0.3994054658915747,-0.19970273294578736,0.1814474075570614,540,True,1835,367,-0.004071716832839111,8,0.00017601860889364732,6,0.0013967295462142938,5
K4_M3_quintile_actionable_oc_high_market_vol,4,3,quintile,actionable_oc,high_market_vol,0.0019689105920391824,0.02511365551070381,0.012556827755351906,0.041066198999113644,271,True,784,112,0.00010938392177995496,6,0.0001312607061359455,6,0.0011510596134611537,4
K2_M1_quintile_actionable_oc_high_market_vol,2,1,quintile,actionable_oc,high_market_vol,0.0018312554427960294,0.014864086386331436,0.007432043193165718,0.03983200647471621,356,True,1232,112,0.00010173641348866811,5,0.00012208369618640173,5,-0.002402718936467574,4
