predictor,condition,n,mean_cycle,median_cycle,win_rate,worst_cycle,best_cycle,additive_contribution
SPY_gap,le_-0.02,5,0.1011102197854471,0.10478002590008595,0.8,-0.013529682659518143,0.296185188251711,0.5055510989272355
SPY_open_to_0940,le_0,143,0.013917668264402975,0.011033235063301138,0.5734265734265734,-0.2864388118083925,0.296185188251711,1.9902265618096253
SPY_open_to_0940,le_-0.0025,30,0.028063697906387495,0.01126378773490018,0.5666666666666667,-0.10689739517756544,0.296185188251711,0.8419109371916248
SPY_open_to_0940,le_-0.005,5,0.0875420510778693,0.012640897432408298,0.6,-0.02671157888594329,0.296185188251711,0.43771025538934655
SPY_open_to_0940,le_-0.01,0,,,,,,0.0
SPY_open_to_0940,le_-0.015,0,,,,,,0.0
SPY_open_to_0940,le_-0.02,0,,,,,,0.0
SPY_prior_close_to_0940,le_0,135,0.01846882790889731,0.010176686552368853,0.5777777777777777,-0.16250104789218298,0.296185188251711,2.4932917677011366
SPY_prior_close_to_0940,le_-0.0025,80,0.020313451877202533,0.010341097116369697,0.6125,-0.16250104789218298,0.296185188251711,1.6250761501762025
SPY_prior_close_to_0940,le_-0.005,56,0.025656109479448654,0.010115140441427582,0.625,-0.1492385190143133,0.296185188251711,1.4367421308491246
SPY_prior_close_to_0940,le_-0.01,28,0.049189685043512024,0.029073968548099988,0.7142857142857143,-0.1492385190143133,0.296185188251711,1.3773111812183367
SPY_prior_close_to_0940,le_-0.015,8,0.07650510105912414,0.04692440605667464,0.875,-0.013529682659518143,0.296185188251711,0.6120408084729931
SPY_prior_close_to_0940,le_-0.02,3,0.13037811836386345,0.10847884949939747,0.6666666666666666,-0.013529682659518143,0.296185188251711,0.39113435509159034
SPY_prior_week,le_0,127,0.015729205588328826,0.012640897432408298,0.5669291338582677,-0.2864388118083925,0.296185188251711,1.9976091097177608
SPY_prior_week,le_-0.0025,111,0.015249041307835453,0.011421078886535391,0.5675675675675675,-0.2864388118083925,0.296185188251711,1.6926435851697352
SPY_prior_week,le_-0.005,98,0.011794786996610422,0.010410494865235261,0.5510204081632653,-0.2864388118083925,0.296185188251711,1.1558891256678214
SPY_prior_week,le_-0.01,77,0.015599077557337047,0.010559554932294036,0.5714285714285714,-0.2864388118083925,0.296185188251711,1.2011289719149527
SPY_prior_week,le_-0.015,61,0.011810086322843577,0.010176686552368853,0.5573770491803278,-0.2864388118083925,0.296185188251711,0.7204152656934583
SPY_prior_week,le_-0.02,44,0.01241357595840427,0.008745389389272008,0.5454545454545454,-0.14928606249801282,0.296185188251711,0.5461973421697879
constituent_gap_median,le_0,155,0.019888189423555493,0.012639112627752542,0.6193548387096774,-0.16250104789218298,0.296185188251711,3.0826693606511015
constituent_gap_median,le_-0.0025,98,0.022187873866720834,0.013910160016322531,0.6530612244897959,-0.16250104789218298,0.296185188251711,2.1744116389386416
constituent_gap_median,le_-0.005,57,0.022373752733936072,0.010559554932294036,0.6666666666666666,-0.16250104789218298,0.296185188251711,1.275303905834356
constituent_gap_median,le_-0.01,26,0.03544931832166277,0.010341097116369697,0.6538461538461539,-0.11628000123818427,0.296185188251711,0.9216822763632321
constituent_gap_median,le_-0.015,7,0.05853322690671078,0.04661555283575425,0.5714285714285714,-0.10689739517756544,0.296185188251711,0.40973258834697546
constituent_gap_median,le_-0.02,4,0.10943747698183615,0.07754720116757585,0.75,-0.013529682659518143,0.296185188251711,0.4377499079273446
constituent_gap_positive_fraction,le_0.3,106,0.019343635973181842,0.01252609468643174,0.6415094339622641,-0.16250104789218298,0.296185188251711,2.0504254131572752
constituent_gap_positive_fraction,le_0.4,122,0.018546381679299718,0.012525202284103861,0.6311475409836066,-0.16250104789218298,0.296185188251711,2.2626585648745654
constituent_gap_positive_fraction,le_0.5,156,0.019724458530266067,0.012525202284103861,0.6153846153846154,-0.16250104789218298,0.296185188251711,3.0770155307215066
