variant,filter,additional_slippage_bps_per_side,trade_count,attrition_vs_q60,full_net_simple_return,average_month_18m,median_month_18m,positive_months_18m,negative_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved,win_rate,top_5_day_profit_share,soxl_net,soxs_net
q60_vol_low50_slip10,q60_vol_low50,10,38,0.6481481481481481,0.12875817915614007,0.007153232175341116,0.0,7,7,4,0.1931631115337071,,True,0.5526315789473685,2.5427262958880306,0.14977614332118905,-0.021017964165048975
q60_vol_high67_slip2,q60_vol_high67,2,50,0.537037037037037,0.8720921325167008,0.04844956291759448,0.003219972640218982,9,5,4,0.14089721646221645,7.0,False,0.62,0.6362376929808886,0.559588915144722,0.31250321737197884
q60_vol_high67_slip5,q60_vol_high67,5,50,0.537037037037037,0.8420921325167007,0.04678289625092782,0.0029199726402189823,9,5,4,0.14628112387003206,7.0,False,0.62,0.6553414586714055,0.5451889151447219,0.2969032173719788
q60_vol_high67_slip10,q60_vol_high67,10,50,0.537037037037037,0.7920921325167006,0.044005118473150036,0.0024199726402189823,9,5,4,0.1552821160996649,7.0,False,0.62,0.69039681624117,0.5211889151447219,0.27090321737197876
q60_volume_high50_slip2,q60_volume_high50,2,68,0.37037037037037035,1.0177420577497671,0.05654122543054263,0.025473368907025788,12,4,2,0.06085525077188944,20.0,False,0.6176470588235294,0.5082410344515739,0.5719159372931024,0.44582612045666475
q60_volume_high50_slip5,q60_volume_high50,5,68,0.37037037037037035,0.9769420577497671,0.05427455876387595,0.023973368907025783,11,5,2,0.06230658155522878,20.0,False,0.6176470588235294,0.526395882085503,0.5521159372931024,0.4248261204566647
q60_volume_high50_slip10,q60_volume_high50,10,68,0.37037037037037035,0.908942057749767,0.050496780986098166,0.02147336890702578,11,5,2,0.06544924908001441,9.0,False,0.6176470588235294,0.5602758414506269,0.5191159372931023,0.38982612045666465
q60_volume_high67_slip2,q60_volume_high67,2,52,0.5185185185185186,0.7477225675877958,0.041540142643766424,0.029289797616105655,12,4,2,0.06772445831334671,20.0,False,0.6538461538461539,0.5776495289142074,0.48211505207522004,0.2656075155125756
q60_volume_high67_slip5,q60_volume_high67,5,52,0.5185185185185186,0.7165225675877955,0.03980680931043309,0.02748979761610565,11,5,2,0.0691933562981999,20.0,False,0.6538461538461539,0.5986156030920213,0.4665150520752199,0.2500075155125756
q60_volume_high67_slip10,q60_volume_high67,10,52,0.5185185185185186,0.6645225675877955,0.036917920421544195,0.024489797616105646,11,5,2,0.0717462186726706,20.0,False,0.6538461538461539,0.6379340741796614,0.4405150520752199,0.22400751551257558
q60_qqq_same_slip2,q60_qqq_same,2,106,0.01851851851851849,1.2017479939710403,0.0667637774428356,0.03380134141983726,13,5,0,0.17008419577626058,,True,0.5943396226415094,0.4786109101829051,0.849178163094589,0.3525698308764514
q60_qqq_same_slip5,q60_qqq_same,5,106,0.01851851851851849,1.1381479939710406,0.06323044410950224,0.03164078099545864,12,6,0,0.17649303766501884,,True,0.5943396226415094,0.5027199487552041,0.8221781630945888,0.3159698308764515
q60_qqq_same_slip10,q60_qqq_same,10,106,0.01851851851851849,1.0321479939710403,0.05734155522061335,0.028140780995458636,12,6,0,0.1878612638742646,,True,0.5943396226415094,0.5495042421415328,0.7771781630945888,0.2549698308764514
q60_qqq_opposite_slip2,q60_qqq_opposite,2,2,0.9814814814814815,-0.055767825953730615,-0.003098212552985034,0.0,0,2,16,0.05184405537166133,,True,0.0,,0.0,-0.055767825953730615
q60_qqq_opposite_slip5,q60_qqq_opposite,5,2,0.9814814814814815,-0.05696782595373062,-0.003164879219651701,0.0,0,2,16,0.05247816642454606,,True,0.0,,0.0,-0.05696782595373062
q60_qqq_opposite_slip10,q60_qqq_opposite,10,2,0.9814814814814815,-0.058967825953730624,-0.0032759903307628124,0.0,0,2,16,0.05353671890144552,,True,0.0,,0.0,-0.058967825953730624
q60_day_extension_slip2,q60_day_extension,2,47,0.5648148148148149,0.632918739219724,0.03516215217887354,0.005061501011744508,9,8,1,0.08176178029463156,,True,0.5319148936170213,0.9038500624036587,0.2617259479966651,0.37119279122305854
q60_day_extension_slip5,q60_day_extension,5,47,0.5648148148148149,0.6047187392197236,0.03359548551220687,0.004161501011744507,9,8,1,0.08438218014744013,,True,0.5319148936170213,0.9410385440915271,0.2491259479966651,0.35559279122305854
q60_day_extension_slip10,q60_day_extension,10,47,0.5648148148148149,0.5577187392197236,0.030984374401095756,0.0026615010117445074,9,8,1,0.0889262919403868,,True,0.5319148936170213,1.011376527762624,0.22812594799666508,0.3295927912230585
q60_day_reversal_slip2,q60_day_reversal,2,61,0.43518518518518523,0.5130614287975861,0.028503412710977005,0.023316339393453036,13,5,0,0.19278790236549737,,True,0.6229508196721312,0.7809988272292813,0.5874522150979238,-0.07439078630033764
q60_day_reversal_slip5,q60_day_reversal,5,61,0.43518518518518523,0.476461428797586,0.026470079377643667,0.022116339393453033,13,5,0,0.19831187076292442,,True,0.6229508196721312,0.834695843462385,0.5730522150979237,-0.09659078630033768
q60_day_reversal_slip10,q60_day_reversal,10,61,0.43518518518518523,0.41546142879758596,0.023081190488754774,0.02011633939345303,13,5,0,0.20800954780034397,,True,0.6229508196721312,0.9452149994381763,0.5490522150979237,-0.13359078630033772
q60_prior5_same_slip2,q60_prior5_same,2,67,0.37962962962962965,0.36364810457489977,0.020202672476383323,0.02983402957411171,13,5,0,0.24034239873910596,,True,0.5671641791044776,1.1018904516384267,0.484543760818958,-0.12089565624405817
q60_prior5_same_slip5,q60_prior5_same,5,67,0.37962962962962965,0.3234481045748997,0.017969339143049982,0.027134029574111707,12,6,0,0.24815687294234307,,True,0.5671641791044776,1.2295647077919423,0.4683437608189579,-0.1448956562440582
q60_prior5_same_slip10,q60_prior5_same,10,67,0.37962962962962965,0.25644810457489964,0.014247116920827758,0.022634029574111703,12,6,0,0.2619654879946913,,True,0.5671641791044776,1.5313054266415915,0.4413437608189579,-0.18489565624405824
q60_prior5_opposite_slip2,q60_prior5_opposite,2,41,0.6203703703703703,0.78233206344241,0.04346289241346722,0.02954751898958887,12,5,1,0.1932901029512373,32.0,False,0.6097560975609756,0.7312286798306638,0.36463440227563093,0.41769766116677903
q60_prior5_opposite_slip5,q60_prior5_opposite,5,41,0.6203703703703703,0.75773206344241,0.04209622574680055,0.02834751898958887,12,5,1,0.19745038812078358,32.0,False,0.6097560975609756,0.7510090563607821,0.3538344022756309,0.40389766116677905
q60_prior5_opposite_slip10,q60_prior5_opposite,10,41,0.6203703703703703,0.7167320634424099,0.03981844796902277,0.02634751898958887,11,6,1,0.20439490095450946,33.0,False,0.6097560975609756,0.7869937326802955,0.3358344022756309,0.38089766116677903
q60_smh_above_sma20_slip2,q60_smh_above_sma20,2,61,0.43518518518518523,0.22655859765108055,0.012586588758393366,0.008267079275271316,9,6,3,0.2687830945440612,,True,0.5573770491803278,1.867302707085304,0.47419774351504185,-0.24763914586396135
q60_smh_above_sma20_slip5,q60_smh_above_sma20,5,61,0.43518518518518523,0.18995859765108047,0.010553255425060026,0.006767079275271315,9,6,3,0.2776970192953147,,True,0.5573770491803278,2.211289659438711,0.46099774351504186,-0.2710391458639614
q60_smh_above_sma20_slip10,q60_smh_above_sma20,10,61,0.43518518518518523,0.12895859765108042,0.0071643665361711345,0.004267079275271313,9,6,3,0.29341323948778597,,True,0.5573770491803278,3.218501831342112,0.43899774351504184,-0.3100391458639614
q60_smh_below_sma20_slip2,q60_smh_below_sma20,2,47,0.5648148148148149,0.9194215703662295,0.051078976131457184,0.0,8,4,6,0.14134277111809646,7.0,False,0.6170212765957447,0.5824774272605462,0.3749804195795469,0.5444411507866823
q60_smh_below_sma20_slip5,q60_smh_below_sma20,5,47,0.5648148148148149,0.8912215703662292,0.04951230946479051,0.0,8,4,6,0.14633123163995063,7.0,False,0.6170212765957447,0.597541990210061,0.36118041957954694,0.5300411507866822
q60_smh_below_sma20_slip10,q60_smh_below_sma20,10,47,0.5648148148148149,0.8442215703662291,0.046901198353679396,0.0,8,4,6,0.1547320164716263,7.0,False,0.6170212765957447,0.6248860836923665,0.3381804195795469,0.5060411507866822
q60_qqq_above_sma20_slip2,q60_qqq_above_sma20,2,51,0.5277777777777778,0.3826205054292587,0.021256694746069924,0.008267079275271316,9,5,4,0.12050213499583669,,True,0.5882352941176471,0.9931333342571282,0.33371672159943094,0.048903783829827685
q60_qqq_above_sma20_slip5,q60_qqq_above_sma20,5,51,0.5277777777777778,0.35202050542925856,0.01955669474606992,0.006767079275271315,9,5,4,0.12532211126291048,,True,0.5882352941176471,1.0709409608181681,0.3223167215994309,0.029703783829827635
q60_qqq_above_sma20_slip10,q60_qqq_above_sma20,10,51,0.5277777777777778,0.3010205054292585,0.016723361412736584,0.004267079275271313,9,5,4,0.13376513745431043,,True,0.5882352941176471,1.2357735489867743,0.3033167215994309,-0.0022962161701723938
q60_qqq_below_sma20_slip2,q60_qqq_below_sma20,2,57,0.4722222222222222,0.763359662588051,0.04240887014378062,0.0,8,7,3,0.1397756336003929,52.0,False,0.5789473684210527,0.7268629895612385,0.515461441495158,0.24789822109289317
q60_qqq_below_sma20_slip5,q60_qqq_below_sma20,5,57,0.4722222222222222,0.7291596625880511,0.040508870143780615,0.0,8,7,3,0.14222957897637775,52.0,False,0.5789473684210527,0.7568409427648068,0.4998614414951579,0.22929822109289322
q60_qqq_below_sma20_slip10,q60_qqq_below_sma20,10,57,0.4722222222222222,0.672159662588051,0.03734220347711395,0.0,8,7,3,0.14876993026887111,7.0,False,0.5789473684210527,0.813583314942783,0.47386144149515785,0.1982982210928932
q60_edge20_vol_high50_slip2,q60_edge20_vol_high50,2,63,0.41666666666666663,0.8511330052157251,0.04728516695642916,0.01255332104074252,9,7,2,0.13485811513171883,,True,0.6031746031746031,0.6519050290131526,0.5134584625045612,0.3376745427111639
q60_edge20_vol_high50_slip5,q60_edge20_vol_high50,5,63,0.41666666666666663,0.8133330052157252,0.045185166956429164,0.011653321040742515,9,7,2,0.1385129724833939,,True,0.6031746031746031,0.6785140685552734,0.496658462504561,0.3166745427111639
q60_edge20_vol_high50_slip10,q60_edge20_vol_high50,10,63,0.41666666666666663,0.7503330052157249,0.04168516695642916,0.010153321040742513,9,7,2,0.14488056933607454,,True,0.6031746031746031,0.7288202473540191,0.468658462504561,0.2816745427111639
q60_edge20_qqq_same_slip2,q60_edge20_qqq_same,2,96,0.11111111111111116,1.0140916861931708,0.056338427010731724,0.025900656156945156,13,5,0,0.1839507673239313,,True,0.59375,0.567177217835309,0.6210576560248764,0.3930340301682949
q60_edge20_qqq_same_slip5,q60_edge20_qqq_same,5,96,0.11111111111111116,0.9564916861931709,0.05313842701073171,0.023800656156945155,12,6,0,0.19073386324931807,,True,0.59375,0.5981962096107606,0.598257656024876,0.3582340301682949
q60_edge20_qqq_same_slip10,q60_edge20_qqq_same,10,96,0.11111111111111116,0.8604916861931708,0.04780509367739838,0.02030065615694515,12,6,0,0.20274006999587812,,True,0.59375,0.6591228135092483,0.560257656024876,0.30023403016829486
q60_edge20_day_extension_slip2,q60_edge20_day_extension,2,43,0.6018518518518519,0.46964151299476425,0.0260911951663758,0.000821196709989383,9,8,1,0.09810586670237181,,True,0.5116279069767442,1.1738310472070252,0.11943909610325645,0.3502024168915079
q60_edge20_day_extension_slip5,q60_edge20_day_extension,5,43,0.6018518518518519,0.44384151299476426,0.024657861833042458,0.00022119670998937968,9,8,1,0.1028190993309334,,True,0.5116279069767442,1.2353053352560188,0.1086390961032564,0.33520241689150787
q60_edge20_day_extension_slip10,q60_edge20_day_extension,10,43,0.6018518518518519,0.4008415129947642,0.02226897294415357,-0.0007788032900106212,8,9,1,0.11094649100511403,,True,0.5116279069767442,1.355348114898549,0.09063909610325638,0.31020241689150785
q67_volume_high50_slip2,q67_volume_high50,2,66,0.38888888888888884,0.9433081026055951,0.05240600570031084,0.025473368907025788,12,4,2,0.06085525077188944,20.0,False,0.6060606060606061,0.5483449943945674,0.5375444098945952,0.4057636927109999
q67_volume_high50_slip5,q67_volume_high50,5,66,0.38888888888888884,0.903708102605595,0.050206005700310835,0.023973368907025783,11,5,2,0.06230658155522878,20.0,False,0.6060606060606061,0.5690535193309566,0.5183444098945952,0.3853636927109998
q67_volume_high50_slip10,q67_volume_high50,10,66,0.38888888888888884,0.8377081026055949,0.04653933903364416,0.02147336890702578,11,5,2,0.06544924908001441,9.0,False,0.6060606060606061,0.607918527529608,0.48634440989459515,0.35136369271099976
