variant,month,net_pnl
vol_high_marketable_nbbo_slip2,2026-02,0.064100323030222
vol_high_marketable_nbbo_slip2,2026-03,0.03937031458384538
vol_high_marketable_nbbo_slip2,2026-04,0.05265478722605196
vol_high_marketable_nbbo_slip5,2024-11,-0.039326365194785384
vol_high_marketable_nbbo_slip5,2024-12,-0.004366750210795687
vol_high_marketable_nbbo_slip5,2025-01,-0.023695546975820544
vol_high_marketable_nbbo_slip5,2025-02,0.0317589579721097
vol_high_marketable_nbbo_slip5,2025-03,-0.007865431988685834
vol_high_marketable_nbbo_slip5,2025-04,0.18126745856219773
vol_high_marketable_nbbo_slip5,2025-05,0.10256036906159272
vol_high_marketable_nbbo_slip5,2025-06,0.0
vol_high_marketable_nbbo_slip5,2025-07,0.0
vol_high_marketable_nbbo_slip5,2025-08,0.013945520871920136
vol_high_marketable_nbbo_slip5,2025-09,0.0062178477690287845
vol_high_marketable_nbbo_slip5,2025-10,0.1584298641443257
vol_high_marketable_nbbo_slip5,2025-11,0.10079892304401394
vol_high_marketable_nbbo_slip5,2025-12,-0.0066204560607217005
vol_high_marketable_nbbo_slip5,2026-01,0.0
vol_high_marketable_nbbo_slip5,2026-02,0.05870032303022199
vol_high_marketable_nbbo_slip5,2026-03,0.03397031458384536
vol_high_marketable_nbbo_slip5,2026-04,0.04605478722605194
