variant_id,expression,lookback,z_window,entry_z,min_corr,short_stop,cost2_net_simple_return,cost2_maximum_drawdown,cost2_positive_months,cost2_negative_months,cost2_inactive_months,cost2_recent12_positive_months,cost2_recent12_net,cost2_active_pair_days,cost2_short_stop_hits,cost2_top5_positive_day_share,cost2_2019_2021,cost2_2022_2023,cost2_2024_2026apr,cost2_worst_fold,cost10_net_simple_return,cost10_maximum_drawdown,cost10_positive_months,cost10_negative_months,cost10_inactive_months,cost10_recent12_positive_months,cost10_recent12_net,cost10_active_pair_days,cost10_short_stop_hits,cost10_top5_positive_day_share,cost10_2019_2021,cost10_2022_2023,cost10_2024_2026apr,cost10_worst_fold
pair_IWM_SPY__r1__zw63__z1__corr0.5__stop4,pair_IWM_SPY,1,63,1.0,0.5,0.04,-0.24196986735146275,0.2476104761163438,39,44,5,5,-0.04059104525080036,526,5,0.1214856305826746,-0.15120312438087136,-0.04862979282494273,-0.042136950145648666,-0.15120312438087136,-1.0835698673514629,1.0876104761163337,5,78,5,0,-0.16699104525080036,526,5,0.20178795589724555,-0.48880312438087137,-0.2918297928249427,-0.30293695014564864,-0.48880312438087137
pair_XLY_XLP__r1__zw63__z1__corr0.5__stop4,pair_XLY_XLP,1,63,1.0,0.5,0.04,-0.14970578810821694,0.1748539609969798,14,23,51,1,0.011077681281768682,207,4,0.15912139680907397,-0.10899165400274219,-0.05179181538724345,0.011077681281768682,-0.10899165400274219,-0.48090578810821694,0.49343417436062653,8,29,51,1,0.009477681281768681,207,4,0.2095009273763327,-0.33299165400274217,-0.15739181538724345,0.009477681281768681,-0.33299165400274217
pair_XLE_USO__r1__zw63__z1__corr0.5__stop4,pair_XLE_USO,1,63,1.0,0.5,0.04,0.015006002539933103,0.23608987274370583,40,42,6,7,0.0915606597472487,498,17,0.1401350393538192,-0.07163123776364835,-0.01773480594673589,0.10437204625031737,-0.07163123776364835,-0.781793997460067,0.8611459337442026,24,58,6,6,-0.022039340252751307,498,17,0.1728650139291474,-0.3452312377636484,-0.2609348059467359,-0.17562795374968265,-0.3452312377636484
pair_TLT_SHY__r1__zw63__z1__corr0.5__stop4,pair_TLT_SHY,1,63,1.0,0.5,0.04,-0.22363739137419852,0.24762500397214032,19,52,17,3,-0.01746125214818968,419,1,0.19316011854384596,-0.08389438873461778,-0.07147968616476813,-0.06826331647481264,-0.08389438873461778,-0.8940373913741986,0.8940401847218374,5,66,17,1,-0.11666125214818969,419,1,0.312337964749058,-0.2678943887346178,-0.31467968616476816,-0.3114633164748127,-0.31467968616476816
equal_active_pairs__r1__zw63__z1__corr0.5__stop4,equal_active_pairs,1,63,1.0,0.5,0.04,-0.4959475925569893,0.5131730348053346,28,56,4,5,-0.002299102161449301,2643,43,0.058578715713330815,-0.3653595883338148,-0.08010001978718415,-0.05048798443599031,-0.3653595883338148,-2.6815475925569894,2.6833690719497656,3,81,4,0,-0.3158991021614493,2643,43,0.09699960428690141,-1.1637595883338152,-0.7361000197871842,-0.7816879844359903,-1.1637595883338152
largest_dislocation_pair__r1__zw63__z1__corr0.5__stop4,largest_dislocation_pair,1,63,1.0,0.5,0.04,-0.6425713809266748,0.6760104483987218,30,54,4,6,-0.005020476972791196,1366,19,0.08682490052878493,-0.44259870366272486,-0.11747115561552637,-0.08250152164842346,-0.44259870366272486,-2.8281713809266753,2.828171380926634,3,81,4,0,-0.3186204769727912,1366,19,0.12973112505873877,-1.2409987036627248,-0.7734711556155265,-0.8137015216484235,-1.2409987036627248
pair_QQQ_SPY__r1__zw63__z1__corr0.7__stop2,pair_QQQ_SPY,1,63,1.0,0.7,0.02,-0.14876268829419076,0.16232122932631932,31,52,5,1,-0.035584525473205314,497,30,0.14219250808615438,-0.01936098427819114,-0.025461748076487968,-0.10393995593951166,-0.10393995593951166,-0.9439626882941908,0.9439626882941883,3,80,5,0,-0.1427845254732053,497,30,0.30813522452088826,-0.3009609842781912,-0.263861748076488,-0.37913995593951166,-0.37913995593951166
pair_SMH_XLK__r1__zw63__z1__corr0.7__stop2,pair_SMH_XLK,1,63,1.0,0.7,0.02,-0.08039753702248448,0.1818684950362124,37,46,5,6,0.035854843392816395,496,62,0.10164503082439028,-0.09026581063008275,-0.04109046993427823,0.05095874354187647,-0.09026581063008275,-0.8739975370224845,0.876970567184436,13,70,5,3,-0.08414515660718361,496,62,0.1520389083728706,-0.4134658106300827,-0.2538904699342783,-0.20664125645812353,-0.4134658106300827
pair_IWM_SPY__r1__zw63__z1__corr0.7__stop2,pair_IWM_SPY,1,63,1.0,0.7,0.02,-0.23969490016644074,0.2570582046561176,41,42,5,4,-0.03835236575639003,514,29,0.13449383491592234,-0.16879675951810963,-0.05927207558797093,-0.011626065060360138,-0.16879675951810963,-1.0620949001664406,1.0661355089313118,5,78,5,0,-0.16475236575639007,514,29,0.22298656364462538,-0.5031967595181097,-0.3024720755879709,-0.25642606506036014,-0.5031967595181097
pair_XLY_XLP__r1__zw63__z1__corr0.7__stop2,pair_XLY_XLP,1,63,1.0,0.7,0.02,-0.08720617808908997,0.11771408822318452,7,6,75,0,0.0,69,15,0.3865445499772659,-0.08161578263605956,-0.005590395453030401,0.0,-0.08161578263605956,-0.19760617808908998,0.20201572739883233,4,9,75,0,0.0,69,15,0.465993523796396,-0.1872157826360596,-0.010390395453030402,0.0,-0.1872157826360596
pair_XLE_USO__r1__zw63__z1__corr0.7__stop2,pair_XLE_USO,1,63,1.0,0.7,0.02,0.14189508223714478,0.08573713858871798,12,11,65,3,0.03816477614436968,118,21,0.357667092481845,0.09255016585693715,0.011180140235837936,0.03816477614436968,0.011180140235837936,-0.04690491776285528,0.15666433786700146,8,15,65,3,-0.005035223855630315,118,21,0.4106437006321788,0.05255016585693709,-0.09441985976416208,-0.0050352238556303185,-0.09441985976416208
pair_TLT_SHY__r1__zw63__z1__corr0.7__stop2,pair_TLT_SHY,1,63,1.0,0.7,0.02,-0.06421234315045701,0.09684064476860012,5,17,66,0,0.0,129,3,0.5071053071313271,-0.02374279444571869,0.0013992229754140834,-0.04186877168015241,-0.04186877168015241,-0.270612343150457,0.27063157100184415,0,22,66,0,0.0,129,3,0.71683822274386,-0.1581427944457187,-0.0018007770245859166,-0.1106687716801524,-0.1581427944457187
equal_active_pairs__r1__zw63__z1__corr0.7__stop2,equal_active_pairs,1,63,1.0,0.7,0.02,-0.20165013230740841,0.2565689254785962,31,53,4,4,-0.0020993498421208873,1823,160,0.08215413145884878,-0.10679911748651252,-0.05969136166545344,-0.03515965315544245,-0.10679911748651252,-2.0160501323074085,2.0175822335597613,6,78,4,0,-0.2628993498421209,1823,160,0.13591296088197236,-0.8091991174865125,-0.5764913616654535,-0.6303596531554425,-0.8091991174865125
largest_dislocation_pair__r1__zw63__z1__corr0.7__stop2,largest_dislocation_pair,1,63,1.0,0.7,0.02,-0.1611478151671576,0.26182897608161243,37,47,4,7,0.0033914989090990666,1134,87,0.09656942594578377,-0.07344825549375222,-0.059906760450004655,-0.027792799223400652,-0.07344825549375222,-1.9755478151671577,1.9755478151671353,4,80,4,0,-0.25740850109090097,1134,87,0.14850620616998375,-0.7758482554937522,-0.5767067604500048,-0.6229927992234007,-0.7758482554937522
pair_QQQ_SPY__r1__zw63__z1__corr0.7__stop4,pair_QQQ_SPY,1,63,1.0,0.7,0.04,-0.23027369631942954,0.23572756218012178,31,52,5,1,-0.03492561908436971,497,9,0.11613181771669875,-0.09230457530499467,-0.03471110767948474,-0.10325801333495013,-0.10325801333495013,-1.0254736963194295,1.0254736963194262,3,80,5,0,-0.14212561908436971,497,9,0.26332325810868623,-0.37390457530499466,-0.27311110767948477,-0.37845801333495016,-0.37845801333495016
pair_SMH_XLK__r1__zw63__z1__corr0.7__stop4,pair_SMH_XLK,1,63,1.0,0.7,0.04,-0.07018834946017244,0.17177561931064222,37,46,5,6,0.034135773548494966,496,7,0.08966404529027927,-0.1177104300527278,-0.010448669029765312,0.05797074962232068,-0.1177104300527278,-0.8637883494601726,0.8667613796221246,10,73,5,2,-0.08586422645150503,496,7,0.1348323619592608,-0.4409104300527278,-0.2232486690297653,-0.19962925037767934,-0.4409104300527278
pair_IWM_SPY__r1__zw63__z1__corr0.7__stop4,pair_IWM_SPY,1,63,1.0,0.7,0.04,-0.22851286156576134,0.23415347033064227,41,42,5,5,-0.04059104525080036,514,5,0.12392655674999616,-0.14512124658962253,-0.04862979282494273,-0.03476182215119612,-0.14512124658962253,-1.0509128615657615,1.0549534703306331,5,78,5,0,-0.16699104525080036,514,5,0.204911794394985,-0.47952124658962253,-0.2918297928249427,-0.27956182215119607,-0.47952124658962253
pair_XLY_XLP__r1__zw63__z1__corr0.7__stop4,pair_XLY_XLP,1,63,1.0,0.7,0.04,-0.09437916743387556,0.12380620522559538,6,7,75,0,0.0,69,4,0.39748107574386904,-0.08812113792888271,-0.0062580295049928444,0.0,-0.08812113792888271,-0.2047791674338756,0.20918871674361794,4,9,75,0,0.0,69,4,0.4864262456674468,-0.1937211379288827,-0.011058029504992845,0.0,-0.1937211379288827
pair_XLE_USO__r1__zw63__z1__corr0.7__stop4,pair_XLE_USO,1,63,1.0,0.7,0.04,0.14870022851912343,0.09754813117515021,13,10,65,3,0.024183088246280533,118,8,0.3556647236002373,0.13321604364761336,-0.008698903374770459,0.02418308824628053,-0.008698903374770459,-0.04009977148087662,0.17693091180105106,7,16,65,3,-0.019016911753719466,118,8,0.4086214658524553,0.09321604364761328,-0.11429890337477047,-0.019016911753719466,-0.11429890337477047
pair_TLT_SHY__r1__zw63__z1__corr0.7__stop4,pair_TLT_SHY,1,63,1.0,0.7,0.04,-0.07885310681495426,0.11097092590079567,4,18,66,0,0.0,129,1,0.5071053071313271,-0.03838355811021593,0.0013992229754140834,-0.04186877168015241,-0.04186877168015241,-0.2852531068149543,0.28527194871186945,0,22,66,0,0.0,129,1,0.71683822274386,-0.17278355811021595,-0.0018007770245859166,-0.1106687716801524,-0.17278355811021595
equal_active_pairs__r1__zw63__z1__corr0.7__stop4,equal_active_pairs,1,63,1.0,0.7,0.04,-0.22781031295531035,0.25050182349801503,32,52,4,4,-0.012403379429498387,1823,34,0.07202309229024825,-0.11304257410703378,-0.057467083196082576,-0.05730065565219402,-0.11304257410703378,-2.0422103129553104,2.04374241420766,4,80,4,0,-0.27320337942949835,1823,34,0.12196525084438398,-0.8154425741070339,-0.5742670831960826,-0.6525006556521941,-0.8154425741070339
largest_dislocation_pair__r1__zw63__z1__corr0.7__stop4,largest_dislocation_pair,1,63,1.0,0.7,0.04,-0.20230201842642312,0.25666568653601446,35,49,4,7,-0.003396686846154434,1134,15,0.09555194142615603,-0.09267089628825816,-0.06599290573241091,-0.043638216405753966,-0.09267089628825816,-2.0167020184264235,2.016702018426398,4,80,4,0,-0.26419668684615444,1134,15,0.14928933051431814,-0.7950708962882582,-0.582792905732411,-0.638838216405754,-0.7950708962882582
pair_QQQ_SPY__r1__zw63__z1.5__corr0.5__stop2,pair_QQQ_SPY,1,63,1.5,0.5,0.02,-0.08773657958964552,0.09056473278427844,25,46,17,0,-0.023472070161362848,212,18,0.20474124133303087,-0.014257900084054965,-0.032997029920251324,-0.040481649585339216,-0.040481649585339216,-0.42693657958964554,0.4269365795896458,8,63,17,0,-0.07467207016136285,212,18,0.37351221616245583,-0.14865790008405497,-0.11939702992025134,-0.15888164958533924,-0.15888164958533924
pair_SMH_XLK__r1__zw63__z1.5__corr0.5__stop2,pair_SMH_XLK,1,63,1.5,0.5,0.02,0.039127664878499155,0.04460465406029619,43,31,14,8,0.01694782816531698,235,33,0.18521846358373317,-0.0003202647471607402,0.011727547018600883,0.027720382607059012,-0.0003202647471607402,-0.3368723351215009,0.3394679888654546,16,58,14,3,-0.04065217183468301,235,33,0.2666749928886825,-0.14912026474716075,-0.09227245298139913,-0.09547961739294099,-0.14912026474716075
pair_IWM_SPY__r1__zw63__z1.5__corr0.5__stop2,pair_IWM_SPY,1,63,1.5,0.5,0.02,-0.17963580611683344,0.2161005444733647,30,44,14,5,-0.014497033294062447,210,18,0.2786834451470392,-0.14723290496952837,-0.05542713116338889,0.02302423001608383,-0.14723290496952837,-0.5156358061168335,0.5164693374607157,12,62,14,3,-0.05929703329406245,210,18,0.4283511907741775,-0.2768329049695284,-0.1610271311633889,-0.0777757699839162,-0.2768329049695284
pair_XLY_XLP__r1__zw63__z1.5__corr0.5__stop2,pair_XLY_XLP,1,63,1.5,0.5,0.02,-0.13229635272014817,0.15472584933786526,13,15,60,0,0.0,81,13,0.326641340903642,-0.11542862165853679,-0.016867731061611387,0.0,-0.11542862165853679,-0.26189635272014816,0.27160106966823355,7,21,60,0,0.0,81,13,0.4438802778419077,-0.21462862165853677,-0.04726773106161138,0.0,-0.21462862165853677
pair_XLE_USO__r1__zw63__z1.5__corr0.5__stop2,pair_XLE_USO,1,63,1.5,0.5,0.02,-0.25051309846273956,0.32297481836004366,33,35,20,4,-0.02105648899337935,216,44,0.23498513616809122,-0.2017398387790328,-0.016262152159289146,-0.032511107524417646,-0.2017398387790328,-0.5961130984627396,0.6139347804860253,20,48,20,2,-0.07225648899337934,216,44,0.27761440890257255,-0.3329398387790329,-0.11546215215928915,-0.14771110752441766,-0.3329398387790329
pair_TLT_SHY__r1__zw63__z1.5__corr0.5__stop2,pair_TLT_SHY,1,63,1.5,0.5,0.02,-0.021206168995334625,0.06115007011785216,26,36,26,4,-0.006520799435663675,173,2,0.33006248908287256,-0.02931498391162182,0.05088652001760381,-0.042777705101316635,-0.042777705101316635,-0.2980061689953346,0.29800616899533483,10,52,26,1,-0.04812079943566368,173,2,0.45603407713032573,-0.10291498391162181,-0.04511347998239618,-0.14997770510131664,-0.14997770510131664
equal_active_pairs__r1__zw63__z1.5__corr0.5__stop2,equal_active_pairs,1,63,1.5,0.5,0.02,-0.4684942456520058,0.47646321960457705,30,53,5,4,-0.043276967974721706,1127,128,0.10113034138825382,-0.3560402927543991,-0.01884886196444746,-0.09360509093315922,-0.3560402927543991,-1.697294245652006,1.697980384999621,8,75,5,0,-0.23047696797472167,1127,128,0.15064107394219386,-0.8040402927543991,-0.3884488619644475,-0.5048050909331592,-0.8040402927543991
largest_dislocation_pair__r1__zw63__z1.5__corr0.5__stop2,largest_dislocation_pair,1,63,1.5,0.5,0.02,-0.5542533287260001,0.5613497434575614,30,53,5,3,-0.07265722520482287,768,74,0.11460302435540387,-0.3626106034796144,-0.05884664162192488,-0.13279608362446094,-0.3626106034796144,-1.7830533287260004,1.7830533287259849,6,77,5,0,-0.25985722520482285,768,74,0.1642322362311858,-0.8106106034796143,-0.4284466416219249,-0.543996083624461,-0.8106106034796143
pair_QQQ_SPY__r1__zw63__z1.5__corr0.5__stop4,pair_QQQ_SPY,1,63,1.5,0.5,0.04,-0.13836229346895373,0.14073398975063714,25,46,17,0,-0.023472070161362848,212,6,0.18689063250135168,-0.0672014911108585,-0.030679152772756013,-0.040481649585339216,-0.0672014911108585,-0.4775622934689537,0.47756229346895407,8,63,17,0,-0.07467207016136285,212,6,0.3591498166432619,-0.2016014911108585,-0.11707915277275602,-0.15888164958533924,-0.2016014911108585
pair_SMH_XLK__r1__zw63__z1.5__corr0.5__stop4,pair_SMH_XLK,1,63,1.5,0.5,0.04,-0.02716839357173926,0.09076226963589595,38,36,14,8,0.019226771298556457,235,5,0.16250141113886088,-0.03867471339008096,-0.024482335546009475,0.035988655364351176,-0.03867471339008096,-0.4031683935717392,0.40576404731569315,16,58,14,3,-0.038373228701443544,235,5,0.23301645831264128,-0.18747471339008098,-0.12848233554600946,-0.08721134463564884,-0.18747471339008098
pair_IWM_SPY__r1__zw63__z1.5__corr0.5__stop4,pair_IWM_SPY,1,63,1.5,0.5,0.04,-0.19329704382346957,0.20976178218000086,29,45,14,5,-0.014497033294062447,210,4,0.27069632069187094,-0.14992223422875536,-0.048831837201442095,0.005457027606727928,-0.14992223422875536,-0.5292970438234695,0.5301305751673518,13,61,14,3,-0.05929703329406245,210,4,0.4153486093043621,-0.27952223422875533,-0.1544318372014421,-0.09534297239327207,-0.27952223422875533
pair_XLY_XLP__r1__zw63__z1.5__corr0.5__stop4,pair_XLY_XLP,1,63,1.5,0.5,0.04,-0.10409085131776377,0.12877089221366542,14,14,60,0,0.0,81,2,0.29840454855287785,-0.09617603193824208,-0.007914819379521713,0.0,-0.09617603193824208,-0.2336908513177638,0.2435585857930552,7,21,60,0,0.0,81,2,0.405586939392307,-0.19537603193824205,-0.03831481937952171,0.0,-0.19537603193824205
pair_XLE_USO__r1__zw63__z1.5__corr0.5__stop4,pair_XLE_USO,1,63,1.5,0.5,0.04,-0.13948711024946264,0.2973094219891698,34,34,20,5,0.028392194905550464,216,11,0.2622702476500963,-0.13417422286513575,-0.011540207771017753,0.006227320386690844,-0.13417422286513575,-0.4850871102494627,0.5606361083523357,24,44,20,3,-0.022807805094449532,216,11,0.3090188363793492,-0.2653742228651358,-0.11074020777101776,-0.10897267961330917,-0.2653742228651358
pair_TLT_SHY__r1__zw63__z1.5__corr0.5__stop4,pair_TLT_SHY,1,63,1.5,0.5,0.04,-0.026103455817040027,0.0659438280296927,26,36,26,4,-0.006520799435663675,173,1,0.33006248908287256,-0.03421227073332722,0.05088652001760381,-0.042777705101316635,-0.042777705101316635,-0.30290345581704003,0.30290345581704026,10,52,26,1,-0.04812079943566368,173,1,0.45603407713032573,-0.1078122707333272,-0.04511347998239618,-0.14997770510131664,-0.14997770510131664
equal_active_pairs__r1__zw63__z1.5__corr0.5__stop4,equal_active_pairs,1,63,1.5,0.5,0.04,-0.445569583409066,0.47667337552741007,28,55,5,4,-0.020437152368590106,1127,29,0.1098585817382348,-0.3499527207786783,-0.023970062125603552,-0.07164680050478413,-0.3499527207786783,-1.674369583409066,1.6782733755273924,9,74,5,1,-0.2076371523685901,1127,29,0.16478376719891977,-0.7979527207786783,-0.3935700621256035,-0.4828468005047841,-0.7979527207786783
largest_dislocation_pair__r1__zw63__z1.5__corr0.5__stop4,largest_dislocation_pair,1,63,1.5,0.5,0.04,-0.5215652167105023,0.5660156198054733,27,56,5,4,-0.023266812002667694,768,16,0.14179548132633168,-0.3718166509241649,-0.07336047013130964,-0.0763880956550278,-0.3718166509241649,-1.7503652167105024,1.7676156198054522,7,76,5,1,-0.21046681200266765,768,16,0.20302269488831676,-0.819816650924165,-0.4429604701313097,-0.4875880956550278,-0.819816650924165
pair_QQQ_SPY__r1__zw63__z1.5__corr0.7__stop2,pair_QQQ_SPY,1,63,1.5,0.7,0.02,-0.08773657958964552,0.09056473278427844,25,46,17,0,-0.023472070161362848,212,18,0.20474124133303087,-0.014257900084054965,-0.032997029920251324,-0.040481649585339216,-0.040481649585339216,-0.42693657958964554,0.4269365795896458,8,63,17,0,-0.07467207016136285,212,18,0.37351221616245583,-0.14865790008405497,-0.11939702992025134,-0.15888164958533924,-0.15888164958533924
pair_SMH_XLK__r1__zw63__z1.5__corr0.7__stop2,pair_SMH_XLK,1,63,1.5,0.7,0.02,0.039127664878499155,0.04460465406029619,43,31,14,8,0.01694782816531698,235,33,0.18521846358373317,-0.0003202647471607402,0.011727547018600883,0.027720382607059012,-0.0003202647471607402,-0.3368723351215009,0.3394679888654546,16,58,14,3,-0.04065217183468301,235,33,0.2666749928886825,-0.14912026474716075,-0.09227245298139913,-0.09547961739294099,-0.14912026474716075
pair_IWM_SPY__r1__zw63__z1.5__corr0.7__stop2,pair_IWM_SPY,1,63,1.5,0.7,0.02,-0.1683894142940078,0.20485415265053897,30,43,15,5,-0.014497033294062447,203,16,0.28342140985250597,-0.14196332503530795,-0.05542713116338889,0.029001041904689016,-0.14196332503530795,-0.49318941429400787,0.4940229456378902,12,61,15,3,-0.05929703329406245,203,16,0.43051084856164257,-0.26996332503530795,-0.1610271311633889,-0.062198958095311015,-0.26996332503530795
pair_XLY_XLP__r1__zw63__z1.5__corr0.7__stop2,pair_XLY_XLP,1,63,1.5,0.7,0.02,-0.13703414477958897,0.13703414477958886,5,5,78,0,0.0,31,10,0.6297229411883862,-0.1252885545303422,-0.01174559024924677,0.0,-0.1252885545303422,-0.186634144779589,0.18663414477958906,2,8,78,0,0.0,31,10,0.7618591106023229,-0.1732885545303422,-0.01334559024924677,0.0,-0.1732885545303422
pair_XLE_USO__r1__zw63__z1.5__corr0.7__stop2,pair_XLE_USO,1,63,1.5,0.7,0.02,0.1124367964475275,0.06416261923986288,11,9,68,3,0.008311841905143266,55,11,0.5137930679108044,0.08185722898436848,0.022267725558015757,0.008311841905143266,0.008311841905143266,0.02443679644752747,0.07216261923986289,10,10,68,3,-0.007688158094856736,55,11,0.5632427684683996,0.056257228984368454,-0.024132274441984243,-0.007688158094856736,-0.024132274441984243
pair_TLT_SHY__r1__zw63__z1.5__corr0.7__stop2,pair_TLT_SHY,1,63,1.5,0.7,0.02,-0.05295965717136818,0.07686352001078221,5,13,70,0,0.0,63,2,0.7196571035530943,-0.02261363669030326,0.0025482366164191863,-0.032894257097484114,-0.032894257097484114,-0.1537596571713682,0.1537596571713682,2,16,70,0,0.0,63,2,0.879883418615505,-0.08341363669030326,0.0009482366164191864,-0.07129425709748412,-0.08341363669030326
equal_active_pairs__r1__zw63__z1.5__corr0.7__stop2,equal_active_pairs,1,63,1.5,0.7,0.02,-0.1682306623400398,0.20547785330932944,34,48,6,5,-0.018638461075308144,799,90,0.1514992777767336,-0.09430079154107193,-0.055285619404110045,-0.01864425139485784,-0.09430079154107193,-1.1090306623400399,1.1097168016876642,6,76,6,0,-0.16263846107530813,799,90,0.2323247816212119,-0.4511007915410719,-0.31928561940411004,-0.3386442513948578,-0.4511007915410719
largest_dislocation_pair__r1__zw63__z1.5__corr0.7__stop2,largest_dislocation_pair,1,63,1.5,0.7,0.02,-0.12715787837011042,0.21186760682549438,36,46,6,6,-0.023260130059681992,588,55,0.1705315018265732,-0.04511670142758819,-0.05998445583907672,-0.02205672110344553,-0.05998445583907672,-1.0679578783701107,1.0679578783701058,8,74,6,0,-0.167260130059682,588,55,0.25057322118836095,-0.4019167014275883,-0.32398445583907676,-0.34205672110344554,-0.4019167014275883
