variant,threshold,smoothing,breadth_gate,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,net_10bps,score
corr0.8_smooth1_breadth0.5,0.8,1,0.5,sp500,1,2.0,1.0495466155191535,1.0924666155191538,0.04292000000000001,1078,2146,758,412,367,0.6039840637450199,1.0000000000000002,214.60000000000002,103,72,0.35983061572280395,0.06393878213038995,SNDK,0.18170533537251538,0.8678412801466382,0,0,0.017492443591985894,0.0,27,16,17,0.24989801596013447,2024-06-18,2024-08-02,37,0.0016092560920719656,12,0.07777222719470217,0.07521514880920052,9,3,0,15,0.048392597867546905,0.041326606331354876,9,5,1,18,0.046850820648696584,0.04009211064807294,11,6,1,0.8778666155191538,1.2129652811431255
corr0.8_smooth1_breadth0.6,0.8,1,0.6,sp500,1,2.0,0.5942076066000996,0.6325676066000995,0.038360000000000005,959,1918,524,288,272,0.41752988047808764,1.0000000000000002,191.8,76,72,0.36510018297089114,0.08570502501885127,SNDK,0.11934377492549166,0.474863831674608,0,0,0.009903460110001658,0.0,17,20,23,0.2971325529991383,2024-06-18,2024-08-02,77,0.06526724683438045,12,0.050317261015579255,0.03854504260184182,7,4,1,15,0.036406204277770055,0.0,7,5,3,18,0.03630878092560294,0.0,8,7,3,0.44076760660009956,0.5880268366476991
corr0.8_smooth3_breadthnone,0.8,3,,sp500,1,2.0,1.512800105647906,1.548160105647906,0.03536,889,1768,1054,572,482,0.8398406374501992,1.0,176.8,112,74,0.3050085454907208,0.05029289710655307,SNDK,0.18823903690170277,1.324561068746203,0,0,0.02521333509413176,0.008597809119339382,32,19,9,0.2500434247929386,2025-02-18,2025-04-04,57,0.0,12,0.0875182881468628,0.07488214784611694,10,2,0,15,0.0661114085791842,0.07112464456165322,11,4,0,18,0.06321030119592329,0.06887504573931667,13,5,0,1.371360105647906,1.7253115452955556
corr0.8_smooth3_breadth0.5,0.8,3,0.5,sp500,1,2.0,1.041028262477989,1.071708262477989,0.030680000000000006,772,1534,758,414,365,0.6039840637450199,1.0,153.4,98,70,0.3519035968719938,0.06474720250701765,SNDK,0.18170533537251538,0.8593229271054736,0,0,0.017350471041299817,0.0,27,16,17,0.2709421335320923,2024-06-18,2024-08-02,78,0.0,12,0.08269837859997226,0.07263254902378039,9,3,0,15,0.05232846970343074,0.0401319973010318,9,5,1,18,0.05020763038553266,0.03849142890273773,11,6,1,0.9183082624779889,1.1981812647458134
corr0.8_smooth3_breadth0.6,0.8,3,0.6,sp500,1,2.0,0.6030214602638394,0.6334214602638394,0.030400000000000007,760,1520,524,292,268,0.41752988047808764,1.0,152.0,76,63,0.33952970039054664,0.08451588955242176,SNDK,0.11934377492549166,0.48367768533834776,0,0,0.010050357671063988,0.0,19,18,23,0.31305658230131256,2024-06-18,2024-08-02,134,0.06468033049784291,12,0.05381425846389231,0.035641104325545944,7,4,1,15,0.03925869745999741,0.0,7,5,3,18,0.03852504859521402,0.0013355516252909524,9,6,3,0.48142146026383925,0.5914076533542038
corr0.8_smooth5_breadthnone,0.8,5,,sp500,1,2.0,1.6389139298566757,1.6687939298566756,0.029880000000000004,752,1494,1054,580,474,0.8398406374501992,1.0,149.4,115,67,0.2891494287978816,0.049706872833500906,SNDK,0.18823903690170277,1.4506748929549729,0,0,0.027315232164277926,0.011361420215187061,30,21,9,0.23646737539200163,2025-02-18,2025-04-04,67,0.0,12,0.09011979076236293,0.07432331834547856,9,3,0,15,0.06815222639248346,0.06526096447182803,10,5,0,18,0.06510515163055937,0.06277297059201525,12,6,0,1.5193939298566757,1.8528059267517627
corr0.8_smooth5_breadth0.5,0.8,5,0.5,sp500,1,2.0,1.1290825436964347,1.1556425436964346,0.026560000000000004,669,1328,758,416,363,0.6039840637450199,1.0,132.79999999999998,99,63,0.3362884072883672,0.06345036636773667,SNDK,0.18170533537251538,0.9473772083239194,0,0,0.018818042394940577,0.0,27,16,17,0.25998147976502434,2024-06-18,2024-08-02,69,0.0,12,0.08548564228104144,0.07432331834547856,9,3,0,15,0.05512980886360772,0.032653665026550274,9,5,1,18,0.052734026387011274,0.03279732514401156,11,6,1,1.0228425436964348,1.3055579907745345
corr0.8_smooth5_breadth0.6,0.8,5,0.6,sp500,1,2.0,0.6946105181640978,0.7218105181640979,0.027200000000000002,680,1360,524,294,266,0.41752988047808764,1.0,136.0,73,63,0.31254916704703767,0.08394711443285813,SNDK,0.11934377492549166,0.5752667432386062,0,0,0.011576841969401631,0.0,19,18,23,0.2965271298407978,2024-06-18,2024-08-02,87,0.06139917467012276,12,0.055567226208793286,0.03723550891672331,7,4,1,15,0.04134448280710571,0.0,7,5,3,18,0.040691630940674364,0.0013890127166234776,9,6,3,0.5858105181640978,0.7047850669496799
corr0.9_smooth1_breadthnone,0.9,1,,sp500,1,2.0,1.476026859341087,1.526426859341087,0.0504,1265,2520,1054,575,479,0.8398406374501992,1.0000000000000002,252.0,113,77,0.3300729678399888,0.04677073769608999,SNDK,0.18823903690170277,1.2877878224393842,0,0,0.02460044765568479,0.007499979102022814,31,20,9,0.26490994290952524,2025-02-18,2025-04-04,108,0.001332441059792823,12,0.08300709120716569,0.07752733216592603,9,3,0,15,0.057992079150939374,0.07105344078505062,10,5,0,18,0.057145346756874056,0.058751788406015595,12,6,0,1.2744268593410872,1.6401381900530587
corr0.9_smooth1_breadth0.5,0.9,1,0.5,sp500,1,2.0,1.0339970045930063,1.0761570045930064,0.04216,1059,2108,758,413,366,0.6039840637450199,1.0000000000000002,210.8,98,73,0.3923545621165718,0.06245528983006497,SNDK,0.18170533537251538,0.8522916692204909,0,0,0.017233283409883438,0.0,27,16,17,0.2533768100998096,2024-06-18,2024-08-02,37,0.0016215386715434628,12,0.07904990225082877,0.07752733216592603,9,3,0,15,0.04760175229321804,0.036361043851693066,9,5,1,18,0.0468924706745795,0.036264291108278966,11,6,1,0.8653570045930064,1.1977699012456828
corr0.9_smooth1_breadth0.6,0.9,1,0.6,sp500,1,2.0,0.6381411012938745,0.6754211012938747,0.03728000000000001,932,1864,524,287,273,0.41752988047808764,1.0000000000000002,186.4,72,74,0.4092662880258718,0.08380472024476109,SNDK,0.11934377492549166,0.5187973263683828,0,0,0.010635685021564577,0.0,18,19,23,0.2992944175303647,2024-06-18,2024-08-02,78,0.0655648358414964,12,0.05375250224135312,0.03638350142870668,7,4,1,15,0.03932956304968159,0.0,7,5,3,18,0.03947914237952824,0.005717314121711846,9,6,3,0.48902110129387466,0.6401041904875692
corr0.9_smooth3_breadthnone,0.9,3,,sp500,1,2.0,1.5009624365586591,1.5343624365586592,0.033400000000000006,840,1670,1054,573,481,0.8398406374501992,1.0,167.00000000000003,105,78,0.3206085617764919,0.04836541999680001,SNDK,0.18823903690170277,1.3127233996569563,0,0,0.025016040609310987,0.0052914501197561465,31,20,9,0.27940569865043474,2025-02-18,2025-04-04,69,0.0,12,0.09352491059884958,0.07600491670511628,9,3,0,15,0.06906777290478151,0.06954548092356912,10,5,0,18,0.06556061277017862,0.06665742902265179,12,6,0,1.3673624365586594,1.6821314697047731
corr0.9_smooth3_breadth0.5,0.9,3,0.5,sp500,1,2.0,1.0745658614631557,1.105005861463156,0.030440000000000002,766,1522,758,417,362,0.6039840637450199,1.0,152.20000000000002,94,72,0.3806416349858967,0.063404726144261,SNDK,0.18170533537251538,0.8928605260906404,0,0,0.01790943102438593,0.0,27,16,17,0.2751963123431808,2024-06-18,2024-08-02,69,0.0,12,0.08828762085240464,0.07311686480419896,9,3,0,15,0.054894747294533135,0.04187137186892775,9,5,1,18,0.05223286968104222,0.04081066877904667,11,6,1,0.9528058614631559,1.2442324116771888
corr0.9_smooth3_breadth0.6,0.9,3,0.6,sp500,1,2.0,0.6680678073493485,0.6980278073493484,0.029960000000000004,749,1498,524,289,271,0.41752988047808764,1.0,149.8,77,65,0.37371249163183345,0.0834411774314777,SNDK,0.11934377492549166,0.5487240324238568,0,0,0.011134463455822476,0.0,19,18,23,0.31754377534838435,2024-06-18,2024-08-02,88,0.06433356077893124,12,0.05975256986914252,0.04068419285804446,7,4,1,15,0.04393101623573383,0.0,7,5,3,18,0.04249520029062385,0.0020245260659560874,9,6,3,0.5482278073493487,0.6697817416083917
corr0.9_smooth5_breadthnone,0.9,5,,sp500,1,2.0,1.5788270064263383,1.607187006426338,0.028360000000000003,714,1418,1054,579,475,0.8398406374501992,1.0,141.8,109,73,0.31422767075094094,0.048039700842791556,SNDK,0.18823903690170277,1.3905879695246355,0,0,0.026313783440438974,0.01708177290993254,31,20,9,0.2553665540951947,2025-02-18,2025-04-04,67,0.0,12,0.091924491202323,0.07484686471815409,9,3,0,15,0.06912603748416304,0.06376937712173447,10,5,0,18,0.06566712783584353,0.06308175938785449,12,6,0,1.4653870064263381,1.7792339259381125
corr0.9_smooth5_breadth0.5,0.9,5,0.5,sp500,1,2.0,1.0804558379288924,1.1071358379288923,0.02668,672,1334,758,417,362,0.6039840637450199,1.0,133.4,100,63,0.380149635832486,0.06250216308330073,SNDK,0.18170533537251538,0.8987505025563771,0,0,0.018007597298814872,0.0,27,16,17,0.26784644107232153,2024-06-18,2024-08-02,69,0.0,12,0.08650210495460393,0.07484686471815409,9,3,0,15,0.05480581419812691,0.042880502862458064,9,5,1,18,0.05221449779466178,0.03770968872325081,11,6,1,0.9737358379288924,1.2521157117203827
corr0.9_smooth5_breadth0.6,0.9,5,0.6,sp500,1,2.0,0.6994230119483295,0.7266230119483297,0.0272,680,1360,524,291,269,0.41752988047808764,1.0,136.0,79,59,0.3693815004331567,0.0810661148604911,SNDK,0.11934377492549166,0.5800792370228378,0,0,0.011657050199138824,0.0,19,18,23,0.30390963524280956,2024-06-18,2024-08-02,87,0.06166818235093548,12,0.05793857109992729,0.04195435456586781,7,4,1,15,0.04341056448767057,0.0,7,5,3,18,0.04257125794558263,0.0028100431565613853,9,6,3,0.5906230119483298,0.7093290900053018
