candidate,overlay,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,entry_roles,trade_sessions,trade_session_fraction,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
ma50_200,persistence3,0930,0.0,0.9763684906641751,0.11502330132890443,1.0,1204,586,153,0.6095617529880478,9,3,0.08136404088868125,0.0615432859558495,-0.05142676953694816,0.30275402501248083
ma50_200,persistence3,0930,1.0,0.9720341255848102,0.11540564843243228,1.0,1204,586,153,0.6095617529880478,9,3,0.08100284379873417,0.061288047860611414,-0.05177565842583702,0.30247791390136974
ma50_200,persistence3,0930,2.0,0.9676997605054449,0.1157897892110918,1.0,1204,586,153,0.6095617529880478,9,3,0.08064164670878708,0.061032809765373314,-0.05212454731472593,0.30220180279025866
ma50_200,persistence3,0930,5.0,0.9546966652673498,0.1169531007102539,1.0,1204,586,153,0.6095617529880478,9,3,0.0795580554389458,0.060267095479659034,-0.053171213981392594,0.3013734694569253
triple_ma,vol_target_15,0930,0.0,0.18785822949128195,0.09905481245055554,1.0,938,438,251,1.0,6,6,0.015654852457606828,0.006021375399688996,-0.09413426268739056,0.11633617978984377
triple_ma,vol_target_15,0930,1.0,0.18326173261698517,0.09985836867595087,1.0,938,438,251,1.0,6,6,0.015271811051415432,0.00576985935477533,-0.09457585112111451,0.11618398673465181
triple_ma,vol_target_15,0930,2.0,0.17866523574268833,0.10066686232944928,1.0,938,438,251,1.0,6,6,0.014888769645224028,0.005518343309861661,-0.09501743955483845,0.11603179367945984
triple_ma,vol_target_15,0930,5.0,0.1648757451197979,0.10312242716008431,1.0,938,438,251,1.0,6,6,0.013739645426649828,0.004763795175120657,-0.09634220485601028,0.11557521451388394
true_daily_alpha,inverse_vol63,0930,0.0,-0.35203982270178236,0.6021420373687164,1.0,4244,2089,251,1.0,2,10,-0.029336651891815196,-0.04938380026526555,-0.15738676843256819,0.19092143297108133
true_daily_alpha,inverse_vol63,0930,1.0,-0.3889265891990657,0.6345341964837924,1.0,4244,2089,251,1.0,2,10,-0.03241054909992213,-0.05262492428985546,-0.1610710669295117,0.18759576131195138
true_daily_alpha,inverse_vol63,0930,2.0,-0.42581335569634904,0.66699877621775,1.0,4244,2089,251,1.0,2,10,-0.035484446308029084,-0.05586604831444535,-0.1647553654264552,0.1842700896528214
true_daily_alpha,inverse_vol63,0930,5.0,-0.536473655188199,0.7648294760162101,1.0,4244,2089,251,1.0,2,10,-0.04470613793234992,-0.06558942038821504,-0.17580826091728569,0.17429307467543154
characteristic_residual,turnover_band_05,0940,0.0,0.295675017164818,0.10088716120261472,1.0,1021,516,247,0.9840637450199203,9,3,0.02463958476373483,0.025201100799643904,-0.07757465405845498,0.11226570223148614
characteristic_residual,turnover_band_05,0940,1.0,0.27649662053930646,0.10239384470255997,1.0,1021,516,247,0.9840637450199203,9,3,0.0230413850449422,0.023413351145921957,-0.07831658741809085,0.11082722297639087
characteristic_residual,turnover_band_05,0940,2.0,0.2573182239137948,0.10392752454493874,1.0,1021,516,247,0.9840637450199203,8,4,0.02144318532614956,0.021625601492199997,-0.07905852077772671,0.10938874372129562
characteristic_residual,turnover_band_05,0940,5.0,0.1997830340372599,0.11466676589424393,1.0,1021,516,247,0.9840637450199203,7,5,0.01664858616977166,0.016438797280535416,-0.0812843208566343,0.10507330595600982
cluster_residual,persistence2,0940,0.0,0.7270670822439822,0.11527601389353566,1.0,502,246,227,0.9043824701195219,9,3,0.06058892352033186,0.07039128945078987,-0.11959875229736552,0.2619970819546701
cluster_residual,persistence2,0940,1.0,0.701449799918856,0.11755143227533789,1.0,502,246,227,0.9043824701195219,9,3,0.058454149993238,0.06838100881643971,-0.12127540581863308,0.25967331608812605
cluster_residual,persistence2,0940,2.0,0.6758325175937299,0.11990493289404706,1.0,502,246,227,0.9043824701195219,9,3,0.056319376466144155,0.06637072818208953,-0.12295205933990064,0.257349550221582
cluster_residual,persistence2,0940,5.0,0.5989806706183515,0.12862693030225955,1.0,502,246,227,0.9043824701195219,9,3,0.049915055884862614,0.06033988627903904,-0.12798201990370334,0.2503782526219499
ma200_corr08,persistence2,0940,0.0,0.9233410133956327,0.10764091691393446,1.0,1474,730,184,0.7330677290836654,9,3,0.07694508444963606,0.06884280124895942,-0.049714354416318704,0.23379762841695845
ma200_corr08,persistence2,0940,1.0,0.9181749816496009,0.10811192905218525,1.0,1474,730,184,0.7330677290836654,9,3,0.07651458180413341,0.06853696791562607,-0.050059354416318695,0.2334709617502918
ma200_corr08,persistence2,0940,2.0,0.913008949903569,0.10858544606895383,1.0,1474,730,184,0.7330677290836654,9,3,0.07608407915863077,0.06823113458229274,-0.050404354416318714,0.2331442950836251
ma200_corr08,persistence2,0940,5.0,0.897510854665474,0.11002122781417718,1.0,1474,730,184,0.7330677290836654,9,3,0.07479257122212284,0.06731363458229274,-0.0522725122097862,0.23216429508362513
ma200_uncapped,persistence3,0940,0.0,1.1327657256110375,0.10651323132168405,1.0,1243,614,156,0.6215139442231076,9,3,0.09439714380091979,0.07944531938430338,-0.04540422744216992,0.3136100995619586
ma200_uncapped,persistence3,0940,1.0,1.1284541383094502,0.10684371475519942,1.0,1243,614,156,0.6215139442231076,9,3,0.09403784485912085,0.07899277970176369,-0.04573756077550322,0.3133339884508475
ma200_uncapped,persistence3,0940,2.0,1.1241425510078626,0.10717560720914968,1.0,1243,614,156,0.6215139442231076,9,3,0.0936785459173219,0.07854024001922401,-0.04607089410883658,0.3130578773397364
ma200_uncapped,persistence3,0940,5.0,1.1112077891031007,0.10817982938425649,1.0,1243,614,156,0.6215139442231076,9,3,0.09260064909192507,0.07718262097160496,-0.047070894108836574,0.312229544006403
ma50_200,persistence3,0940,0.0,1.1305975913543744,0.10524434362680381,1.0,1204,586,153,0.6095617529880478,9,3,0.09421646594619786,0.08513851237765924,-0.053991503467934965,0.3136100995619586
ma50_200,persistence3,0940,1.0,1.1262632262750092,0.10557042414688464,1.0,1204,586,153,0.6095617529880478,9,3,0.09385526885625077,0.08464013936178622,-0.05434039235682383,0.3133339884508475
ma50_200,persistence3,0940,2.0,1.121928861195644,0.10589789201915499,1.0,1204,586,153,0.6095617529880478,9,3,0.09349407176630366,0.08414176634591321,-0.05468928124571274,0.3130578773397364
ma50_200,persistence3,0940,5.0,1.1089257659575487,0.1068887088578601,1.0,1204,586,153,0.6095617529880478,9,3,0.09241048049646239,0.08264664729829416,-0.0557359479123794,0.312229544006403
triple_ma,vol_target_15,0940,0.0,0.31321322364881793,0.07992928401062847,1.0,938,438,251,1.0,10,2,0.026101101970734827,0.011509304139619703,-0.07926095563348964,0.12019523049679717
triple_ma,vol_target_15,0940,1.0,0.3086167267745212,0.08057606456888905,1.0,938,438,251,1.0,10,2,0.02571806056454343,0.011257788094706043,-0.07970254406721358,0.12004303744160522
triple_ma,vol_target_15,0940,2.0,0.3040202299002244,0.0812265225630593,1.0,938,438,251,1.0,10,2,0.025335019158352037,0.01100627204979237,-0.08014413250093752,0.11989084438641326
triple_ma,vol_target_15,0940,5.0,0.290230739277334,0.08320027749391887,1.0,938,438,251,1.0,9,3,0.024185894939777835,0.010251723915051365,-0.08146889780210935,0.11943426522083736
true_daily_alpha,inverse_vol63,0940,0.0,0.4740070458028966,0.09832906661241422,1.0,4244,2089,251,1.0,8,4,0.03950058715024138,0.0313726030236126,-0.08367484058392081,0.278202511622175
true_daily_alpha,inverse_vol63,0940,1.0,0.43712027930561337,0.10739515497466035,1.0,4244,2089,251,1.0,8,4,0.03642668994213444,0.02791588026573355,-0.08735913908086432,0.27487683996304507
true_daily_alpha,inverse_vol63,0940,2.0,0.40023351280832997,0.11674794202844975,1.0,4244,2089,251,1.0,8,4,0.0333527927340275,0.024459157507854497,-0.0910434375778078,0.2715511683039151
true_daily_alpha,inverse_vol63,0940,5.0,0.28957321331648006,0.1466692624000915,1.0,4244,2089,251,1.0,6,6,0.024131101109706666,0.014088989234217322,-0.1020963330686383,0.2615741533265252
