family,top_k,role,first_evaluation_year,evaluation_years,net_2bps,net_10bps,drawdown_2bps,recent12_net_2bps,recent12_drawdown_2bps,top5_symbol_positive_share_2bps,leave_top5_return_2bps,trade_sessions
qqq_triple_ma10_50_200_monthly,10,walkforward,2022,5,0.6494490699366449,0.6001462127937877,0.6474048112807925,0.7719048537736823,0.09733474923364471,0.37436321561679853,0.2190616979537734,53
qqq_triple_ma10_50_200_monthly,10,baseline_matched,2022,5,0.6699703129663079,0.623707455823451,0.6238074578090516,0.6883526096290561,0.11898026570678247,0.4115296884604259,0.10944854848317687,52
sp500_dual_ma50_200_weekly,1,walkforward,2024,3,3.1725457959239556,3.1237457959239556,0.40732956676275056,2.276839293883513,0.2445343869954278,0.9455942081101646,-0.5509245933609046,31
sp500_dual_ma50_200_weekly,1,baseline_matched,2024,3,3.489425990559205,3.450225990559205,0.49885417729046877,2.326676840909454,0.23951712448113596,0.9536947980218331,-0.21217633145786818,25
sp500_dual_ma50_200_weekly,2,walkforward,2024,3,2.3836531239428442,2.3324531239428437,0.3964981736193429,1.9789148289955043,0.13694199481765726,0.7910682464104094,-0.383786820283857,56
sp500_dual_ma50_200_weekly,2,baseline_matched,2024,3,2.378211576459391,2.3374115764593912,0.33184127614488274,1.7685616070333157,0.22099817972303426,0.8342914767063376,-0.15545446643783256,47
sp500_dual_ma50_200_weekly,3,walkforward,2024,3,1.8078096079808923,1.7675429413142256,0.3285974672407147,1.3739172417845624,0.10548279629305427,0.7130200642760327,0.008419441519017967,63
sp500_dual_ma50_200_weekly,3,baseline_matched,2024,3,1.9738727907985891,1.928272790798589,0.3167290743883396,1.6077429199314124,0.12025157583834793,0.7181391340611243,0.09506687767955135,70
sp500_dual_ma50_200_weekly,10,walkforward,2024,3,1.1709528378382794,1.1383128378382796,0.28597891448347407,0.8856810514077317,0.11385013423167273,0.49399108994397,0.39830109687237103,109
sp500_dual_ma50_200_weekly,10,baseline_matched,2024,3,1.2061783777415698,1.1628183777415697,0.33104839813874104,1.0661852418884106,0.10310301906443943,0.4465013441286554,0.45002174072140944,115
sp500_triple_ma10_50_200_monthly,1,walkforward,2024,3,2.316850291669267,2.2776502916692674,0.35277988419305517,1.9067324281546247,0.21258388721775157,0.8505899428369403,-0.26162416785392084,25
sp500_triple_ma10_50_200_monthly,1,baseline_matched,2024,3,3.1528389082177277,3.1264389082177284,0.32710538249388865,2.434932859431454,0.14567183369191536,0.9701079585658017,-0.5980327515336614,17
sp500_triple_ma10_50_200_monthly,2,walkforward,2024,3,2.03228793916034,1.9986879391603403,0.32145348114526845,1.7482681808753546,0.1787813878001696,0.7233242702615832,0.03153068427425154,29
sp500_triple_ma10_50_200_monthly,2,baseline_matched,2024,3,2.112441250724158,2.0860412507241577,0.2911944775203633,1.8096398310829533,0.12446568037944042,0.8181385267623367,-0.17423717480997736,23
sp500_triple_ma10_50_200_monthly,3,walkforward,2024,3,1.7055237154874445,1.6759237154874442,0.24162944987703924,1.272068434072885,0.1280349456142249,0.6324296514025375,0.3885520628987462,28
sp500_triple_ma10_50_200_monthly,3,baseline_matched,2024,3,1.9337870563398556,1.9068537230065226,0.2806663062728717,1.6991923445505517,0.12628285935405506,0.7579916954554125,-0.020526707397766186,27
sp500_triple_ma10_50_200_monthly,10,walkforward,2024,3,1.1631784096691566,1.1382184096691566,0.2157211847172197,0.9751648167677078,0.09919094786812248,0.44990073622117216,0.4829395665670767,29
sp500_triple_ma10_50_200_monthly,10,baseline_matched,2024,3,1.0371547546990914,1.0131547546990913,0.2886326159770937,1.0121424469071139,0.09575365372454295,0.48801824428358587,0.33605197899476713,27
