account_notional,participation,execution,period_type,period,net_return
2000,0.05,primary_250ms_2bp,weekly,2021-05-15/2021-05-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-05-22/2021-05-28,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-05-29/2021-06-04,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-06-05/2021-06-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-06-12/2021-06-18,-0.0029567786442711297
2000,0.05,primary_250ms_2bp,weekly,2021-06-19/2021-06-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-06-26/2021-07-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-07-03/2021-07-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-07-10/2021-07-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-07-17/2021-07-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-07-24/2021-07-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-07-31/2021-08-06,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-08-07/2021-08-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-08-14/2021-08-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-08-21/2021-08-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-08-28/2021-09-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-09-04/2021-09-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-09-11/2021-09-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-09-18/2021-09-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-09-25/2021-10-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-10-02/2021-10-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-10-09/2021-10-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-10-16/2021-10-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-10-23/2021-10-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-10-30/2021-11-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-11-06/2021-11-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-11-13/2021-11-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-11-20/2021-11-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-11-27/2021-12-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-12-04/2021-12-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-12-11/2021-12-17,0.017032117576484675
2000,0.05,primary_250ms_2bp,weekly,2021-12-18/2021-12-24,0.004578319336132775
2000,0.05,primary_250ms_2bp,weekly,2021-12-25/2021-12-31,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-01-01/2022-01-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-01-08/2022-01-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-01-15/2022-01-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-01-22/2022-01-28,0.02543130373925211
2000,0.05,primary_250ms_2bp,weekly,2022-01-29/2022-02-04,-0.014594494101179627
2000,0.05,primary_250ms_2bp,weekly,2022-02-05/2022-02-11,0.011565884823035371
2000,0.05,primary_250ms_2bp,weekly,2022-02-12/2022-02-18,-0.0005789642071585391
2000,0.05,primary_250ms_2bp,weekly,2022-02-19/2022-02-25,-0.00272384023195368
2000,0.05,primary_250ms_2bp,weekly,2022-02-26/2022-03-04,0.0053101589682063265
2000,0.05,primary_250ms_2bp,weekly,2022-03-05/2022-03-11,-0.013290381923615174
2000,0.05,primary_250ms_2bp,weekly,2022-03-12/2022-03-18,-0.007612070585882845
2000,0.05,primary_250ms_2bp,weekly,2022-03-19/2022-03-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-03-26/2022-04-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-04-02/2022-04-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-04-09/2022-04-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-04-16/2022-04-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-04-23/2022-04-29,0.008482207558488324
2000,0.05,primary_250ms_2bp,weekly,2022-04-30/2022-05-06,-0.03101628774245134
2000,0.05,primary_250ms_2bp,weekly,2022-05-07/2022-05-13,0.021764762047590605
2000,0.05,primary_250ms_2bp,weekly,2022-05-14/2022-05-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-05-21/2022-05-27,-0.0013390161967605724
2000,0.05,primary_250ms_2bp,weekly,2022-05-28/2022-06-03,-0.01701118776244749
2000,0.05,primary_250ms_2bp,weekly,2022-06-04/2022-06-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-06-11/2022-06-17,0.04916473705258945
2000,0.05,primary_250ms_2bp,weekly,2022-06-18/2022-06-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-06-25/2022-07-01,0.016573071385722955
2000,0.05,primary_250ms_2bp,weekly,2022-07-02/2022-07-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-07-09/2022-07-15,0.003772765446910831
2000,0.05,primary_250ms_2bp,weekly,2022-07-16/2022-07-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-07-23/2022-07-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-07-30/2022-08-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-08-06/2022-08-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-08-13/2022-08-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-08-20/2022-08-26,0.009112669466106853
2000,0.05,primary_250ms_2bp,weekly,2022-08-27/2022-09-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-09-03/2022-09-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-09-10/2022-09-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-09-17/2022-09-23,-0.04694381623675242
2000,0.05,primary_250ms_2bp,weekly,2022-09-24/2022-09-30,0.0034602869426114636
2000,0.05,primary_250ms_2bp,weekly,2022-10-01/2022-10-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-10-08/2022-10-14,-0.014111716656668829
2000,0.05,primary_250ms_2bp,weekly,2022-10-15/2022-10-21,0.0006570885822835297
2000,0.05,primary_250ms_2bp,weekly,2022-10-22/2022-10-28,0.01814559688062397
2000,0.05,primary_250ms_2bp,weekly,2022-10-29/2022-11-04,0.005069726054789014
2000,0.05,primary_250ms_2bp,weekly,2022-11-05/2022-11-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-11-12/2022-11-18,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-11-19/2022-11-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-11-26/2022-12-02,0.00022767846430703773
2000,0.05,primary_250ms_2bp,weekly,2022-12-03/2022-12-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-12-10/2022-12-16,0.022178037392521454
2000,0.05,primary_250ms_2bp,weekly,2022-12-17/2022-12-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-12-24/2022-12-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2022-12-31/2023-01-06,-0.003155786842631283
2000,0.05,primary_250ms_2bp,weekly,2023-01-07/2023-01-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-01-14/2023-01-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-01-21/2023-01-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-01-28/2023-02-03,0.006828336332733494
2000,0.05,primary_250ms_2bp,weekly,2023-02-04/2023-02-10,-0.024827282543491185
2000,0.05,primary_250ms_2bp,weekly,2023-02-11/2023-02-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-02-18/2023-02-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-02-25/2023-03-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-03-04/2023-03-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-03-11/2023-03-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-03-18/2023-03-24,0.008413257348530288
2000,0.05,primary_250ms_2bp,weekly,2023-03-25/2023-03-31,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-04-01/2023-04-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-04-08/2023-04-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-04-15/2023-04-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-04-22/2023-04-28,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-04-29/2023-05-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-05-06/2023-05-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-05-13/2023-05-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-05-20/2023-05-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-05-27/2023-06-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-06-03/2023-06-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-06-10/2023-06-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-06-17/2023-06-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-06-24/2023-06-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-07-01/2023-07-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-07-08/2023-07-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-07-15/2023-07-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-07-22/2023-07-28,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-07-29/2023-08-04,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-08-05/2023-08-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-08-12/2023-08-18,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-08-19/2023-08-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-08-26/2023-09-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-09-02/2023-09-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-09-09/2023-09-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-09-16/2023-09-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-09-23/2023-09-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-09-30/2023-10-06,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-10-07/2023-10-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-10-14/2023-10-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-10-21/2023-10-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-10-28/2023-11-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-11-04/2023-11-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-11-11/2023-11-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-11-18/2023-11-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-11-25/2023-12-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-12-02/2023-12-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-12-09/2023-12-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-12-16/2023-12-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-12-23/2023-12-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2023-12-30/2024-01-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-01-06/2024-01-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-01-13/2024-01-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-01-20/2024-01-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-01-27/2024-02-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-02-03/2024-02-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-02-10/2024-02-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-02-17/2024-02-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-02-24/2024-03-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-03-02/2024-03-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-03-09/2024-03-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-03-16/2024-03-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-03-23/2024-03-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-03-30/2024-04-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-04-06/2024-04-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-04-13/2024-04-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-04-20/2024-04-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-04-27/2024-05-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-05-04/2024-05-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-05-11/2024-05-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-05-18/2024-05-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-05-25/2024-05-31,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-06-01/2024-06-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-06-08/2024-06-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-06-15/2024-06-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-06-22/2024-06-28,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-06-29/2024-07-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-07-06/2024-07-12,0.0
