variant,parent,family,allocation,breadth,market_state,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,parent_valid_events,eligible_events,allocated_events,active_days,symbol_count_recent,top_5_day_profit_share,top_10_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c20,tail05_anomaly1,market_state,top1_reclaim,all,trend_down,20,0.1632953979272993,0.09571011916666629,16.0,False,232,87,59,59,47,1.7226922120967516,2.7603603483125583,0.4580024628807857,0.00907196655151663,6,3,0.0200221158459851,3,3,0.015007777503599641,2,3
tail05_anomaly1_market_state_equal_all_vol_high_c20,tail05_anomaly1,market_state,equal,all,vol_high,20,0.3013039910536477,0.08531252138956387,27.0,False,232,119,119,83,71,1.0228879207731512,1.530935916777601,0.2688014789497405,0.016739110614091546,6,3,0.02307486416379385,4,3,0.021125598961720327,3,3
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c20,tail05_anomaly1,market_state,top1_reclaim,all,vol_high,20,0.31406149924903154,0.11896863916599598,16.0,False,232,119,83,83,60,1.0560565657270424,1.627305466698005,0.27553139848610564,0.017447861069390645,4,3,0.025422484251355383,2,3,0.024347000044624978,1,3
tail05_anomaly1_market_state_equal_all_vol_low_c20,tail05_anomaly1,market_state,equal,all,vol_low,20,-0.057283837972210205,0.1706189065113626,,True,232,113,113,75,74,,,,-0.003182435442900564,7,4,0.0029780196095866665,5,3,-0.00039386879603036464,5,2
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c20,tail05_anomaly1,market_state,top1_reclaim,all,vol_low,20,-0.1610214881028219,0.19686487269909966,,True,232,113,75,75,58,,,,-0.008945638227934545,8,4,-0.0014667160858646033,6,3,-0.00473486343081816,5,2
tail10_anomaly1_allocation_equal_all_all_c5,tail10_anomaly1,allocation,equal,all,all,5,0.7847908746132974,0.15069274793815016,44.0,False,453,453,453,232,105,0.47234288632422106,0.7827412771729199,0.14777854856257994,0.04359949303407209,7,0,0.061774990970754784,4,0,0.054430608052310814,3,0
tail10_anomaly1_allocation_top1_reclaim_all_all_c5,tail10_anomaly1,allocation,top1_reclaim,all,all,5,0.930287148331066,0.23928844753182246,46.0,False,453,453,232,232,91,0.4900495268624292,0.8021405508084598,0.14058804986499746,0.051682619351725884,5,0,0.073828404631606,3,0,0.06890566950451797,2,0
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c5,tail10_anomaly1,allocation,top1_auction_anomaly,all,all,5,0.9194628420450287,0.17094874373390287,111.0,False,453,453,232,232,95,0.43344401190223986,0.712021605771238,0.14224311197551273,0.051081269002501595,5,0,0.07039823400303434,2,0,0.05762689319789361,2,0
tail10_anomaly1_allocation_top1_composite_all_all_c5,tail10_anomaly1,allocation,top1_composite,all,all,5,0.7813869927502246,0.28602643693590785,26.0,False,453,453,232,232,92,0.5181006968937673,0.8564478742288955,0.16737833776578,0.04341038848612359,5,0,0.06973329291205951,3,0,0.06438034061775912,2,0
tail10_anomaly1_breadth_equal_singleton_all_c5,tail10_anomaly1,breadth,equal,singleton,all,5,0.6301155713292154,0.0892711068827386,68.0,False,453,100,100,100,65,0.5284413295138064,0.8273278630276775,0.1704426195632688,0.035006420629400854,6,0,0.0470642079689838,3,0,0.03648001402664749,3,0
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c5,tail10_anomaly1,breadth,top1_reclaim,singleton,all,5,0.6301155713292154,0.0892711068827386,68.0,False,453,100,100,100,65,0.5284413295138064,0.8273278630276775,0.1704426195632688,0.035006420629400854,6,0,0.0470642079689838,3,0,0.03648001402664749,3,0
tail10_anomaly1_breadth_equal_clustered_all_c5,tail10_anomaly1,breadth,equal,clustered,all,5,0.1546753032840822,0.17600804895377387,146.0,False,453,353,353,132,102,1.6941520812637918,2.7218690433508015,0.36036206330618104,0.008593072404671232,8,0,0.014710783001770977,6,0,0.017950594025663322,4,0
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c5,tail10_anomaly1,breadth,top1_reclaim,clustered,all,5,0.3001715770018506,0.25639596059697717,202.0,False,453,353,132,132,74,1.3766857589891086,2.1125757597896473,0.3506953708194931,0.016676198722325033,7,0,0.02676419666262221,5,0,0.03242565547787049,3,0
tail10_anomaly1_market_state_equal_all_trend_up_c5,tail10_anomaly1,market_state,equal,all,trend_up,5,0.2749130235589857,0.16128726274558652,13.0,False,453,287,287,153,96,0.9375354986147447,1.5399580105892376,0.32384283165080374,0.015272945753276987,10,0,0.025365583751478755,7,0,0.028572595693477625,6,0
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c5,tail10_anomaly1,market_state,top1_reclaim,all,trend_up,5,0.30398465704553457,0.22817541685259166,49.0,False,453,287,153,153,81,1.2192851173218886,1.88353453152657,0.332995441029308,0.016888036502529697,8,0,0.026044895684489533,6,0,0.031919893917919294,5,0
tail10_anomaly1_market_state_equal_all_trend_down_c5,tail10_anomaly1,market_state,equal,all,trend_down,5,0.5098778510543118,0.08555287304639748,5.0,False,453,166,166,79,80,0.669694324371779,1.0135251606065694,0.15256535318596323,0.028326547280795103,4,3,0.03640940721927602,2,3,0.025858012358833195,1,3
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c5,tail10_anomaly1,market_state,top1_reclaim,all,trend_down,5,0.6263024912855314,0.06503742756575584,5.0,False,453,166,79,79,54,0.5996736123012933,0.9495255716260855,0.18790866213568178,0.03479458284919619,5,3,0.04778350894711648,2,3,0.036985775586598685,2,3
tail10_anomaly1_market_state_equal_all_vol_high_c5,tail10_anomaly1,market_state,equal,all,vol_high,5,0.7724522736977872,0.08153464507469543,5.0,False,453,231,231,122,95,0.4798877542313805,0.7578709261137991,0.15169513509622728,0.04291401520543263,5,3,0.05222604394822174,3,3,0.043573297791112964,2,3
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c5,tail10_anomaly1,market_state,top1_reclaim,all,vol_high,5,0.9425773143023903,0.05659162783287351,3.0,False,453,231,122,122,73,0.4295389029402836,0.7296355204470671,0.13768396889453047,0.052365406350132794,2,3,0.06383632130630676,1,3,0.05276151209594505,1,3
tail10_anomaly1_market_state_equal_all_vol_low_c5,tail10_anomaly1,market_state,equal,all,vol_low,5,0.012338600915510188,0.1738206825380379,164.0,False,453,222,222,110,89,16.06154250384079,26.80205035311601,3.856177820475621,0.0006854778286394555,7,4,0.009548947022533033,5,3,0.01085731026119785,5,2
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c5,tail10_anomaly1,market_state,top1_reclaim,all,vol_low,5,-0.012290165971324374,0.2618770182825266,203.0,False,453,222,110,110,66,,,,-0.0006827869984069095,6,4,0.009992083325299246,4,3,0.016144157408572928,2,2
tail10_anomaly1_allocation_equal_all_all_c10,tail10_anomaly1,allocation,equal,all,all,10,0.5527908746132975,0.20433815846958164,7.0,False,453,453,453,232,105,0.6615347750296565,1.0931588042787292,0.20159870243903025,0.030710604145183198,7,0,0.04897499097075477,4,0,0.04134727471897748,3,0
tail10_anomaly1_allocation_top1_reclaim_all_all_c10,tail10_anomaly1,allocation,top1_reclaim,all,all,10,0.6982871483310658,0.2904200800490492,26.0,False,453,453,232,232,91,0.645703959987628,1.054324209362739,0.1801368624626284,0.03879373046283699,6,0,0.061028404631606,3,0,0.05582233617118464,2,0
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c10,tail10_anomaly1,allocation,top1_auction_anomaly,all,all,10,0.6874628420450286,0.19328415495892098,111.0,False,453,453,232,232,95,0.5724464494406175,0.9377632794263246,0.1829731707740724,0.03819238011361271,7,0,0.05759823400303434,4,0,0.044543559864560274,4,0
tail10_anomaly1_allocation_top1_composite_all_all_c10,tail10_anomaly1,allocation,top1_composite,all,all,10,0.5493869927502244,0.352369886330977,34.0,False,453,453,232,232,92,0.7277877903261536,1.1999141544851764,0.22895929036951668,0.030521499597234696,6,0,0.0569332929120595,3,0,0.05129700728442577,2,0
tail10_anomaly1_breadth_equal_singleton_all_c10,tail10_anomaly1,breadth,equal,singleton,all,10,0.5301155713292153,0.10516264060652858,28.0,False,453,100,100,100,65,0.6186935981491456,0.9645296172044076,0.19504906891471802,0.029450865073845298,7,0,0.0416642079689838,4,0,0.031146680693314152,4,0
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c10,tail10_anomaly1,breadth,top1_reclaim,singleton,all,10,0.5301155713292153,0.10516264060652858,28.0,False,453,100,100,100,65,0.6186935981491456,0.9645296172044076,0.19504906891471802,0.029450865073845298,7,0,0.0416642079689838,4,0,0.031146680693314152,4,0
tail10_anomaly1_breadth_equal_clustered_all_c10,tail10_anomaly1,breadth,equal,clustered,all,10,0.02267530328408212,0.2067603021734838,239.0,False,453,353,353,132,102,11.335834575552447,18.125707719568307,2.4250661940457086,0.0012597390713378963,9,0,0.007310783001770974,7,0,0.010200594025663324,5,0
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c10,tail10_anomaly1,breadth,top1_reclaim,clustered,all,10,0.16817157700185048,0.28383781163776495,233.0,False,453,353,132,132,74,2.4275323011763055,3.7113001404813692,0.6140679914359113,0.009342865388991697,7,0,0.019364196662622204,5,0,0.024675655477870494,3,0
tail10_anomaly1_market_state_equal_all_trend_up_c10,tail10_anomaly1,market_state,equal,all,trend_up,10,0.12191302355898566,0.19981448569689203,39.0,False,453,287,287,153,96,2.0731232089882194,3.3905689546365236,0.7056556346123471,0.006772945753276983,10,0,0.017098917084812083,7,0,0.01932259569347762,6,0
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c10,tail10_anomaly1,market_state,top1_reclaim,all,trend_up,10,0.15098465704553446,0.263528877802394,111.0,False,453,287,153,153,81,2.4217293027300553,3.725978583571346,0.6505661360637296,0.008388036502529696,9,0,0.017778229017822857,6,0,0.022669893917919282,5,0
tail10_anomaly1_market_state_equal_all_trend_down_c10,tail10_anomaly1,market_state,equal,all,trend_down,10,0.4308778510543118,0.09390819189188059,5.0,False,453,166,166,79,80,0.7808763020671979,1.176143145068915,0.17821685250217645,0.023937658391906213,4,3,0.031876073885942685,2,3,0.022024679025499858,1,3
