variant,block,net_pnl,active_days
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c5,block_1,0.30943916915104974,46
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c5,block_2,0.31342735999291094,26
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c5,block_3,0.31971078515842966,50
tail10_anomaly1_market_state_equal_all_vol_low_c5,block_1,-0.117949122218864,29
tail10_anomaly1_market_state_equal_all_vol_low_c5,block_2,0.2204737183691181,51
tail10_anomaly1_market_state_equal_all_vol_low_c5,block_3,-0.09018599523474399,30
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c5,block_1,-0.2060200548741995,29
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c5,block_2,0.28051930072487474,51
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c5,block_3,-0.08678941182199962,30
tail10_anomaly1_allocation_equal_all_all_c10,block_1,0.05662357798556779,75
tail10_anomaly1_allocation_equal_all_all_c10,block_2,0.39510657896251383,77
tail10_anomaly1_allocation_equal_all_all_c10,block_3,0.10106071766521589,80
tail10_anomaly1_allocation_top1_reclaim_all_all_c10,block_1,0.028419114276850177,75
tail10_anomaly1_allocation_top1_reclaim_all_all_c10,block_2,0.5169466607177856,77
tail10_anomaly1_allocation_top1_reclaim_all_all_c10,block_3,0.15292137333642997,80
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c10,block_1,0.15294012367030532,75
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c10,block_2,0.430774551642113,77
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c10,block_3,0.10374816673261027,80
tail10_anomaly1_allocation_top1_composite_all_all_c10,block_1,-0.06617709466288488,75
tail10_anomaly1_allocation_top1_composite_all_all_c10,block_2,0.3808205922591158,77
tail10_anomaly1_allocation_top1_composite_all_all_c10,block_3,0.23474349515399354,80
tail10_anomaly1_breadth_equal_singleton_all_c10,block_1,0.1563554030094455,36
tail10_anomaly1_breadth_equal_singleton_all_c10,block_2,0.31414885598002784,40
tail10_anomaly1_breadth_equal_singleton_all_c10,block_3,0.05961131233974195,24
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c10,block_1,0.1563554030094455,36
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c10,block_2,0.31414885598002784,40
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c10,block_3,0.05961131233974195,24
tail10_anomaly1_breadth_equal_clustered_all_c10,block_1,-0.09973182502387773,39
tail10_anomaly1_breadth_equal_clustered_all_c10,block_2,0.08095772298248594,37
tail10_anomaly1_breadth_equal_clustered_all_c10,block_3,0.04144940532547394,56
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c10,block_1,-0.12793628873259533,39
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c10,block_2,0.20279780473775777,37
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c10,block_3,0.09331006099668807,56
tail10_anomaly1_market_state_equal_all_trend_up_c10,block_1,-0.10995812476274575,42
tail10_anomaly1_market_state_equal_all_trend_up_c10,block_2,0.34806503011634315,70
tail10_anomaly1_market_state_equal_all_trend_up_c10,block_3,-0.11619388179461176,41
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c10,block_1,-0.12105406996949694,42
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c10,block_2,0.451140598125997,70
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c10,block_3,-0.17910187111096548,41
tail10_anomaly1_market_state_equal_all_trend_down_c10,block_1,0.1665817027483135,33
tail10_anomaly1_market_state_equal_all_trend_down_c10,block_2,0.04704154884617063,7
tail10_anomaly1_market_state_equal_all_trend_down_c10,block_3,0.21725459945982767,39
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c10,block_1,0.14947318424634715,33
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c10,block_2,0.06580606259178867,7
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c10,block_3,0.3320232444473955,39
tail10_anomaly1_market_state_equal_all_vol_high_c10,block_1,0.20357270020443174,46
tail10_anomaly1_market_state_equal_all_vol_high_c10,block_2,0.22563286059339566,26
tail10_anomaly1_market_state_equal_all_vol_high_c10,block_3,0.2212467128999599,50
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_1,0.2634391691510497,46
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_2,0.2874273599929109,26
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_3,0.2697107851584296,50
tail10_anomaly1_market_state_equal_all_vol_low_c10,block_1,-0.14694912221886403,29
tail10_anomaly1_market_state_equal_all_vol_low_c10,block_2,0.16947371836911815,51
tail10_anomaly1_market_state_equal_all_vol_low_c10,block_3,-0.12018599523474399,30
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_1,-0.23502005487419952,29
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_2,0.2295193007248747,51
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_3,-0.11678941182199959,30
tail10_anomaly1_allocation_equal_all_all_c20,block_1,-0.09337642201443225,75
tail10_anomaly1_allocation_equal_all_all_c20,block_2,0.24110657896251378,77
tail10_anomaly1_allocation_equal_all_all_c20,block_3,-0.05893928233478413,80
tail10_anomaly1_allocation_top1_reclaim_all_all_c20,block_1,-0.12158088572314987,75
tail10_anomaly1_allocation_top1_reclaim_all_all_c20,block_2,0.3629466607177856,77
tail10_anomaly1_allocation_top1_reclaim_all_all_c20,block_3,-0.007078626663570078,80
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_1,0.002940123670305314,75
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_2,0.276774551642113,77
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_3,-0.056251833267389716,80
tail10_anomaly1_allocation_top1_composite_all_all_c20,block_1,-0.21617709466288493,75
tail10_anomaly1_allocation_top1_composite_all_all_c20,block_2,0.2268205922591158,77
tail10_anomaly1_allocation_top1_composite_all_all_c20,block_3,0.07474349515399356,80
tail10_anomaly1_breadth_equal_singleton_all_c20,block_1,0.08435540300944554,36
tail10_anomaly1_breadth_equal_singleton_all_c20,block_2,0.23414885598002785,40
tail10_anomaly1_breadth_equal_singleton_all_c20,block_3,0.01161131233974197,24
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_1,0.08435540300944554,36
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_2,0.23414885598002785,40
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_3,0.01161131233974197,24
